mutantNo;[FAIL | TIME | EXC | LIVE]
7;LIVE
8;EXC
9;LIVE
10;EXC
414;LIVE
415;TIME
416;LIVE
417;EXC
418;LIVE
419;EXC
420;LIVE
421;EXC
470;LIVE
471;LIVE
472;FAIL
473;LIVE
474;EXC
641;LIVE
642;LIVE
747;FAIL
748;FAIL
749;LIVE
750;LIVE
751;LIVE
752;LIVE
753;EXC
759;LIVE
760;LIVE
761;LIVE
762;LIVE
763;LIVE
766;LIVE
767;LIVE
768;LIVE
769;LIVE
770;LIVE
771;LIVE
772;LIVE
773;LIVE
774;LIVE
775;LIVE
776;LIVE
777;LIVE
778;LIVE
779;LIVE
780;LIVE
781;LIVE
782;LIVE
783;FAIL
784;FAIL
785;LIVE
786;LIVE
787;LIVE
788;LIVE
789;LIVE
790;LIVE
1017;FAIL
1018;FAIL
1019;FAIL
1020;FAIL
1021;FAIL
1022;FAIL
1023;FAIL
1024;FAIL
1025;FAIL
1026;FAIL
1027;FAIL
1028;FAIL
