mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;LIVE
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;LIVE
11;LIVE
26;LIVE
50;LIVE
51;LIVE
52;LIVE
53;LIVE
54;LIVE
55;LIVE
56;LIVE
57;LIVE
58;LIVE
59;LIVE
60;LIVE
61;LIVE
62;LIVE
63;LIVE
232;LIVE
233;LIVE
238;LIVE
239;LIVE
256;LIVE
257;LIVE
258;LIVE
259;LIVE
417;LIVE
418;LIVE
426;LIVE
427;LIVE
483;LIVE
484;LIVE
485;LIVE
486;LIVE
487;LIVE
488;LIVE
489;LIVE
490;LIVE
491;LIVE
492;LIVE
493;LIVE
494;LIVE
495;LIVE
496;LIVE
497;LIVE
498;LIVE
546;FAIL
547;EXC
548;FAIL
549;FAIL
550;EXC
551;FAIL
552;FAIL
553;EXC
554;EXC
555;EXC
556;LIVE
557;EXC
558;LIVE
559;EXC
560;FAIL
561;FAIL
562;FAIL
563;FAIL
564;FAIL
565;FAIL
566;FAIL
567;LIVE
568;FAIL
594;LIVE
595;LIVE
596;FAIL
597;LIVE
598;FAIL
599;FAIL
600;LIVE
601;FAIL
602;FAIL
603;FAIL
604;FAIL
605;EXC
606;FAIL
607;FAIL
608;EXC
609;FAIL
610;LIVE
611;FAIL
612;EXC
613;LIVE
614;LIVE
615;EXC
616;FAIL
617;FAIL
618;EXC
619;LIVE
620;LIVE
621;FAIL
622;EXC
623;FAIL
624;EXC
625;EXC
626;FAIL
627;EXC
628;EXC
629;EXC
630;EXC
631;FAIL
632;LIVE
633;LIVE
634;FAIL
635;FAIL
636;FAIL
637;FAIL
638;LIVE
639;LIVE
640;LIVE
641;FAIL
642;FAIL
643;FAIL
644;LIVE
645;FAIL
646;FAIL
647;FAIL
648;FAIL
649;FAIL
650;FAIL
651;FAIL
652;FAIL
653;FAIL
654;FAIL
655;FAIL
656;LIVE
657;FAIL
661;FAIL
662;FAIL
663;FAIL
664;FAIL
665;FAIL
666;FAIL
667;FAIL
668;FAIL
681;LIVE
682;LIVE
683;LIVE
684;LIVE
