mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;EXC
4;LIVE
5;LIVE
6;LIVE
7;LIVE
54;EXC
55;EXC
56;LIVE
57;EXC
58;LIVE
59;TIME
60;EXC
61;LIVE
62;EXC
63;LIVE
64;LIVE
65;EXC
66;LIVE
67;LIVE
68;LIVE
69;LIVE
70;LIVE
71;LIVE
73;LIVE
86;LIVE
101;LIVE
102;LIVE
103;LIVE
104;LIVE
105;LIVE
106;LIVE
107;LIVE
108;LIVE
109;LIVE
110;LIVE
111;LIVE
112;LIVE
113;LIVE
117;LIVE
118;LIVE
119;LIVE
183;LIVE
184;EXC
185;LIVE
186;EXC
187;LIVE
188;EXC
189;LIVE
190;LIVE
191;LIVE
192;FAIL
193;LIVE
194;LIVE
195;FAIL
196;FAIL
197;LIVE
198;FAIL
199;EXC
200;EXC
201;EXC
202;FAIL
203;FAIL
204;FAIL
205;LIVE
206;EXC
207;FAIL
208;FAIL
209;FAIL
210;EXC
215;LIVE
216;EXC
217;EXC
218;LIVE
219;LIVE
228;LIVE
229;LIVE
230;EXC
231;LIVE
232;LIVE
233;LIVE
234;EXC
235;LIVE
236;EXC
237;LIVE
238;EXC
239;LIVE
240;LIVE
241;EXC
242;EXC
243;LIVE
244;LIVE
245;EXC
261;FAIL
262;FAIL
263;FAIL
264;LIVE
265;LIVE
266;FAIL
267;LIVE
268;LIVE
269;EXC
270;EXC
271;LIVE
272;EXC
273;LIVE
275;TIME
276;LIVE
277;EXC
279;LIVE
280;LIVE
281;LIVE
282;LIVE
283;FAIL
284;EXC
285;LIVE
286;LIVE
287;FAIL
288;LIVE
289;EXC
290;FAIL
291;FAIL
292;LIVE
293;FAIL
294;LIVE
295;LIVE
296;FAIL
297;FAIL
298;LIVE
299;FAIL
300;LIVE
301;LIVE
302;LIVE
303;FAIL
304;LIVE
305;LIVE
306;FAIL
307;FAIL
308;LIVE
309;LIVE
310;LIVE
311;LIVE
312;FAIL
313;LIVE
314;LIVE
315;FAIL
316;FAIL
317;LIVE
318;LIVE
319;LIVE
320;FAIL
321;FAIL
322;LIVE
323;LIVE
