mutantNo;[FAIL | TIME | EXC | LIVE]
68;LIVE
69;LIVE
70;LIVE
71;LIVE
72;FAIL
73;EXC
86;FAIL
101;LIVE
102;EXC
103;LIVE
104;LIVE
105;FAIL
106;FAIL
107;LIVE
108;LIVE
109;FAIL
110;LIVE
111;LIVE
112;FAIL
113;LIVE
117;FAIL
118;FAIL
119;FAIL
124;LIVE
125;FAIL
126;EXC
127;LIVE
128;EXC
129;FAIL
130;LIVE
131;LIVE
132;FAIL
133;FAIL
134;LIVE
135;LIVE
136;LIVE
137;FAIL
138;FAIL
139;LIVE
140;FAIL
141;FAIL
142;FAIL
143;FAIL
150;LIVE
151;LIVE
152;LIVE
153;FAIL
154;LIVE
155;LIVE
156;FAIL
157;LIVE
158;LIVE
159;LIVE
160;LIVE
161;LIVE
162;LIVE
163;LIVE
164;TIME
165;LIVE
166;EXC
167;LIVE
168;LIVE
169;LIVE
170;EXC
173;LIVE
174;LIVE
175;LIVE
176;FAIL
177;LIVE
178;LIVE
179;LIVE
180;LIVE
181;LIVE
182;LIVE
185;LIVE
186;EXC
189;LIVE
190;LIVE
191;LIVE
192;LIVE
193;LIVE
194;LIVE
197;LIVE
215;LIVE
216;EXC
217;EXC
218;EXC
219;LIVE
220;EXC
221;EXC
222;LIVE
223;EXC
224;EXC
225;LIVE
226;EXC
227;LIVE
228;LIVE
229;LIVE
230;EXC
231;LIVE
232;EXC
233;EXC
234;EXC
235;LIVE
236;LIVE
237;EXC
238;EXC
239;EXC
240;LIVE
241;EXC
242;EXC
243;LIVE
244;LIVE
245;EXC
261;EXC
282;LIVE
284;LIVE
285;LIVE
286;LIVE
287;FAIL
288;LIVE
289;LIVE
290;LIVE
292;LIVE
293;LIVE
294;LIVE
295;LIVE
296;LIVE
297;FAIL
298;LIVE
299;FAIL
300;LIVE
301;LIVE
302;LIVE
303;FAIL
304;LIVE
305;LIVE
306;LIVE
307;FAIL
308;LIVE
309;LIVE
310;LIVE
311;LIVE
312;FAIL
313;LIVE
314;LIVE
1843;LIVE
1844;LIVE
1845;LIVE
1846;LIVE
1847;LIVE
1848;LIVE
1849;EXC
1850;LIVE
1851;EXC
1852;LIVE
1853;TIME
1854;TIME
1855;LIVE
