mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;FAIL
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;FAIL
11;FAIL
12;FAIL
13;FAIL
14;LIVE
15;LIVE
16;LIVE
17;LIVE
18;LIVE
19;LIVE
20;LIVE
21;FAIL
22;LIVE
23;LIVE
24;LIVE
25;LIVE
26;LIVE
27;FAIL
28;FAIL
29;LIVE
30;LIVE
31;LIVE
32;LIVE
33;LIVE
34;LIVE
35;LIVE
36;LIVE
37;LIVE
38;LIVE
39;LIVE
40;FAIL
41;FAIL
42;FAIL
43;EXC
44;FAIL
45;FAIL
46;FAIL
47;FAIL
48;LIVE
49;LIVE
50;LIVE
51;LIVE
52;LIVE
53;LIVE
54;LIVE
55;LIVE
56;LIVE
57;LIVE
58;LIVE
59;LIVE
60;FAIL
61;LIVE
62;FAIL
63;LIVE
64;LIVE
65;LIVE
66;LIVE
67;LIVE
68;LIVE
69;LIVE
70;LIVE
71;FAIL
72;FAIL
73;FAIL
74;FAIL
75;FAIL
76;EXC
77;LIVE
78;LIVE
79;LIVE
80;LIVE
81;LIVE
82;LIVE
83;FAIL
84;FAIL
85;LIVE
86;LIVE
87;LIVE
88;LIVE
89;LIVE
90;LIVE
91;LIVE
92;LIVE
93;FAIL
94;EXC
98;LIVE
99;LIVE
100;FAIL
101;FAIL
102;FAIL
103;EXC
104;FAIL
105;LIVE
106;LIVE
107;FAIL
108;FAIL
115;FAIL
116;LIVE
117;LIVE
118;LIVE
119;LIVE
120;LIVE
121;FAIL
122;FAIL
123;EXC
124;EXC
125;LIVE
126;FAIL
127;LIVE
128;LIVE
129;EXC
130;LIVE
131;FAIL
132;FAIL
133;LIVE
134;EXC
135;LIVE
136;EXC
137;FAIL
138;FAIL
190;FAIL
191;FAIL
347;LIVE
348;LIVE
349;FAIL
350;LIVE
351;LIVE
352;LIVE
353;FAIL
354;LIVE
356;FAIL
357;LIVE
358;LIVE
359;FAIL
360;LIVE
361;LIVE
362;LIVE
363;FAIL
364;LIVE
365;FAIL
366;LIVE
367;LIVE
390;LIVE
391;FAIL
392;EXC
393;LIVE
