mutantNo;[FAIL | TIME | EXC | LIVE]
139;LIVE
140;EXC
141;EXC
147;EXC
148;LIVE
149;EXC
150;LIVE
151;LIVE
152;LIVE
153;EXC
154;EXC
160;EXC
161;LIVE
162;EXC
163;LIVE
164;LIVE
166;EXC
172;EXC
173;LIVE
174;LIVE
175;EXC
177;EXC
179;EXC
181;EXC
182;LIVE
183;LIVE
184;LIVE
185;LIVE
186;LIVE
187;LIVE
188;LIVE
227;EXC
228;EXC
229;LIVE
230;LIVE
231;EXC
232;FAIL
233;FAIL
234;FAIL
235;EXC
236;FAIL
237;FAIL
238;LIVE
239;EXC
240;FAIL
241;FAIL
242;FAIL
243;FAIL
244;FAIL
245;FAIL
246;FAIL
247;FAIL
248;FAIL
249;FAIL
250;FAIL
251;FAIL
252;FAIL
253;FAIL
254;FAIL
255;FAIL
256;FAIL
257;FAIL
258;EXC
259;LIVE
260;FAIL
261;FAIL
262;FAIL
263;FAIL
264;FAIL
265;FAIL
266;FAIL
267;FAIL
268;FAIL
269;FAIL
301;LIVE
304;LIVE
305;LIVE
308;LIVE
309;LIVE
310;LIVE
311;LIVE
312;LIVE
313;LIVE
314;EXC
315;LIVE
316;LIVE
317;LIVE
318;LIVE
319;EXC
320;LIVE
321;LIVE
322;LIVE
394;LIVE
395;LIVE
396;LIVE
397;EXC
399;LIVE
400;LIVE
401;LIVE
402;LIVE
403;LIVE
404;EXC
405;LIVE
406;EXC
407;LIVE
408;LIVE
409;LIVE
410;EXC
411;EXC
412;EXC
413;LIVE
414;EXC
415;EXC
416;EXC
417;LIVE
438;LIVE
439;EXC
440;EXC
442;EXC
