mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;LIVE
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;LIVE
11;LIVE
12;LIVE
13;LIVE
14;LIVE
15;LIVE
16;LIVE
17;LIVE
18;LIVE
19;LIVE
20;LIVE
21;LIVE
22;LIVE
23;LIVE
24;LIVE
25;LIVE
26;LIVE
53;LIVE
54;LIVE
55;LIVE
56;LIVE
57;LIVE
58;LIVE
59;LIVE
60;LIVE
61;LIVE
62;LIVE
63;LIVE
64;LIVE
65;LIVE
66;LIVE
67;LIVE
68;LIVE
69;LIVE
70;LIVE
71;LIVE
72;LIVE
73;LIVE
74;LIVE
75;LIVE
76;LIVE
77;LIVE
78;LIVE
79;LIVE
80;LIVE
81;LIVE
82;LIVE
83;LIVE
84;LIVE
85;LIVE
86;LIVE
99;LIVE
100;LIVE
101;LIVE
102;LIVE
103;LIVE
104;LIVE
105;LIVE
106;LIVE
107;LIVE
108;LIVE
109;LIVE
110;LIVE
111;LIVE
112;LIVE
113;LIVE
114;LIVE
115;LIVE
116;LIVE
117;LIVE
118;LIVE
119;LIVE
120;LIVE
121;LIVE
122;LIVE
123;LIVE
124;LIVE
125;LIVE
132;EXC
133;LIVE
134;LIVE
135;LIVE
137;LIVE
139;LIVE
140;EXC
141;EXC
142;LIVE
143;EXC
144;LIVE
145;EXC
146;LIVE
147;EXC
148;LIVE
149;EXC
163;LIVE
164;EXC
165;LIVE
166;EXC
167;LIVE
168;LIVE
169;LIVE
170;LIVE
171;LIVE
183;LIVE
184;LIVE
185;EXC
186;LIVE
187;EXC
188;LIVE
190;LIVE
