mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;LIVE
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;FAIL
10;FAIL
11;LIVE
12;LIVE
13;LIVE
14;LIVE
15;FAIL
16;FAIL
17;FAIL
18;FAIL
19;LIVE
20;LIVE
21;FAIL
22;FAIL
23;LIVE
24;LIVE
25;LIVE
26;LIVE
27;LIVE
28;LIVE
29;LIVE
30;LIVE
31;FAIL
32;FAIL
33;LIVE
34;LIVE
35;LIVE
36;LIVE
37;LIVE
38;LIVE
39;FAIL
40;FAIL
41;LIVE
42;LIVE
43;LIVE
44;LIVE
45;LIVE
46;LIVE
47;LIVE
48;LIVE
49;FAIL
50;FAIL
51;FAIL
52;FAIL
53;LIVE
54;LIVE
55;LIVE
56;LIVE
57;FAIL
58;FAIL
59;LIVE
60;LIVE
61;FAIL
62;FAIL
63;LIVE
64;LIVE
65;LIVE
66;LIVE
67;FAIL
68;FAIL
69;LIVE
70;LIVE
71;LIVE
72;LIVE
73;LIVE
74;LIVE
75;LIVE
76;LIVE
77;LIVE
78;LIVE
79;LIVE
80;LIVE
81;LIVE
82;LIVE
83;LIVE
84;LIVE
85;FAIL
86;FAIL
87;LIVE
88;LIVE
89;LIVE
90;LIVE
91;LIVE
92;LIVE
93;LIVE
94;LIVE
95;LIVE
96;LIVE
97;FAIL
98;FAIL
99;LIVE
100;LIVE
101;FAIL
102;FAIL
103;LIVE
104;LIVE
105;FAIL
106;FAIL
107;FAIL
108;FAIL
109;FAIL
110;FAIL
111;FAIL
112;FAIL
113;FAIL
114;FAIL
115;FAIL
116;FAIL
117;FAIL
118;FAIL
119;FAIL
120;FAIL
121;FAIL
122;FAIL
123;FAIL
124;FAIL
125;FAIL
126;FAIL
127;FAIL
128;FAIL
129;FAIL
130;LIVE
131;FAIL
135;FAIL
136;FAIL
137;FAIL
138;FAIL
139;FAIL
140;EXC
141;EXC
142;EXC
143;EXC
144;EXC
145;EXC
146;EXC
147;EXC
148;EXC
149;EXC
150;EXC
151;LIVE
152;EXC
153;LIVE
154;EXC
155;LIVE
156;EXC
157;LIVE
158;EXC
159;LIVE
160;FAIL
161;FAIL
162;FAIL
163;LIVE
164;EXC
165;LIVE
166;EXC
167;FAIL
168;LIVE
169;LIVE
