mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;EXC
3;LIVE
4;LIVE
5;EXC
6;LIVE
7;EXC
8;LIVE
9;LIVE
10;LIVE
11;LIVE
12;LIVE
13;LIVE
100;EXC
101;LIVE
102;EXC
103;LIVE
104;EXC
105;LIVE
106;EXC
107;LIVE
108;EXC
109;LIVE
110;EXC
111;LIVE
112;LIVE
136;FAIL
237;LIVE
575;FAIL
653;LIVE
681;LIVE
682;LIVE
683;LIVE
685;LIVE
686;LIVE
687;LIVE
688;LIVE
689;LIVE
690;LIVE
691;LIVE
692;LIVE
700;LIVE
701;EXC
702;LIVE
703;EXC
704;LIVE
707;LIVE
708;LIVE
709;EXC
710;LIVE
711;LIVE
712;LIVE
713;LIVE
714;LIVE
715;LIVE
716;EXC
717;LIVE
718;LIVE
719;LIVE
720;LIVE
721;LIVE
722;LIVE
723;LIVE
724;LIVE
725;LIVE
726;LIVE
727;LIVE
728;LIVE
729;EXC
730;LIVE
731;LIVE
732;LIVE
733;LIVE
734;LIVE
735;LIVE
736;LIVE
737;LIVE
738;LIVE
739;LIVE
740;LIVE
741;LIVE
742;LIVE
743;LIVE
744;LIVE
745;EXC
746;LIVE
747;LIVE
748;LIVE
749;LIVE
750;EXC
751;EXC
752;LIVE
753;LIVE
754;EXC
755;LIVE
756;EXC
757;LIVE
758;LIVE
759;LIVE
760;LIVE
761;LIVE
762;LIVE
763;EXC
764;EXC
765;LIVE
766;LIVE
767;EXC
768;LIVE
769;EXC
770;LIVE
771;LIVE
772;LIVE
773;LIVE
774;LIVE
775;LIVE
776;EXC
777;EXC
778;LIVE
779;LIVE
780;EXC
781;LIVE
782;EXC
783;LIVE
784;EXC
805;FAIL
806;LIVE
807;LIVE
808;LIVE
809;LIVE
810;LIVE
818;EXC
819;EXC
820;EXC
821;EXC
822;EXC
823;EXC
824;LIVE
825;LIVE
826;LIVE
827;LIVE
828;EXC
829;LIVE
830;LIVE
831;LIVE
832;LIVE
833;LIVE
834;LIVE
835;EXC
836;EXC
837;EXC
838;EXC
839;LIVE
840;LIVE
841;LIVE
842;LIVE
843;EXC
844;EXC
845;EXC
846;EXC
847;EXC
848;EXC
849;EXC
850;EXC
851;EXC
852;LIVE
853;EXC
854;EXC
855;EXC
856;EXC
857;EXC
858;LIVE
859;EXC
860;EXC
861;LIVE
862;LIVE
863;EXC
864;LIVE
865;LIVE
866;LIVE
867;LIVE
868;LIVE
869;LIVE
870;LIVE
873;LIVE
874;LIVE
875;LIVE
876;EXC
877;LIVE
878;LIVE
879;EXC
880;LIVE
881;LIVE
882;LIVE
883;LIVE
884;EXC
885;LIVE
886;LIVE
887;LIVE
888;LIVE
889;LIVE
890;LIVE
891;LIVE
892;LIVE
893;LIVE
894;LIVE
895;LIVE
896;LIVE
897;EXC
898;EXC
899;LIVE
900;LIVE
901;LIVE
902;LIVE
903;LIVE
904;EXC
905;EXC
906;EXC
907;LIVE
908;EXC
909;LIVE
910;LIVE
911;LIVE
912;LIVE
913;EXC
914;EXC
915;LIVE
916;LIVE
917;EXC
918;LIVE
919;LIVE
920;EXC
921;LIVE
922;LIVE
923;EXC
924;LIVE
925;LIVE
926;EXC
927;LIVE
928;LIVE
929;LIVE
930;LIVE
931;LIVE
932;LIVE
933;LIVE
934;LIVE
935;LIVE
936;EXC
937;EXC
938;EXC
939;EXC
940;LIVE
941;LIVE
942;EXC
943;LIVE
944;LIVE
945;LIVE
946;LIVE
955;EXC
956;EXC
957;EXC
958;EXC
959;LIVE
960;LIVE
961;EXC
962;LIVE
963;LIVE
964;LIVE
965;LIVE
974;EXC
975;EXC
976;EXC
977;EXC
978;LIVE
979;LIVE
980;EXC
981;LIVE
982;LIVE
983;EXC
984;LIVE
993;LIVE
994;EXC
995;LIVE
996;LIVE
997;EXC
998;LIVE
999;LIVE
1000;EXC
1001;LIVE
1002;LIVE
1003;LIVE
1004;LIVE
1005;LIVE
1006;EXC
1007;LIVE
1008;LIVE
1009;EXC
1010;LIVE
1011;LIVE
1012;EXC
1013;LIVE
1014;LIVE
1015;LIVE
1016;LIVE
1017;LIVE
1018;EXC
1019;LIVE
1020;LIVE
1021;EXC
1022;LIVE
1023;LIVE
1024;LIVE
1025;LIVE
1026;LIVE
1027;LIVE
1028;LIVE
1029;LIVE
1053;LIVE
1054;LIVE
1055;LIVE
1056;LIVE
1057;LIVE
1058;LIVE
1059;LIVE
1060;LIVE
1061;EXC
1062;EXC
1063;LIVE
1109;LIVE
1110;EXC
1111;LIVE
1112;LIVE
1113;EXC
1114;LIVE
1115;LIVE
1116;LIVE
1117;LIVE
1118;LIVE
1119;LIVE
1120;LIVE
1121;LIVE
1122;LIVE
1123;EXC
1124;EXC
1125;EXC
1126;EXC
1127;LIVE
1128;LIVE
1129;EXC
1130;LIVE
1131;LIVE
1132;LIVE
1133;LIVE
1142;EXC
1143;EXC
1144;EXC
1145;EXC
1146;LIVE
1147;LIVE
1148;EXC
1149;LIVE
1150;LIVE
1151;LIVE
1152;LIVE
1161;LIVE
1162;EXC
1163;LIVE
1164;LIVE
1165;EXC
1166;LIVE
1167;LIVE
1168;EXC
1169;LIVE
1170;LIVE
1171;LIVE
1172;LIVE
1173;LIVE
1174;EXC
1175;LIVE
1176;LIVE
1177;EXC
1178;LIVE
1179;LIVE
1180;EXC
1181;LIVE
1182;LIVE
1183;LIVE
1184;EXC
1185;LIVE
1186;LIVE
1187;EXC
1188;LIVE
1189;EXC
1190;LIVE
1191;LIVE
1192;EXC
1193;LIVE
1194;LIVE
1195;EXC
1196;EXC
1197;LIVE
1198;EXC
1199;EXC
1200;LIVE
1201;LIVE
1202;LIVE
1203;EXC
1204;LIVE
1205;LIVE
1206;LIVE
1207;LIVE
1208;EXC
1209;EXC
1210;EXC
1211;LIVE
1212;LIVE
1213;EXC
1392;EXC
1393;EXC
1396;EXC
1397;EXC
1398;EXC
1399;EXC
1400;LIVE
1463;LIVE
1767;LIVE
1768;EXC
1769;LIVE
1770;LIVE
1771;EXC
1772;LIVE
1773;EXC
1774;LIVE
1775;LIVE
1776;EXC
1777;LIVE
1781;LIVE
1782;LIVE
1783;LIVE
1784;LIVE
1785;LIVE
1786;LIVE
1787;LIVE
1788;LIVE
1789;LIVE
1939;EXC
1940;LIVE
1941;LIVE
1948;LIVE
1949;LIVE
1950;LIVE
1951;EXC
1952;EXC
1953;EXC
1954;EXC
1955;EXC
1956;EXC
2031;LIVE
2032;LIVE
2033;LIVE
2034;LIVE
2150;LIVE
2151;LIVE
2152;LIVE
2153;LIVE
2154;LIVE
2155;LIVE
2156;LIVE
2229;LIVE
2230;LIVE
2233;LIVE
2234;LIVE
2237;LIVE
2240;LIVE
2241;LIVE
2242;LIVE
2243;LIVE
2244;LIVE
2251;LIVE
2252;LIVE
2253;LIVE
2254;EXC
2255;LIVE
2576;LIVE
2609;LIVE
2610;LIVE
2611;LIVE
2612;LIVE
2613;LIVE
2614;LIVE
2739;LIVE
2769;LIVE
2779;LIVE
2780;LIVE
2781;LIVE
2782;LIVE
2783;LIVE
2784;LIVE
2785;LIVE
2791;LIVE
2792;LIVE
2793;LIVE
2794;LIVE
2795;LIVE
2797;LIVE
2798;LIVE
2799;LIVE
2800;LIVE
2801;LIVE
2802;LIVE
2803;LIVE
2804;LIVE
2805;LIVE
2807;LIVE
2826;LIVE
2843;LIVE
2844;LIVE
2845;LIVE
2846;LIVE
2847;LIVE
2848;LIVE
2849;LIVE
2850;LIVE
2851;LIVE
2852;LIVE
2853;LIVE
2911;LIVE
2951;LIVE
