CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
295;org.jsecurity.JSecurityExceptionTest$null;9;19;0;34;34;0;0;0;0;563;34
569;org.jsecurity.authc.AccountExceptionTest$null;10;5;0;33;33;0;0;0;0;563;67
816;org.jsecurity.authc.AuthenticationExceptionTest$null;12;4;0;33;33;0;0;0;0;563;100
1067;org.jsecurity.authc.CredentialsExceptionTest$null;9;4;0;33;33;0;0;0;0;563;133
1345;org.jsecurity.authc.ExcessiveAttemptsExceptionTest$null;8;5;0;33;33;0;0;0;0;563;166
1577;org.jsecurity.authc.ExpiredCredentialsExceptionTest$null;8;5;0;33;33;0;0;0;0;563;199
1809;org.jsecurity.authc.IncorrectCredentialsExceptionTest$null;7;4;0;33;33;0;0;0;0;563;232
2043;org.jsecurity.authc.UnknownAccountExceptionTest$null;10;7;0;33;33;0;0;0;0;563;265
2411;org.jsecurity.authc.credential.AllowAllCredentialsMatcherTest$null;10;9;1;35;35;1;1;0;0;562;300
2662;org.jsecurity.authc.pam.UnsupportedTokenExceptionTest$null;7;4;0;35;35;1;1;0;0;562;335
2909;org.jsecurity.authz.AuthorizationExceptionTest$null;7;3;0;33;33;1;1;0;0;562;368
3171;org.jsecurity.authz.HostUnauthorizedExceptionTest$null;8;10;0;33;33;1;1;0;0;562;401
3607;org.jsecurity.authz.SimpleAuthorizationInfoTest$null;12;10;6;45;45;7;1;6;0;556;446
3958;org.jsecurity.authz.aop.AuthenticatedAnnotationMethodInterceptorTest$null;10;5;0;36;36;7;1;6;0;556;482
4372;org.jsecurity.authz.aop.GuestAnnotationMethodInterceptorTest$null;10;5;0;36;36;7;1;6;0;556;518
4829;org.jsecurity.authz.aop.PermissionAnnotationMethodInterceptorTest$null;11;6;0;36;36;7;1;6;0;556;554
5220;org.jsecurity.authz.aop.RoleAnnotationMethodInterceptorTest$null;11;7;0;36;36;7;1;6;0;556;590
5549;org.jsecurity.authz.aop.UserAnnotationMethodInterceptorTest$null;10;6;0;36;36;7;1;6;0;556;626
5737;org.jsecurity.authz.permission.AllPermissionTest$null;7;1;1;34;34;8;2;6;0;555;660
5935;org.jsecurity.authz.permission.InvalidPermissionStringExceptionTest$null;6;2;0;33;33;8;2;6;0;555;693
6140;org.jsecurity.cache.CacheExceptionTest$null;7;2;0;33;33;8;2;6;0;555;726
6372;org.jsecurity.cache.HashtableCacheManagerTest$null;7;3;0;33;33;8;2;6;0;555;759
12146;org.jsecurity.codec.Base64Test$null;16;11;126;415;415;134;3;131;0;429;1174
12354;org.jsecurity.codec.CodecExceptionTest$null;8;3;0;33;33;134;3;131;0;429;1207
23439;org.jsecurity.config.ResourceConfigurationTest$null;113;113;11;103;103;145;3;142;0;418;1310
23679;org.jsecurity.io.ResourceExceptionTest$null;9;2;0;33;33;145;3;142;0;418;1343
23890;org.jsecurity.io.SerializationExceptionTest$null;9;1;0;33;33;145;3;142;0;418;1376
24261;org.jsecurity.session.ExpiredSessionExceptionTest$null;12;6;0;35;35;145;3;142;0;418;1411
24501;org.jsecurity.session.InvalidSessionExceptionTest$null;10;3;0;35;35;145;3;142;0;418;1446
24739;org.jsecurity.session.SessionExceptionTest$null;11;5;0;36;36;145;3;142;0;418;1482
24993;org.jsecurity.session.StoppedSessionExceptionTest$null;10;3;0;35;35;145;3;142;0;418;1517
25255;org.jsecurity.session.UnknownSessionExceptionTest$null;42;3;0;35;35;145;3;142;0;418;1552
29575;org.jsecurity.spring.LifecycleBeanPostProcessorTest$null;95;101;1;61;61;146;3;143;0;417;1613
29792;org.jsecurity.subject.InvalidSubjectExceptionTest$null;10;2;0;33;33;146;3;143;0;417;1646
29996;org.jsecurity.subject.SubjectExceptionTest$null;7;2;0;33;33;146;3;143;0;417;1679
30206;org.jsecurity.util.UnknownClassExceptionTest$null;8;2;0;33;33;146;3;143;0;417;1712
32364;org.jsecurity.web.tags.LacksPermissionTagTest$null;50;39;7;52;52;153;3;150;0;410;1764
34331;org.jsecurity.web.tags.LacksRoleTagTest$null;49;40;3;48;52;156;3;153;0;407;1812
36392;org.jsecurity.web.tags.UserTagTest$null;52;46;3;50;54;159;3;156;0;404;1862
