mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;EXC
3;LIVE
4;LIVE
5;EXC
6;LIVE
7;EXC
11;LIVE
12;LIVE
13;LIVE
15;EXC
22;LIVE
40;LIVE
41;LIVE
42;LIVE
43;LIVE
44;LIVE
45;LIVE
46;LIVE
47;LIVE
48;LIVE
49;LIVE
50;FAIL
51;FAIL
52;LIVE
53;FAIL
54;LIVE
57;LIVE
58;FAIL
59;FAIL
60;LIVE
61;LIVE
62;FAIL
63;LIVE
66;FAIL
67;LIVE
68;LIVE
70;FAIL
71;LIVE
72;EXC
73;EXC
74;EXC
75;EXC
76;EXC
77;LIVE
78;EXC
79;LIVE
80;EXC
81;LIVE
82;LIVE
83;EXC
84;LIVE
85;LIVE
86;LIVE
87;EXC
88;LIVE
89;LIVE
91;LIVE
92;FAIL
93;FAIL
94;EXC
95;FAIL
96;FAIL
97;EXC
98;LIVE
99;LIVE
100;EXC
101;FAIL
102;EXC
103;LIVE
104;EXC
105;LIVE
106;LIVE
107;FAIL
108;EXC
109;FAIL
110;LIVE
111;FAIL
112;LIVE
113;LIVE
114;LIVE
115;LIVE
119;LIVE
130;LIVE
131;LIVE
132;LIVE
133;LIVE
135;LIVE
136;FAIL
137;LIVE
138;LIVE
139;LIVE
140;LIVE
155;LIVE
156;LIVE
157;LIVE
158;LIVE
159;LIVE
160;LIVE
161;LIVE
162;LIVE
163;LIVE
164;LIVE
165;LIVE
166;LIVE
167;LIVE
168;LIVE
169;LIVE
170;LIVE
171;LIVE
172;LIVE
173;LIVE
174;LIVE
175;LIVE
176;LIVE
177;EXC
178;LIVE
179;LIVE
180;LIVE
181;EXC
182;EXC
183;LIVE
184;LIVE
185;LIVE
186;LIVE
187;EXC
188;EXC
189;LIVE
190;LIVE
191;LIVE
192;LIVE
193;LIVE
194;FAIL
195;EXC
196;FAIL
197;FAIL
198;FAIL
199;FAIL
200;FAIL
201;FAIL
202;FAIL
203;FAIL
204;TIME
205;FAIL
206;FAIL
207;LIVE
208;FAIL
209;FAIL
210;FAIL
214;LIVE
220;EXC
221;FAIL
222;EXC
223;EXC
224;FAIL
225;EXC
226;EXC
227;EXC
228;EXC
229;LIVE
230;EXC
231;EXC
232;EXC
233;LIVE
234;LIVE
235;EXC
236;LIVE
237;EXC
238;EXC
239;EXC
240;LIVE
241;EXC
242;EXC
243;EXC
244;EXC
245;EXC
246;FAIL
247;EXC
248;EXC
250;LIVE
251;LIVE
252;LIVE
253;LIVE
254;LIVE
255;LIVE
257;LIVE
258;LIVE
259;LIVE
260;LIVE
261;LIVE
262;FAIL
263;EXC
264;LIVE
265;EXC
266;EXC
267;LIVE
268;LIVE
269;EXC
270;LIVE
271;LIVE
272;EXC
273;EXC
274;LIVE
275;LIVE
276;EXC
375;LIVE
376;LIVE
377;EXC
378;EXC
379;LIVE
380;LIVE
381;EXC
382;LIVE
383;EXC
384;LIVE
385;LIVE
386;EXC
387;LIVE
388;LIVE
389;LIVE
391;EXC
392;EXC
393;LIVE
394;LIVE
395;EXC
396;LIVE
397;LIVE
398;EXC
399;EXC
400;LIVE
401;LIVE
402;EXC
404;EXC
405;EXC
406;LIVE
407;LIVE
408;EXC
409;EXC
410;EXC
411;EXC
412;LIVE
413;LIVE
414;EXC
415;LIVE
416;LIVE
417;EXC
418;FAIL
419;LIVE
420;EXC
421;EXC
422;FAIL
423;LIVE
424;EXC
425;FAIL
426;EXC
427;LIVE
428;LIVE
429;EXC
430;EXC
431;FAIL
432;LIVE
433;EXC
434;EXC
435;LIVE
436;LIVE
437;EXC
438;LIVE
439;EXC
440;LIVE
441;EXC
442;EXC
443;LIVE
444;LIVE
445;EXC
446;FAIL
448;LIVE
449;FAIL
450;EXC
451;EXC
452;LIVE
453;LIVE
454;EXC
455;FAIL
456;EXC
457;EXC
458;LIVE
459;EXC
460;EXC
461;EXC
462;LIVE
463;LIVE
464;EXC
465;FAIL
466;LIVE
467;LIVE
468;FAIL
469;LIVE
470;LIVE
471;FAIL
472;EXC
473;EXC
474;LIVE
475;EXC
476;EXC
477;EXC
478;LIVE
479;LIVE
480;EXC
481;FAIL
482;EXC
483;EXC
484;FAIL
485;LIVE
486;EXC
487;FAIL
488;FAIL
489;EXC
490;EXC
491;FAIL
492;LIVE
493;EXC
494;FAIL
495;EXC
496;EXC
497;FAIL
498;LIVE
499;EXC
500;EXC
501;LIVE
502;LIVE
506;EXC
507;EXC
508;FAIL
509;LIVE
510;LIVE
511;EXC
512;LIVE
513;LIVE
517;EXC
518;EXC
519;LIVE
520;LIVE
521;EXC
522;FAIL
523;EXC
524;LIVE
525;LIVE
547;EXC
548;EXC
549;EXC
550;LIVE
551;LIVE
552;EXC
554;EXC
555;LIVE
556;LIVE
557;EXC
571;EXC
572;LIVE
573;LIVE
574;EXC
575;FAIL
576;EXC
577;EXC
578;FAIL
579;LIVE
580;EXC
581;FAIL
582;EXC
583;FAIL
584;EXC
585;EXC
586;FAIL
587;EXC
588;EXC
589;FAIL
590;EXC
591;EXC
592;FAIL
593;FAIL
594;EXC
595;FAIL
596;FAIL
597;LIVE
598;FAIL
599;FAIL
600;FAIL
601;FAIL
602;EXC
603;EXC
604;LIVE
605;EXC
606;EXC
607;EXC
608;LIVE
609;FAIL
610;EXC
611;LIVE
612;EXC
613;LIVE
615;FAIL
616;FAIL
617;FAIL
618;LIVE
653;LIVE
681;LIVE
682;LIVE
683;LIVE
685;LIVE
686;LIVE
687;LIVE
688;LIVE
689;LIVE
690;LIVE
691;LIVE
692;LIVE
700;FAIL
701;EXC
702;LIVE
703;EXC
704;FAIL
707;FAIL
708;FAIL
709;EXC
710;LIVE
711;FAIL
712;FAIL
713;FAIL
714;FAIL
715;FAIL
716;EXC
717;LIVE
718;FAIL
719;FAIL
720;FAIL
721;FAIL
722;FAIL
723;FAIL
724;FAIL
725;FAIL
726;FAIL
727;FAIL
728;LIVE
729;EXC
730;LIVE
731;FAIL
732;FAIL
733;FAIL
734;FAIL
735;FAIL
736;FAIL
737;FAIL
738;FAIL
739;FAIL
740;LIVE
741;LIVE
742;LIVE
743;LIVE
744;FAIL
745;EXC
746;FAIL
747;FAIL
748;FAIL
749;FAIL
750;EXC
751;EXC
752;FAIL
753;FAIL
754;EXC
755;FAIL
756;EXC
757;FAIL
758;FAIL
759;FAIL
760;FAIL
761;FAIL
762;FAIL
763;EXC
764;EXC
765;FAIL
766;FAIL
767;EXC
768;FAIL
769;EXC
770;FAIL
771;FAIL
772;FAIL
773;FAIL
774;FAIL
775;FAIL
776;EXC
777;EXC
778;FAIL
779;FAIL
780;EXC
781;FAIL
782;EXC
783;FAIL
784;EXC
785;FAIL
786;EXC
787;FAIL
788;LIVE
789;LIVE
790;FAIL
791;LIVE
792;EXC
793;FAIL
794;FAIL
795;LIVE
796;FAIL
797;FAIL
798;EXC
799;FAIL
800;EXC
801;FAIL
802;EXC
803;FAIL
804;FAIL
805;FAIL
806;LIVE
807;LIVE
808;LIVE
809;FAIL
810;LIVE
811;LIVE
812;EXC
813;LIVE
814;EXC
815;FAIL
816;FAIL
817;FAIL
818;FAIL
819;EXC
820;FAIL
821;EXC
822;EXC
823;EXC
824;FAIL
825;LIVE
826;FAIL
827;FAIL
828;FAIL
829;FAIL
830;FAIL
831;FAIL
832;FAIL
833;FAIL
834;FAIL
835;EXC
836;EXC
837;EXC
838;EXC
839;LIVE
840;LIVE
841;LIVE
842;LIVE
843;EXC
844;EXC
845;EXC
846;EXC
847;EXC
848;EXC
849;EXC
850;EXC
851;EXC
852;EXC
