CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
93;org.jsecurity.aop.AnnotationMethodInterceptorEvoSuiteTest$null;10;21;3;6;6;3;0;3;0;2237;6
1463;org.jsecurity.aop.MethodInterceptorSupportEvoSuiteTest$null;41;58;4;17;17;7;0;7;0;2233;23
3959;org.jsecurity.authc.SimpleAccountEvoSuiteTest$null;21;24;34;95;95;41;18;23;0;2199;118
4911;org.jsecurity.authc.SimpleAuthenticationInfoEvoSuiteTest$null;14;14;19;47;64;60;26;34;0;2180;165
4942;org.jsecurity.authc.credential.AllowAllCredentialsMatcherEvoSuiteTest$null;9;5;1;2;2;61;27;34;0;2179;167
8204;org.jsecurity.authc.credential.Md2CredentialsMatcherEvoSuiteTest$null;39;65;35;44;44;96;43;53;0;2144;211
8731;org.jsecurity.authc.credential.Md5CredentialsMatcherEvoSuiteTest$null;39;62;1;7;20;97;43;54;0;2143;218
29860;org.jsecurity.authc.credential.Sha1CredentialsMatcherEvoSuiteTest$null;40;45;246;357;371;343;161;182;0;1897;575
30162;org.jsecurity.authc.credential.Sha256CredentialsMatcherEvoSuiteTest$null;39;45;0;7;21;343;161;182;0;1897;582
30357;org.jsecurity.authc.credential.Sha384CredentialsMatcherEvoSuiteTest$null;35;41;0;4;5;343;161;182;0;1897;586
30763;org.jsecurity.authc.credential.Sha512CredentialsMatcherEvoSuiteTest$null;42;53;0;9;46;343;161;182;0;1897;595
32267;org.jsecurity.authc.credential.SimpleCredentialsMatcherEvoSuiteTest$null;40;45;1;30;36;344;161;183;0;1896;625
32461;org.jsecurity.authc.pam.AtLeastOneSuccessfulModularAuthenticationStrategyEvoSuiteTest$null;10;7;6;12;17;350;163;187;0;1890;637
32816;org.jsecurity.authc.pam.FirstSuccessfulAuthenticationStrategyEvoSuiteTest$null;11;7;7;22;37;357;163;194;0;1883;659
39203;org.jsecurity.authc.pam.ModularRealmAuthenticatorEvoSuiteTest$null;54;64;25;75;84;382;166;216;0;1858;734
40330;org.jsecurity.authz.SimpleAuthorizationInfoEvoSuiteTest$null;12;12;22;78;84;404;168;236;0;1836;812
46668;org.jsecurity.authz.SimpleAuthorizingAccountEvoSuiteTest$null;21;23;83;219;268;487;187;300;0;1753;1031
46848;org.jsecurity.authz.aop.AuthenticatedAnnotationHandlerEvoSuiteTest$null;7;3;2;6;6;489;187;302;0;1751;1037
46888;org.jsecurity.authz.aop.AuthenticatedAnnotationMethodInterceptorEvoSuiteTest$null;8;4;0;3;3;489;187;302;0;1751;1040
46910;org.jsecurity.authz.aop.AuthorizingAnnotationHandlerEvoSuiteTest$null;39;3;0;2;2;489;187;302;0;1751;1042
46950;org.jsecurity.authz.aop.AuthorizingAnnotationMethodInterceptorEvoSuiteTest$null;17;4;0;3;6;489;187;302;0;1751;1045
47131;org.jsecurity.authz.aop.GuestAnnotationHandlerEvoSuiteTest$null;8;3;2;6;6;491;187;304;0;1749;1051
47174;org.jsecurity.authz.aop.GuestAnnotationMethodInterceptorEvoSuiteTest$null;8;4;0;3;3;491;187;304;0;1749;1054
47196;org.jsecurity.authz.aop.PermissionAnnotationHandlerEvoSuiteTest$null;7;3;0;2;2;491;187;304;0;1749;1056
47236;org.jsecurity.authz.aop.PermissionAnnotationMethodInterceptorEvoSuiteTest$null;8;5;0;3;3;491;187;304;0;1749;1059
47258;org.jsecurity.authz.aop.RoleAnnotationHandlerEvoSuiteTest$null;7;2;0;2;2;491;187;304;0;1749;1061
47339;org.jsecurity.authz.aop.RoleAnnotationMethodInterceptorEvoSuiteTest$null;8;4;0;3;3;491;187;304;0;1749;1064
47519;org.jsecurity.authz.aop.UserAnnotationHandlerEvoSuiteTest$null;6;3;2;6;6;493;187;306;0;1747;1070
47559;org.jsecurity.authz.aop.UserAnnotationMethodInterceptorEvoSuiteTest$null;8;4;0;3;3;493;187;306;0;1747;1073
48158;org.jsecurity.authz.permission.AllPermissionEvoSuiteTest$null;7;2;3;53;73;496;188;308;0;1744;1126
49060;org.jsecurity.authz.permission.WildcardPermissionEvoSuiteTest$null;8;5;27;73;95;523;203;320;0;1717;1199
49070;org.jsecurity.authz.permission.WildcardPermissionResolverEvoSuiteTest$null;6;1;0;1;10;523;203;320;0;1717;1200
49101;org.jsecurity.cache.HashtableCacheEvoSuiteTest$null;7;6;2;3;3;525;205;320;0;1715;1203
49102;org.jsecurity.cache.HashtableCacheManagerEvoSuiteTest$null;6;2;0;0;0;525;205;320;0;1715;1203
58122;org.jsecurity.codec.Base64EvoSuiteTest$null;14;11;189;453;697;714;274;439;1;1526;1656
61909;org.jsecurity.codec.CodecSupportEvoSuiteTest$null;46;63;2;48;143;716;274;441;1;1524;1704
62344;org.jsecurity.codec.HexEvoSuiteTest$null;8;4;20;41;62;736;277;458;1;1504;1745
79852;org.jsecurity.config.IniConfigurationEvoSuiteTest$null;103;133;28;125;126;764;283;480;1;1476;1870
79853;org.jsecurity.config.ResourceConfigurationEvoSuiteTest$null;40;41;0;0;1;764;283;480;1;1476;1870
