mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
515;LIVE
919;LIVE
921;EXC
922;LIVE
923;LIVE
924;LIVE
1021;LIVE
1022;EXC
1023;LIVE
1024;LIVE
1025;EXC
1026;LIVE
1027;LIVE
1028;EXC
1029;LIVE
1030;LIVE
1031;LIVE
1032;LIVE
1033;LIVE
1034;LIVE
1035;EXC
1259;LIVE
1260;LIVE
1261;LIVE
1262;LIVE
1263;LIVE
1264;LIVE
1265;LIVE
1266;LIVE
1267;LIVE
1268;EXC
1269;LIVE
1270;LIVE
1271;EXC
1272;LIVE
1273;LIVE
1274;LIVE
1279;LIVE
1280;LIVE
1281;LIVE
1282;LIVE
1309;EXC
1310;EXC
1311;LIVE
1312;LIVE
1313;EXC
1316;LIVE
1317;LIVE
1318;LIVE
1319;LIVE
1320;LIVE
1321;EXC
1322;EXC
1323;EXC
1324;LIVE
1325;LIVE
1326;EXC
1333;FAIL
1334;LIVE
1335;LIVE
1336;FAIL
1337;LIVE
1338;EXC
1339;LIVE
1342;LIVE
1343;EXC
1344;EXC
1345;LIVE
1383;FAIL
1391;EXC
1392;EXC
1393;LIVE
1394;LIVE
1395;EXC
1413;LIVE
1414;EXC
1415;LIVE
1416;LIVE
1417;EXC
1418;LIVE
1419;LIVE
1427;FAIL
1428;FAIL
1429;FAIL
1430;FAIL
1431;EXC
1432;EXC
1433;EXC
1434;FAIL
1435;EXC
1436;EXC
1437;FAIL
1438;FAIL
1439;FAIL
1443;LIVE
1446;LIVE
1447;LIVE
1448;LIVE
1449;EXC
1450;LIVE
1451;LIVE
1452;LIVE
1453;LIVE
1454;LIVE
1455;LIVE
1456;LIVE
1457;LIVE
1458;LIVE
1459;LIVE
1539;FAIL
1619;EXC
1620;LIVE
1635;EXC
1636;EXC
1637;LIVE
1638;EXC
1639;EXC
1640;LIVE
1641;LIVE
1642;LIVE
1643;EXC
1644;FAIL
1648;FAIL
1668;LIVE
1669;LIVE
1671;LIVE
1672;LIVE
1673;LIVE
1674;LIVE
1675;FAIL
1680;LIVE
1681;FAIL
1689;LIVE
1692;LIVE
1693;LIVE
