CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;nu.staldal.lagoon.BuildSitemapEvoSuiteTest$null;7;2;0;0;0;0;0;0;0;1084;0
10;nu.staldal.lagoon.LagoonCLIEvoSuiteTest$null;10;5;0;1;1;0;0;0;0;1084;1
164;nu.staldal.lagoon.MyParserEvoSuiteTest$null;14;77;2;12;12;2;2;0;0;1082;13
274;nu.staldal.lagoon.TextAreaWriterEvoSuiteTest$null;7;6;8;13;13;10;4;6;0;1074;26
274;nu.staldal.lagoon.XMLCheckEvoSuiteTest$null;6;1;0;0;0;10;4;6;0;1074;26
287;nu.staldal.lagoon.core.DeleteEntryEvoSuiteTest$null;9;5;0;1;1;10;4;6;0;1074;27
310;nu.staldal.lagoon.core.FileEntryEvoSuiteTest$null;7;2;0;2;2;10;4;6;0;1074;29
337;nu.staldal.lagoon.core.FormatEvoSuiteTest$null;9;6;0;2;2;10;4;6;0;1074;31
1444;nu.staldal.lagoon.core.LagoonProcessorEvoSuiteTest$null;19;17;9;41;41;19;4;15;0;1065;72
1501;nu.staldal.lagoon.core.OutputEntryEvoSuiteTest$null;12;8;3;3;3;22;7;15;0;1062;75
1501;nu.staldal.lagoon.core.ParseEvoSuiteTest$null;10;6;0;0;2;22;7;15;0;1062;75
2199;nu.staldal.lagoon.core.PartEntryEvoSuiteTest$null;17;14;3;27;29;25;7;18;0;1059;102
2199;nu.staldal.lagoon.core.ReadEvoSuiteTest$null;8;3;0;0;2;25;7;18;0;1059;102
2250;nu.staldal.lagoon.core.RemoteFileStorageEvoSuiteTest$null;10;6;1;3;3;26;8;18;0;1058;105
2964;nu.staldal.lagoon.core.SitemapEvoSuiteTest$null;15;10;0;30;38;26;8;18;0;1058;135
2965;nu.staldal.lagoon.core.SourceEvoSuiteTest$null;8;3;0;0;2;26;8;18;0;1058;135
3021;nu.staldal.lagoon.core.TransformEvoSuiteTest$null;9;5;0;2;4;26;8;18;0;1058;137
3204;nu.staldal.lagoon.filestorage.FTPFileStorageEvoSuiteTest$null;13;11;3;10;11;29;11;18;0;1055;147
4475;nu.staldal.lagoon.filestorage.SSHFileStorageEvoSuiteTest$null;11;10;26;71;71;55;15;40;0;1029;218
5810;nu.staldal.lagoon.producer.BasicSplitEvoSuiteTest$null;14;15;19;46;48;74;19;51;4;1010;264
5810;nu.staldal.lagoon.producer.DirSourceEvoSuiteTest$null;8;4;0;0;2;74;19;51;4;1010;264
5823;nu.staldal.lagoon.producer.FileReadEvoSuiteTest$null;8;3;0;1;3;74;19;51;4;1010;265
5848;nu.staldal.lagoon.producer.FileSourceEvoSuiteTest$null;7;5;1;2;4;75;20;51;4;1009;267
6253;nu.staldal.lagoon.producer.IslandSplitEvoSuiteTest$null;12;10;8;25;27;83;27;52;4;1001;292
6429;nu.staldal.lagoon.producer.LSSIHandlerEvoSuiteTest$null;9;7;1;15;15;84;27;53;4;1000;307
6468;nu.staldal.lagoon.producer.LSSITransformerEvoSuiteTest$null;9;5;0;3;5;84;27;53;4;1000;310
7642;nu.staldal.lagoon.producer.MyInputStreamEvoSuiteTest$null;6;2;11;35;35;95;27;56;12;989;345
7712;nu.staldal.lagoon.producer.MyOutputStreamEvoSuiteTest$null;6;2;5;8;8;101;30;58;13;983;353
7748;nu.staldal.lagoon.producer.StylesheetContainerEvoSuiteTest$null;5;1;1;1;1;102;31;58;13;982;354
8045;nu.staldal.lagoon.producer.XMLFormatterEvoSuiteTest$null;11;9;6;18;20;108;31;64;13;976;372
8271;nu.staldal.lagoon.producer.XMLParseEvoSuiteTest$null;13;10;0;11;13;108;31;64;13;976;383
8570;nu.staldal.lagoon.producer.XSLTransformerEvoSuiteTest$null;10;6;8;20;23;116;32;71;13;968;403
8579;nu.staldal.lagoon.util.TemplateProcessorEvoSuiteTest$null;5;2;1;1;1;117;33;71;13;967;404
9150;nu.staldal.lagoon.util.WildcardEvoSuiteTest$null;8;6;43;56;56;160;58;89;13;924;460
9796;nu.staldal.util.UtilsEvoSuiteTest$null;9;8;53;62;64;213;101;99;13;871;522
10564;nu.staldal.xmlutil.ContentHandlerAdapterEvoSuiteTest$null;10;29;19;57;57;232;102;117;13;852;579
13956;nu.staldal.xmlutil.ContentHandlerFixerEvoSuiteTest$null;16;16;47;172;172;279;106;160;13;805;751
15494;nu.staldal.xmlutil.DocumentHandlerAdapterEvoSuiteTest$null;13;12;37;121;121;316;107;196;13;768;872
15522;nu.staldal.xodus.OutputConfigEvoSuiteTest$null;5;1;1;4;4;317;107;197;13;767;876
16266;nu.staldal.xtree.NodeEvoSuiteTest$null;13;9;24;53;57;341;116;212;13;743;929
16274;nu.staldal.xtree.ProcessingInstructionEvoSuiteTest$null;6;2;1;1;5;342;117;212;13;742;930
19923;nu.staldal.xtree.SequentialTreeBuilderEvoSuiteTest$null;32;20;46;150;158;388;130;245;13;696;1080
20188;nu.staldal.xtree.TextEvoSuiteTest$null;8;5;11;32;36;399;138;248;13;685;1112
22055;nu.staldal.xtree.TreeBuilderEvoSuiteTest$null;19;18;5;86;107;404;139;252;13;680;1198
22208;nu.staldal.xtree.XTreeXMLDataContentHandlerEvoSuiteTest$null;9;166;4;12;12;408;140;255;13;676;1210
