mutantNo;[FAIL | TIME | EXC | LIVE]
1263;LIVE
1264;LIVE
1265;LIVE
1266;LIVE
1267;LIVE
1268;LIVE
1269;LIVE
1270;LIVE
1271;LIVE
1272;FAIL
1273;LIVE
1274;EXC
1275;FAIL
1276;LIVE
1277;FAIL
1278;FAIL
1279;LIVE
1280;FAIL
1281;LIVE
1282;LIVE
1309;EXC
1310;EXC
1311;LIVE
1312;FAIL
1313;EXC
1340;FAIL
1341;FAIL
1342;FAIL
1343;EXC
1344;EXC
1345;FAIL
1407;LIVE
1408;EXC
1409;LIVE
1410;LIVE
1411;EXC
1412;LIVE
1413;LIVE
1414;EXC
1415;LIVE
1416;LIVE
1417;EXC
1418;FAIL
1419;EXC
1427;LIVE
1428;LIVE
1429;LIVE
1430;LIVE
1934;EXC
1935;LIVE
1936;LIVE
1937;EXC
1938;LIVE
1939;EXC
1940;LIVE
1941;LIVE
1942;EXC
1945;TIME
1946;FAIL
1947;TIME
1948;TIME
1949;FAIL
1950;TIME
1951;LIVE
1952;EXC
1953;LIVE
1954;EXC
1955;LIVE
1956;LIVE
1957;EXC
1958;TIME
1959;EXC
1960;TIME
1961;TIME
1962;EXC
1963;TIME
1964;LIVE
1965;EXC
1966;LIVE
1967;EXC
1968;LIVE
1969;LIVE
1970;EXC
1971;TIME
1972;FAIL
1973;TIME
1974;TIME
1975;FAIL
1976;TIME
1977;EXC
1978;FAIL
1979;LIVE
1980;LIVE
1981;EXC
1982;FAIL
2994;FAIL
2995;EXC
2996;FAIL
2997;FAIL
2998;FAIL
2999;FAIL
3000;FAIL
3001;EXC
3002;LIVE
3003;EXC
3004;FAIL
3005;FAIL
3006;FAIL
3007;FAIL
3008;FAIL
3492;LIVE
3493;LIVE
3494;LIVE
3495;LIVE
3496;LIVE
3497;LIVE
3498;LIVE
3499;LIVE
3500;LIVE
3501;LIVE
3502;LIVE
3503;LIVE
3504;LIVE
3505;LIVE
3506;LIVE
3507;LIVE
3508;EXC
3509;LIVE
3510;LIVE
3511;LIVE
3512;LIVE
3513;LIVE
3514;LIVE
3515;LIVE
3516;LIVE
3517;LIVE
3518;LIVE
3519;LIVE
3520;LIVE
3521;LIVE
3522;LIVE
3523;EXC
3524;LIVE
3525;LIVE
3526;LIVE
3527;LIVE
3528;LIVE
3529;EXC
3530;LIVE
3531;LIVE
3532;LIVE
3533;EXC
3534;LIVE
3535;LIVE
3536;LIVE
3537;LIVE
3538;LIVE
3539;LIVE
3540;LIVE
3541;LIVE
3542;LIVE
3543;LIVE
3544;LIVE
3545;LIVE
3546;LIVE
3547;LIVE
3548;LIVE
3549;LIVE
3550;LIVE
3551;LIVE
3552;LIVE
3553;LIVE
3554;LIVE
3555;LIVE
3557;LIVE
3558;LIVE
3559;EXC
3560;LIVE
3561;EXC
3562;LIVE
3563;LIVE
3564;LIVE
3565;LIVE
3566;LIVE
3567;LIVE
3568;LIVE
3569;EXC
3570;LIVE
3571;LIVE
3572;EXC
3573;LIVE
3574;LIVE
3575;LIVE
3576;LIVE
3577;LIVE
3578;LIVE
3579;LIVE
3580;LIVE
3582;LIVE
3583;LIVE
3584;LIVE
3585;LIVE
3586;LIVE
3587;LIVE
3588;LIVE
3589;LIVE
3590;LIVE
3591;LIVE
3592;LIVE
3593;LIVE
3594;LIVE
3595;LIVE
3596;LIVE
3597;LIVE
3598;LIVE
3599;LIVE
3600;LIVE
3601;LIVE
3608;LIVE
3609;LIVE
3610;LIVE
3611;LIVE
3612;LIVE
3621;EXC
3622;LIVE
3623;LIVE
3624;LIVE
3625;LIVE
3626;LIVE
3627;LIVE
3628;LIVE
3629;LIVE
3630;LIVE
3631;LIVE
3632;LIVE
3633;LIVE
3634;LIVE
3635;LIVE
3636;LIVE
3637;LIVE
3638;LIVE
3639;LIVE
3640;LIVE
3641;LIVE
3642;LIVE
3643;LIVE
3644;LIVE
3645;LIVE
3646;LIVE
3647;LIVE
3648;LIVE
3649;LIVE
3650;LIVE
3651;LIVE
3652;LIVE
3653;LIVE
3654;LIVE
3655;LIVE
3656;LIVE
3657;LIVE
3658;LIVE
3659;LIVE
3660;LIVE
3661;LIVE
3662;LIVE
3663;EXC
3664;LIVE
3665;EXC
3666;LIVE
3667;LIVE
3668;LIVE
3669;LIVE
3670;LIVE
3671;LIVE
3672;LIVE
3673;LIVE
3674;LIVE
3675;LIVE
3676;LIVE
3677;LIVE
3678;LIVE
3679;LIVE
3680;LIVE
3681;LIVE
3682;LIVE
3683;LIVE
3684;LIVE
3685;LIVE
3686;LIVE
3696;LIVE
3697;TIME
3698;LIVE
3699;LIVE
3700;LIVE
3701;LIVE
3702;LIVE
3703;LIVE
3704;LIVE
3705;LIVE
3706;LIVE
3707;LIVE
3708;LIVE
3709;LIVE
3710;LIVE
3711;LIVE
3712;LIVE
3719;LIVE
3720;LIVE
3721;LIVE
3722;LIVE
3723;LIVE
3724;LIVE
3725;LIVE
3726;LIVE
3727;LIVE
3728;LIVE
3729;LIVE
3730;LIVE
3731;LIVE
3732;LIVE
3733;LIVE
3734;LIVE
