mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;FAIL
4;FAIL
5;LIVE
8;FAIL
9;LIVE
11;LIVE
12;LIVE
13;LIVE
34;FAIL
36;LIVE
37;FAIL
38;LIVE
41;FAIL
42;LIVE
43;FAIL
44;FAIL
46;FAIL
47;FAIL
82;FAIL
83;FAIL
84;FAIL
85;FAIL
86;LIVE
87;EXC
88;LIVE
89;FAIL
90;FAIL
91;FAIL
92;FAIL
93;FAIL
94;LIVE
95;FAIL
96;FAIL
97;LIVE
98;EXC
99;FAIL
100;LIVE
101;LIVE
102;LIVE
103;LIVE
104;LIVE
105;FAIL
150;FAIL
151;LIVE
152;EXC
153;EXC
154;EXC
155;EXC
156;EXC
157;EXC
158;EXC
159;LIVE
160;LIVE
161;LIVE
162;LIVE
163;LIVE
164;LIVE
165;LIVE
166;EXC
167;FAIL
168;FAIL
169;EXC
170;EXC
171;LIVE
172;LIVE
173;EXC
175;LIVE
176;FAIL
177;EXC
178;FAIL
179;FAIL
180;FAIL
181;FAIL
182;FAIL
193;LIVE
194;FAIL
195;FAIL
196;EXC
197;LIVE
198;FAIL
199;EXC
200;EXC
207;LIVE
208;LIVE
209;LIVE
210;LIVE
211;LIVE
212;LIVE
213;LIVE
214;LIVE
215;LIVE
229;FAIL
230;FAIL
231;FAIL
232;FAIL
233;FAIL
234;FAIL
235;FAIL
236;FAIL
237;FAIL
238;FAIL
239;FAIL
240;FAIL
242;FAIL
243;LIVE
244;LIVE
245;LIVE
247;FAIL
248;LIVE
249;LIVE
262;LIVE
263;LIVE
264;EXC
265;FAIL
