CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
10;net.sf.lavalamp.PauseTest$null;105;101;1;1;1;1;1;0;0;245;1
4809;net.sf.lavalamp.application.AlwaysOffTest$null;281;198;2;12;12;3;2;0;1;243;13
5633;net.sf.lavalamp.application.ApplicationPropertiesTest$null;88;69;0;10;10;3;2;0;1;243;23
6579;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;95;65;0;10;10;3;2;0;1;243;33
10314;net.sf.lavalamp.application.BuildStatusServletTest$null;344;280;1;11;11;4;3;0;1;242;44
14021;net.sf.lavalamp.application.UniversalRunnerTest$null;268;223;9;24;24;13;7;5;1;233;68
16292;net.sf.lavalamp.device.BlinkTest$null;140;193;14;17;17;27;21;5;1;219;85
16292;net.sf.lavalamp.device.CrashTest$null;5;1;0;0;0;27;21;5;1;219;85
19148;net.sf.lavalamp.device.DeviceControllerTest$null;204;232;11;17;19;38;30;7;1;208;102
19593;net.sf.lavalamp.device.DeviceFactoryTest$null;13;10;8;24;24;46;30;15;1;200;126
20737;net.sf.lavalamp.device.DevicePropertiesTest$null;80;82;4;10;10;50;34;15;1;196;136
21310;net.sf.lavalamp.device.PeriodTest$null;9;4;23;52;52;73;57;15;1;173;188
21311;net.sf.lavalamp.device.StatusQuoTest$null;114;120;0;0;0;73;57;15;1;173;188
21520;net.sf.lavalamp.device.TimeOfDayTest$null;9;5;7;18;26;80;63;16;1;166;206
24297;net.sf.lavalamp.device.impl.TellStickJniTest$null;129;132;0;16;23;80;63;16;1;166;222
31746;net.sf.lavalamp.device.impl.TellStickTest$null;167;193;22;50;81;102;84;17;1;144;272
32030;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;16;12;6;17;33;108;86;21;1;138;289
32030;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;6;3;0;0;0;108;86;21;1;138;289
32225;net.sf.lavalamp.site.BuildPropertiesTest$null;37;34;2;5;10;110;88;21;1;136;294
34019;net.sf.lavalamp.site.BuildsCheckerTest$null;139;140;3;12;13;113;91;21;1;133;306
34742;net.sf.lavalamp.site.BuildsTest$null;129;132;1;6;8;114;92;21;1;132;312
34757;net.sf.lavalamp.site.DummyRemoteGetterTest$null;6;1;2;2;2;116;94;21;1;130;314
34771;net.sf.lavalamp.site.DummyRestGetterTest$null;6;2;2;2;2;118;95;22;1;128;316
34772;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;2;0;0;0;118;95;22;1;128;316
34796;net.sf.lavalamp.site.SiteFactoryTest$null;11;8;0;2;3;118;95;22;1;128;318
59427;net.sf.lavalamp.site.UrlGetterTest$null;577;570;22;35;35;140;106;33;1;106;353
60574;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;226;261;3;5;6;143;107;35;1;103;358
61662;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;266;238;1;7;9;144;107;36;1;102;365
62594;net.sf.lavalamp.site.impl.BambooRestApiTest$null;169;138;5;7;11;149;111;37;1;97;372
64849;net.sf.lavalamp.site.impl.BambooSiteTest$null;148;144;11;16;19;160;118;41;1;86;388
65816;net.sf.lavalamp.site.impl.HudsonTest$null;146;144;5;7;11;165;123;41;1;81;395
