mutantNo;[FAIL | TIME | EXC | LIVE]
15481;EXC
15482;FAIL
15483;EXC
15484;FAIL
15494;LIVE
15495;LIVE
15496;EXC
15504;EXC
15505;EXC
15506;FAIL
15507;FAIL
15508;TIME
15509;LIVE
15510;LIVE
15511;FAIL
15512;LIVE
15513;LIVE
15514;FAIL
15515;FAIL
15516;LIVE
15517;LIVE
15518;LIVE
15519;FAIL
15520;EXC
15521;FAIL
15522;LIVE
15523;LIVE
15524;LIVE
15527;FAIL
15534;LIVE
15535;LIVE
15536;LIVE
15561;LIVE
15562;LIVE
15563;LIVE
15564;LIVE
15565;LIVE
15586;EXC
15591;FAIL
16031;LIVE
16032;LIVE
16033;EXC
16034;FAIL
16035;EXC
16036;FAIL
17113;LIVE
17114;LIVE
17121;LIVE
17122;LIVE
17123;LIVE
17136;LIVE
17141;LIVE
17142;LIVE
17143;LIVE
