CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
32;com.sap.netweaver.porta.core.ApplicationStatusEvoSuiteTest$null;20;17;2;2;2;2;1;1;0;52;2
32;com.sap.netweaver.porta.core.CredentialsEvoSuiteTest$null;17;2;0;0;0;2;1;1;0;52;2
32;com.sap.netweaver.porta.core.DebugSessionInfoEvoSuiteTest$null;18;2;0;0;0;2;1;1;0;52;2
58;com.sap.netweaver.porta.core.DeployResultStatusEvoSuiteTest$null;20;2;2;2;2;4;2;2;0;50;4
130;com.sap.netweaver.porta.core.ServerFactoryEvoSuiteTest$null;32;13;1;3;3;5;2;3;0;49;7
131;com.sap.netweaver.porta.core.ServerStateEvoSuiteTest$null;8;2;0;0;0;5;2;3;0;49;7
605;com.sap.netweaver.porta.core.mock.CoreModuleMockEvoSuiteTest$null;13;6;12;26;26;17;9;7;1;37;33
616;com.sap.netweaver.porta.core.mock.DeployManagerMockEvoSuiteTest$null;11;4;1;1;4;18;10;7;1;36;34
617;com.sap.netweaver.porta.core.mock.DeployResultMockEvoSuiteTest$null;10;3;0;0;0;18;10;7;1;36;34
713;com.sap.netweaver.porta.core.mock.LifecycleManagerMockEvoSuiteTest$null;13;6;0;8;8;18;10;7;1;36;42
723;com.sap.netweaver.porta.core.mock.ServerFactoryEvoSuiteTest$null;11;4;1;1;1;19;10;8;1;35;43
760;com.sap.netweaver.porta.core.nw7.ApplicationImplEvoSuiteTest$null;15;8;1;1;1;20;11;8;1;34;44
760;com.sap.netweaver.porta.core.nw7.DMUtilsImplEvoSuiteTest$null;10;2;0;0;0;20;11;8;1;34;44
761;com.sap.netweaver.porta.core.nw7.DeployResultImplEvoSuiteTest$null;12;2;0;0;0;20;11;8;1;34;44
761;com.sap.netweaver.porta.core.nw7.FaultReasonsEvoSuiteTest$null;13;2;0;0;0;20;11;8;1;34;44
761;com.sap.netweaver.porta.core.nw7.LMUtilsImplEvoSuiteTest$null;13;1;0;0;0;20;11;8;1;34;44
761;com.sap.netweaver.porta.core.snippets.SnippetFindJ2EEInstanceEvoSuiteTest$null;12;1;0;0;0;20;11;8;1;34;44
762;com.sap.netweaver.porta.core.snippets.SnippetGetApplicationsEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
762;com.sap.netweaver.porta.core.snippets.SnippetGetHttpAccessPointEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
762;com.sap.netweaver.porta.core.snippets.SnippetGetProcessListEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
762;com.sap.netweaver.porta.core.snippets.SnippetGetSystemNameEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
763;com.sap.netweaver.porta.core.snippets.SnippetJ2EEGetProcessListEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
763;com.sap.netweaver.porta.core.snippets.SnippetPingEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
763;com.sap.netweaver.porta.core.snippets.SnippetServerFactoryEvoSuiteTest$null;11;0;0;0;0;20;11;8;1;34;44
764;com.sap.netweaver.porta.core.snippets.SnippetShutdownInstanceEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
764;com.sap.netweaver.porta.core.snippets.SnippetStartStopServerEvoSuiteTest$null;11;1;0;0;0;20;11;8;1;34;44
819;com.sap.netweaver.porta.core.snippets.SnippetUseDeployManagerEvoSuiteTest$null;14;4;3;5;6;23;13;9;1;31;49
820;com.sap.netweaver.porta.ide.eclipse.util.FacetUtilEvoSuiteTest$null;11;1;0;0;0;23;13;9;1;31;49
820;com.sap.netweaver.porta.ide.eclipse.util.SapNWServerUtilEvoSuiteTest$null;10;0;0;0;0;23;13;9;1;31;49
820;com.sap.netweaver.porta.ide.eclipse.util.StatusUtilEvoSuiteTest$null;10;1;0;0;0;23;13;9;1;31;49
843;com.sap.netweaver.porta.mon.AppCommandEvoSuiteTest$null;14;4;0;2;2;23;13;9;1;31;51
843;com.sap.netweaver.porta.mon.CommandEvoSuiteTest$null;12;2;0;0;0;23;13;9;1;31;51
844;com.sap.netweaver.porta.mon.CommandFactoryEvoSuiteTest$null;27;14;0;0;0;23;13;9;1;31;51
844;com.sap.netweaver.porta.mon.DeployCommandEvoSuiteTest$null;12;4;0;0;0;23;13;9;1;31;51
876;com.sap.netweaver.porta.mon.DeployManagerAuthenticationCallbackEvoSuiteTest$null;16;9;0;3;3;23;13;9;1;31;54
897;com.sap.netweaver.porta.mon.DisableDebuggingCommandEvoSuiteTest$null;21;19;0;1;1;23;13;9;1;31;55
925;com.sap.netweaver.porta.mon.EnableDebuggingCommandEvoSuiteTest$null;21;19;0;1;1;23;13;9;1;31;56
941;com.sap.netweaver.porta.mon.ExitCommandEvoSuiteTest$null;12;5;0;1;1;23;13;9;1;31;57
999;com.sap.netweaver.porta.mon.LifecycleManagerAuthenticationCallbackEvoSuiteTest$null;15;9;0;3;3;23;13;9;1;31;60
999;com.sap.netweaver.porta.mon.ListAppsCommandEvoSuiteTest$null;12;5;0;0;0;23;13;9;1;31;60
1032;com.sap.netweaver.porta.mon.RestartCommandEvoSuiteTest$null;22;20;0;1;1;23;13;9;1;31;61
1033;com.sap.netweaver.porta.mon.StartAppCommandEvoSuiteTest$null;12;5;0;0;0;23;13;9;1;31;61
1065;com.sap.netweaver.porta.mon.StartCommandEvoSuiteTest$null;43;19;0;1;1;23;13;9;1;31;62
1095;com.sap.netweaver.porta.mon.StateCommandEvoSuiteTest$null;20;19;0;1;1;23;13;9;1;31;63
1096;com.sap.netweaver.porta.mon.StopAppCommandEvoSuiteTest$null;11;5;0;0;0;23;13;9;1;31;63
1127;com.sap.netweaver.porta.mon.StopCommandEvoSuiteTest$null;20;19;0;1;1;23;13;9;1;31;64
