CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
18;com.sap.netweaver.porta.core.ApplicationStatusTest$null;14;16;2;2;2;2;1;1;0;1758;2
18;com.sap.netweaver.porta.core.AuthenticationReasonTest$null;10;3;0;0;0;2;1;1;0;1758;2
18;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;11;3;0;0;0;2;1;1;0;1758;2
18;com.sap.netweaver.porta.core.CoreExceptionTest$null;12;2;0;0;0;2;1;1;0;1758;2
18;com.sap.netweaver.porta.core.CredentialsTest$null;9;1;0;0;0;2;1;1;0;1758;2
19;com.sap.netweaver.porta.core.DebugSessionInfoTest$null;11;1;0;0;0;2;1;1;0;1758;2
37;com.sap.netweaver.porta.core.DeployResultStatusTest$null;15;2;2;2;2;4;2;2;0;1756;4
37;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;9;2;0;0;0;4;2;2;0;1756;4
37;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;12;2;0;0;0;4;2;2;0;1756;4
37;com.sap.netweaver.porta.core.ProxyExceptionTest$null;10;2;0;0;0;4;2;2;0;1756;4
37;com.sap.netweaver.porta.core.ServerStateTest$null;11;3;0;0;0;4;2;2;0;1756;4
121;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;15;12;3;7;7;7;4;3;0;1753;11
510;com.sap.netweaver.porta.core.mock.CoreModuleMockTest$null;15;6;12;21;21;19;11;8;0;1741;32
738;com.sap.netweaver.porta.core.mock.DeployManagerMockTest$null;17;9;4;18;31;23;15;8;0;1737;50
738;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;8;3;0;0;0;23;15;8;0;1737;50
906;com.sap.netweaver.porta.core.mock.LifecycleManagerMockTest$null;13;5;0;17;27;23;15;8;0;1737;67
915;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;22;4;1;1;1;24;16;8;0;1736;68
981;com.sap.netweaver.porta.core.mock.ServerMockTest$null;13;12;4;6;6;28;19;9;0;1732;74
5402;com.sap.netweaver.porta.core.nw7.ApplicationImplTest$null;77;116;1;60;62;29;20;9;0;1731;134
28518;com.sap.netweaver.porta.core.nw7.DeployManagerImplTest$null;136;166;20;195;196;49;29;20;0;1711;329
28518;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;8;2;0;0;0;49;29;20;0;1711;329
28518;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;8;5;0;0;0;49;29;20;0;1711;329
584823;com.sap.netweaver.porta.core.nw7.LMUtilsTest$null;386;537;142;1488;1489;191;88;94;9;1569;1817
647728;com.sap.netweaver.porta.core.nw7.LifecycleManagerImplTest$null;232;273;58;183;199;249;122;117;10;1511;2000
649698;com.sap.netweaver.porta.core.nw7.OperationTest$null;207;201;7;7;13;256;127;119;10;1504;2007
649731;com.sap.netweaver.porta.core.nw7.ServerFactoryTest$null;10;5;2;2;2;258;129;119;10;1502;2009
658506;com.sap.netweaver.porta.core.nw7.ServerImplTest$null;119;134;3;51;63;261;131;120;10;1499;2060
