mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;FAIL
3;FAIL
4;FAIL
5;FAIL
6;FAIL
7;FAIL
8;FAIL
9;FAIL
10;FAIL
11;EXC
12;FAIL
13;EXC
14;FAIL
15;FAIL
16;FAIL
17;EXC
18;EXC
19;FAIL
20;FAIL
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;LIVE
28;LIVE
31;FAIL
32;FAIL
33;EXC
34;LIVE
35;TIME
36;LIVE
37;EXC
38;EXC
39;TIME
40;FAIL
41;FAIL
42;LIVE
43;LIVE
48;FAIL
49;FAIL
50;FAIL
51;FAIL
52;FAIL
53;FAIL
54;FAIL
55;FAIL
56;FAIL
57;FAIL
58;FAIL
59;FAIL
60;FAIL
61;FAIL
62;FAIL
63;FAIL
64;FAIL
65;FAIL
66;FAIL
67;FAIL
68;FAIL
69;FAIL
70;FAIL
71;FAIL
72;FAIL
73;FAIL
74;FAIL
75;FAIL
76;FAIL
77;FAIL
78;FAIL
79;FAIL
80;FAIL
81;FAIL
82;FAIL
83;FAIL
84;FAIL
85;FAIL
86;FAIL
87;FAIL
88;FAIL
89;FAIL
90;FAIL
91;FAIL
92;FAIL
93;FAIL
94;FAIL
95;FAIL
96;TIME
97;LIVE
186;LIVE
187;EXC
188;EXC
193;TIME
194;LIVE
195;LIVE
204;LIVE
205;LIVE
206;LIVE
207;LIVE
208;LIVE
209;LIVE
210;LIVE
218;LIVE
219;LIVE
220;LIVE
221;LIVE
222;LIVE
223;LIVE
224;EXC
225;LIVE
226;LIVE
227;LIVE
228;LIVE
229;LIVE
230;LIVE
231;LIVE
239;LIVE
240;LIVE
241;LIVE
242;LIVE
243;LIVE
244;LIVE
245;EXC
246;LIVE
247;EXC
248;EXC
249;LIVE
250;EXC
251;LIVE
252;FAIL
253;LIVE
254;EXC
255;EXC
256;LIVE
257;EXC
258;LIVE
259;LIVE
283;LIVE
284;EXC
292;LIVE
293;LIVE
294;LIVE
295;LIVE
296;LIVE
297;LIVE
298;LIVE
299;LIVE
300;LIVE
301;EXC
302;LIVE
303;EXC
311;LIVE
312;LIVE
313;LIVE
314;LIVE
315;LIVE
316;LIVE
317;LIVE
318;EXC
319;LIVE
320;EXC
321;LIVE
322;EXC
323;LIVE
324;LIVE
325;LIVE
326;LIVE
327;LIVE
328;LIVE
329;EXC
375;LIVE
376;LIVE
377;LIVE
378;LIVE
