mutantNo;[FAIL | TIME | EXC | LIVE]
1;EXC
2;FAIL
3;FAIL
4;EXC
5;FAIL
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;FAIL
11;FAIL
12;FAIL
13;FAIL
14;LIVE
16;LIVE
18;FAIL
19;FAIL
20;FAIL
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;FAIL
28;FAIL
29;FAIL
44;LIVE
45;FAIL
46;FAIL
47;LIVE
48;EXC
49;LIVE
50;EXC
51;LIVE
68;FAIL
69;EXC
70;LIVE
71;EXC
72;FAIL
73;EXC
74;EXC
75;EXC
76;FAIL
77;LIVE
78;EXC
79;EXC
86;EXC
87;LIVE
88;LIVE
89;EXC
90;EXC
91;FAIL
92;FAIL
93;FAIL
94;FAIL
95;LIVE
96;EXC
97;LIVE
98;EXC
99;LIVE
113;FAIL
114;LIVE
115;FAIL
116;LIVE
117;FAIL
118;LIVE
137;EXC
138;LIVE
139;LIVE
140;FAIL
141;EXC
142;FAIL
143;LIVE
144;EXC
145;FAIL
146;EXC
147;FAIL
148;EXC
149;FAIL
169;EXC
170;EXC
171;EXC
172;LIVE
173;FAIL
174;TIME
175;EXC
182;FAIL
183;FAIL
186;FAIL
187;FAIL
188;FAIL
189;FAIL
190;FAIL
191;FAIL
192;FAIL
193;FAIL
194;FAIL
195;FAIL
196;FAIL
197;FAIL
198;FAIL
199;FAIL
200;FAIL
253;FAIL
254;FAIL
255;FAIL
256;LIVE
258;LIVE
260;FAIL
261;FAIL
262;FAIL
