mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;FAIL
3;LIVE
4;LIVE
5;FAIL
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;FAIL
11;FAIL
12;EXC
13;EXC
14;FAIL
15;FAIL
16;FAIL
17;FAIL
18;FAIL
19;FAIL
20;FAIL
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;EXC
26;FAIL
27;FAIL
28;EXC
29;FAIL
30;EXC
31;EXC
32;FAIL
33;FAIL
35;LIVE
36;LIVE
37;LIVE
38;LIVE
39;LIVE
40;LIVE
41;LIVE
42;EXC
43;FAIL
44;FAIL
47;FAIL
48;EXC
49;LIVE
50;EXC
51;FAIL
52;FAIL
53;LIVE
54;EXC
55;FAIL
56;LIVE
57;EXC
58;LIVE
59;EXC
60;FAIL
61;FAIL
62;EXC
63;LIVE
64;EXC
65;FAIL
66;FAIL
67;FAIL
68;FAIL
69;LIVE
70;LIVE
71;LIVE
72;FAIL
73;EXC
74;EXC
75;LIVE
76;FAIL
77;LIVE
78;LIVE
79;EXC
80;EXC
81;EXC
82;FAIL
83;EXC
84;EXC
85;EXC
86;EXC
87;FAIL
88;FAIL
89;EXC
90;FAIL
91;FAIL
92;FAIL
93;FAIL
94;FAIL
95;FAIL
96;EXC
97;LIVE
98;EXC
99;FAIL
100;FAIL
101;EXC
102;EXC
103;EXC
104;EXC
105;EXC
106;LIVE
107;EXC
108;EXC
109;LIVE
110;EXC
111;EXC
112;EXC
113;FAIL
114;FAIL
115;FAIL
116;LIVE
117;FAIL
118;FAIL
119;FAIL
120;FAIL
121;EXC
122;LIVE
123;EXC
124;FAIL
125;FAIL
126;EXC
127;EXC
128;LIVE
129;FAIL
130;EXC
131;EXC
132;EXC
133;FAIL
134;FAIL
135;FAIL
136;FAIL
137;EXC
138;LIVE
139;FAIL
140;FAIL
141;EXC
142;FAIL
143;FAIL
144;EXC
145;FAIL
146;EXC
147;FAIL
148;EXC
149;FAIL
150;FAIL
151;FAIL
152;FAIL
153;LIVE
154;LIVE
155;FAIL
156;FAIL
157;FAIL
158;FAIL
159;FAIL
160;FAIL
161;FAIL
162;FAIL
163;FAIL
164;FAIL
165;FAIL
166;FAIL
167;FAIL
168;FAIL
169;FAIL
170;EXC
171;EXC
172;LIVE
173;FAIL
174;TIME
175;EXC
176;FAIL
177;EXC
178;FAIL
179;FAIL
180;EXC
181;FAIL
182;FAIL
183;FAIL
185;EXC
186;FAIL
187;FAIL
188;FAIL
189;FAIL
190;FAIL
191;FAIL
192;FAIL
193;FAIL
194;FAIL
195;FAIL
196;FAIL
198;FAIL
199;EXC
200;EXC
202;FAIL
203;EXC
204;FAIL
205;EXC
206;EXC
207;FAIL
208;FAIL
209;EXC
210;EXC
211;FAIL
212;FAIL
213;EXC
214;FAIL
215;FAIL
216;FAIL
217;EXC
218;EXC
219;EXC
220;FAIL
221;EXC
222;FAIL
223;EXC
224;EXC
225;FAIL
226;FAIL
227;EXC
228;FAIL
229;FAIL
230;FAIL
231;EXC
232;FAIL
233;FAIL
234;FAIL
235;EXC
236;FAIL
237;LIVE
238;FAIL
239;FAIL
240;FAIL
241;FAIL
242;FAIL
243;EXC
244;EXC
245;EXC
246;EXC
247;EXC
248;EXC
249;FAIL
250;FAIL
251;FAIL
252;EXC
253;FAIL
254;FAIL
255;FAIL
256;FAIL
257;FAIL
258;FAIL
259;FAIL
260;FAIL
261;FAIL
262;FAIL
263;FAIL
264;FAIL
265;FAIL
266;FAIL
267;FAIL
268;FAIL
269;FAIL
270;FAIL
271;FAIL
272;LIVE
273;FAIL
274;FAIL
275;FAIL
