Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
ch.bluepenguin.email.client.AbstractUniqueID,2,4,4,4,3,4,3,7,7,4596,1.0,1.0,2,,,3018,311,2707,898,0,3,35,2,7,40,50,1433932223057,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111,0.8979591836734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.AbstractUniqueID-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.Account,0,0,0,4,4,4,4,4,4,4863,1.0,1.0,3,,,2216,565,1651,926,1,3,66,3,6,40,50,1433932285104,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.Account-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.Folder,0,0,0,12,12,12,12,12,12,4920,1.0,1.0,9,,,5465,1102,4363,1437,1,1,23,9,18,40,50,1433932348063,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.Folder-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.IDGenerator,0,0,0,2,2,1,1,2,1,171149,0.5,0.5,1,,,61044,40,61004,49400,0,1,1,1,1,40,50,1433932415011,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,01,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.IDGenerator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ch.bluepenguin.email.client.Person,0,0,0,10,10,10,10,10,10,5444,1.0,1.0,9,,,3505,1661,1844,704,0,1,36,9,18,40,50,1433932538795,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.Person-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.service.impl.DummyEmailFacadeImpl,2,4,0,12,10,1,1,14,1,21272,0.07142857142857142,0.07142857142857142,1,,,62531,68,62463,24230,0,1,1,1,1,40,50,1433932614628,60,0,0,0,0,35,0,0,0,0,7,0,0,0,0,0,0,0,3,00000001000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.service.impl.DummyEmailFacadeImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
ch.bluepenguin.email.client.service.impl.EmailFacadeState,5,10,10,6,3,6,3,13,13,5197,1.0,1.0,6,,,3506,1099,2407,1148,0,4,60,6,17,40,50,1433932740537,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111,0.5526315789473685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.service.impl.EmailFacadeState-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.tapestry.Visit,0,0,0,3,3,3,3,3,3,6037,1.0,1.0,2,,,1987,171,1816,729,0,1,12,2,4,40,50,1433932840687,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.tapestry.Visit-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.tapestry.helpers.DisplayHelper,2,4,4,7,6,7,6,10,10,5484,1.0,1.0,5,,,5699,1580,4119,623,0,1,31,5,13,40,50,1433932905983,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111,0.9459459459459459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.tapestry.helpers.DisplayHelper-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.email.client.tapestry.helpers.TreeModelHelper,2,4,0,4,2,1,1,6,1,171811,0.16666666666666666,0.16666666666666666,1,,,61042,43,60999,51886,0,1,1,1,1,40,50,1433932983244,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.email.client.tapestry.helpers.TreeModelHelper-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuItem,0,0,0,16,16,16,16,16,16,5730,1.0,1.0,14,,,4044,2022,2022,1020,0,4,62,14,29,40,50,1433933111615,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111,0.5769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuItem-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuModel,20,40,37,14,7,14,7,47,44,196479,0.9361702127659575,0.9361702127659575,9,,,62248,1237,61011,33442,1,3,34,9,49,40,50,1433933177345,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111111111011110111111111110111111111111,0.2185430463576159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.model.impl.DefaultMenuModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9361702127659575
ch.bluepenguin.tapestry.components.menu.model.impl.MenuItemList,6,12,10,7,4,7,4,16,14,59241,0.875,0.875,6,,,64274,3265,61009,50646,0,3,18,6,23,40,50,1433933303624,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111110110111111,0.4666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.model.impl.MenuItemList-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
ch.bluepenguin.tapestry.components.menu.renderer.impl.AbstractMenuItemRenderer,0,0,0,4,4,1,1,4,1,172393,0.25,0.25,1,,,61045,39,61006,50040,1,1,1,1,1,40,50,1433933430122,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.renderer.impl.AbstractMenuItemRenderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
ch.bluepenguin.tapestry.components.menu.renderer.impl.DefaultMenuItemRenderer,1,2,0,2,1,1,1,3,1,171831,0.3333333333333333,0.3333333333333333,1,,,61041,38,61003,51800,0,1,1,1,1,40,50,1433933550620,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.renderer.impl.DefaultMenuItemRenderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
ch.bluepenguin.tapestry.components.menu.renderer.impl.DirectLinkMenuItemRenderer,1,2,0,5,4,1,1,6,1,170415,0.16666666666666666,0.16666666666666666,1,,,61044,41,61003,52019,0,1,1,1,1,40,50,1433933669722,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,010000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.renderer.impl.DirectLinkMenuItemRenderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ch.bluepenguin.tapestry.components.menu.renderer.impl.GenericMarkupMenuItemRenderer,3,6,0,6,5,1,1,11,1,177915,0.09090909090909091,0.09090909090909091,1,,,61047,48,60999,49483,0,1,1,1,1,40,50,1433933791105,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,00100000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.renderer.impl.GenericMarkupMenuItemRenderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
ch.bluepenguin.tapestry.components.menu.renderer.impl.HyperlinkMenuItemRenderer,1,2,0,4,3,1,1,5,1,174281,0.2,0.2,1,,,61046,40,61006,52070,0,1,1,1,1,40,50,1433933913034,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_ch.bluepenguin.tapestry.components.menu.renderer.impl.HyperlinkMenuItemRenderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
