Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
bierse.Bierse,0,0,0,1,1,1,1,1,1,5079,1.0,1.0,1,,,1518,106,1412,988,0,1,14,1,1,40,50,1399765638661,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.Bierse-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bierse.controller.DefaultMenuController,2,4,2,4,3,2,1,7,3,13946,0.42857142857142855,0.42857142857142855,1,,,61097,47,61050,9466,0,1,8,1,3,40,50,1399765695593,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1001010,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.controller.DefaultMenuController-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
bierse.controller.DefaultSettingsController,13,26,4,3,1,2,1,27,5,2022,0.18518518518518517,0.18518518518518517,1,,,61271,129,61142,8267,0,1,10,1,3,40,50,1399765820649,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,100000000000000100010101000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.controller.DefaultSettingsController-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
bierse.controller.DefaultTableModelController,3,6,2,2,1,2,1,7,3,29411,0.42857142857142855,0.42857142857142855,2,,,61155,93,61062,7820,0,1,14,2,10,40,50,1399765946969,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1110000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.controller.DefaultTableModelController-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
bierse.controller.DrinkSellController,4,8,0,4,3,0,0,11,0,0,0.0,0.0,0,,,79199,6200,72999,0,0,1,23,0,0,40,50,1399766072112,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,00000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.controller.DrinkSellController-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bierse.controller.TriggerThread,2,4,0,2,1,1,1,5,1,26146,0.2,0.2,1,,,61084,51,61033,28166,0,1,4,1,1,40,50,1399766216865,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.controller.TriggerThread-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
bierse.model.Model,14,28,0,31,23,1,1,51,1,0,0.0196078431372549,0.0196078431372549,1,,,61098,93,61005,51383,0,1,1,1,1,40,50,1399766336479,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,000000000000000010000000000000000000000000000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.model.Model-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
bierse.view.DefaultDrinkSellView,9,18,0,18,12,0,0,30,0,2787,0.0,0.0,0,,,61352,32,61320,3652,0,1,3,0,0,40,50,1399766464063,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,000000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.DefaultDrinkSellView-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bierse.view.DefaultInfoView,5,10,0,9,7,1,1,17,1,1297,0.058823529411764705,0.058823529411764705,1,,,61104,54,61050,11073,0,1,2,1,1,40,50,1399766590937,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,00000010000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.DefaultInfoView-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
bierse.view.DefaultInfoViewMouseListener,2,4,0,8,7,1,1,11,1,90,0.09090909090909091,0.09090909090909091,1,,,62902,465,62437,5349,0,8,304,1,1,40,50,1399766718524,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,10000000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.DefaultInfoViewMouseListener-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
bierse.view.DefaultSettingsView,10,20,0,24,21,0,0,41,0,872,0.0,0.0,0,,,61281,44,61237,2743,1,1,2,0,0,40,50,1399766843199,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,00000000000000000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.DefaultSettingsView-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bierse.view.KeyMapComboBoxModel,13,26,21,2,1,2,1,27,22,15258,0.8148148148148148,0.8148148148148148,9,,,61820,804,61016,19665,0,7,65,9,9,40,50,1399766970063,60,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,5,101011101011101111111111111,0.5641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.KeyMapComboBoxModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148
bierse.view.MyKeyMap,0,0,0,4,4,4,4,4,4,5440,1.0,1.0,2,,,2105,129,1976,946,0,2,13,2,4,40,50,1399767096473,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_bierse.view.MyKeyMap-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
