Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
client.GameWindow,0,0,0,8,8,0,0,8,0,1182,0.0,0.0,0,,,61033,28,61005,8385,0,2,3,0,0,40,50,1434357335629,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,00000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.GameWindow-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
client.TestDriver,0,0,0,1,1,1,1,1,1,5107,1.0,1.0,1,,,1526,88,1438,1088,0,1,8,1,1,40,50,1434357624460,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.TestDriver-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.controller.LocalControl,12,24,0,5,3,0,0,27,0,0,0.0,0.0,0,,,78672,11229,67443,0,0,4,144,0,0,40,50,1434357844969,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.controller.LocalControl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
client.controller.RemoteControl,0,0,0,2,2,2,2,2,2,1118,1.0,1.0,1,,,32998,64,32934,12511,0,2,51,1,3,40,50,1434358151632,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,11,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.controller.RemoteControl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.gui.Cash,0,0,0,1,1,1,1,1,1,2592,1.0,1.0,1,,,36852,105,36747,12533,0,1,8,1,1,40,50,1434358415424,60,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0.7391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.Cash-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.gui.Config,0,0,0,1,1,1,1,1,1,5492,1.0,1.0,1,,,2311,148,2163,917,0,2,16,1,1,40,50,1434358688141,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.Config-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.gui.CreateGameDialog,12,24,3,10,8,4,3,32,6,4058,0.1875,0.1875,3,,,69338,7986,61352,20397,1,6,165,3,11,40,50,1434358909042,60,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,5,00100011001000000000100000000010,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.CreateGameDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
client.gui.Game,1,2,1,4,3,4,3,5,4,8144,0.8,0.8,3,,,61593,550,61043,15959,0,2,25,3,9,40,50,1434359208464,60,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,5,11110,0.352112676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.Game-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
client.gui.GlobalHighscoreLobby,14,28,2,9,6,4,2,34,4,4603,0.11764705882352941,0.11764705882352941,3,,,62357,1249,61108,17406,0,6,95,3,8,40,50,1434359504467,60,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,5,0100010000000000000000000000001010,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.GlobalHighscoreLobby-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09232915561247827,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
client.gui.GlobalLobby,13,26,0,13,10,1,1,36,1,26,0.027777777777777776,0.027777777777777776,1,,,61369,153,61216,16950,0,1,1,1,1,40,50,1434359796606,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,000000100000000000000000000000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.GlobalLobby-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
client.gui.ImageCache,0,0,0,7,7,7,7,7,7,2410,1.0,1.0,6,,,36056,645,35411,11932,0,6,122,6,12,40,50,1434360090009,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1111111,0.7457627118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.ImageCache-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.gui.LoginDialog,29,58,1,18,15,2,0,73,1,589,0.0136986301369863,0.0136986301369863,1,,,61339,296,61043,19088,1,2,4,1,1,40,50,1434360355342,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0000000000000000000000000000000000000000000000000000000000000000000000001,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.LoginDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863
client.gui.ServerSelectionDialog,7,14,0,8,4,0,0,18,0,101,0.0,0.0,0,,,61074,63,61011,14064,0,1,1,0,0,40,50,1434360648635,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.ServerSelectionDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
client.gui.SplashFrame,0,0,0,1,1,0,0,1,0,3,0.0,0.0,0,,,21735,31,21704,821,0,1,1,0,0,40,50,1434360943031,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.SplashFrame-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
