Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
com.allenstudio.ir.core.ConfigurationManager,6,12,2,10,5,2,0,17,2,9223,0.11764705882352941,0.11764705882352941,1,,,117532,56127,61405,5810,0,7,71,1,2,40,50,1398595885807,60,0,0,0,0,399,0,0,12,0,0,0,0,0,0,0,0,0,3,00000100000000100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.core.ConfigurationManager-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
com.allenstudio.ir.core.PluginManager,3,6,1,8,5,5,1,11,2,0,0.18181818181818182,0.18181818181818182,1,,,61075,74,61001,52644,0,2,2,1,1,40,50,1398596056868,60,0,0,0,0,0,0,0,10075,0,0,0,0,0,0,0,0,0,3,00001010000,0.18333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.core.PluginManager-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
com.allenstudio.ir.core.plugins.AbstractNote,0,0,0,4,4,3,3,4,3,10784,0.75,0.75,2,,,61217,199,61018,14826,0,2,41,2,4,40,50,1398596170836,60,0,0,0,0,25,0,0,1,0,1,0,0,0,0,0,0,0,5,1011,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.core.plugins.AbstractNote-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
com.allenstudio.ir.core.plugins.CommonNote,2,4,3,7,6,7,6,10,9,9790,0.9,0.9,2,,,62358,1138,61220,16226,0,4,45,2,4,40,50,1398596292265,60,0,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,7,1111111101,0.5294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.core.plugins.CommonNote-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727327935222672,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
com.allenstudio.ir.core.plugins.CommonNoteModel,0,0,0,4,4,4,4,4,4,6051,1.0,1.0,3,,,1686,193,1493,891,0,1,9,3,6,40,50,1398596418408,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.core.plugins.CommonNoteModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.allenstudio.ir.event.DateChooserEvent,0,0,0,3,3,3,3,3,3,3147,1.0,1.0,2,,,14751,372,14379,1195,0,4,97,2,7,40,50,1398596472186,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.event.DateChooserEvent-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.allenstudio.ir.event.NoteListDataEvent,0,0,0,3,3,3,3,3,3,3562,1.0,1.0,2,,,2133,269,1864,710,0,1,19,2,6,40,50,1398596540373,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.event.NoteListDataEvent-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.allenstudio.ir.event.NoteListEvent,0,0,0,2,2,2,2,2,2,4211,1.0,1.0,1,,,2791,95,2696,650,1,1,8,1,3,40,50,1398596595157,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.event.NoteListEvent-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
com.allenstudio.ir.ui.DefaultNoteListModel,1,2,1,31,30,31,30,32,31,16298,0.96875,0.96875,28,,,62992,1981,61011,12158,0,14,222,28,59,40,50,1398596653669,60,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5,11111111111111111111111111111110,0.09868421052631579,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.ui.DefaultNoteListModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
com.allenstudio.ir.ui.MainMenu,13,26,19,4,1,4,1,27,20,7371,0.7407407407407407,0.7407407407407407,1,,,61622,61,61561,21184,0,2,5,1,2,40,50,1398596783866,60,0,0,0,0,13,0,0,17,0,1,0,0,0,0,0,0,0,7,101110101111101111101110101,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_com.allenstudio.ir.ui.MainMenu-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
