Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
net.sf.lavalamp.LavaLogger,2,4,1,12,10,10,8,14,9,26688,0.6428571428571429,0.6428571428571429,7,,,61109,101,61008,9948,0,6,35,7,12,40,50,1433720109065,60,0,0,0,0,272,0,0,9,0,0,0,0,0,0,0,0,0,3,11111011010010,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.LavaLogger-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
net.sf.lavalamp.Pause,0,0,0,2,2,2,2,2,2,484,1.0,1.0,1,,,71841,59,71782,58289,0,1,3,1,2,40,50,1433720226550,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.Pause-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.lavalamp.application.AlwaysOff,0,0,0,2,2,2,2,2,2,45,1.0,1.0,1,,,85668,94,85574,819,0,2,15,1,2,40,50,1433720354510,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0.625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.application.AlwaysOff-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.lavalamp.application.ApplicationProperties,1,2,1,11,10,11,10,12,11,195640,0.9166666666666666,0.9166666666666666,9,,,61333,328,61005,40649,1,2,17,9,20,40,50,1433720494718,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111101,0.5428571428571428,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.application.ApplicationProperties-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
net.sf.lavalamp.application.ApplicationPropertiesLoader,0,0,0,2,2,2,2,2,2,741,1.0,1.0,1,,,1978,88,1890,975,0,2,4,1,2,40,50,1433720612028,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.application.ApplicationPropertiesLoader-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.lavalamp.application.DefaultApplication,0,0,0,4,4,0,0,4,0,0,0.0,0.0,0,,,61039,37,61002,675,0,8,0,0,0,40,50,1433720673463,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.application.DefaultApplication-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sf.lavalamp.application.UniversalRunner,1,2,2,2,1,2,1,3,3,6806,1.0,1.0,2,,,4599,475,4124,701,0,4,105,2,9,40,50,1433720789585,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.application.UniversalRunner-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.lavalamp.device.AbstractDevice,3,6,4,12,10,11,9,16,13,54661,0.8125,0.8125,9,,,61325,323,61002,21264,0,3,21,9,24,40,50,1433720852167,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1110111111111010,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.device.AbstractDevice-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
net.sf.lavalamp.device.Actions,0,0,0,4,4,4,4,4,4,2358,1.0,1.0,3,,,11208,361,10847,2917,0,2,50,3,7,40,50,1433720969644,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.device.Actions-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.lavalamp.device.Blink,1,2,0,3,2,1,1,4,1,121,0.25,0.25,1,,,69079,140,68939,2099,0,1,14,1,1,40,50,1433721038064,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.lavalamp.device.Blink-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
