Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
net.sourceforge.schemaspy.Config,179,358,197,124,52,105,33,410,233,22601,0.5682926829268292,0.5609756097560976,29,,,71267,10184,61083,33640,1,12,320,29,234,40,50,1433959368126,60,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,10000010111001000111111100111000111100101111010011111011010101110111010111010101011101100110111000010010010011110110010101010101010101111111100000011010101010101010101110101010001010101010001010101010100111011111011111100101011001111000011111011011010101010101011001110101010110111001010101110111011001010101100000000111110100000110110101010101010101100111111000010101111010011001010110010110101001011101011101,0.21494542401343408,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.Config-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6195121951219512,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292,0.5682926829268292
net.sourceforge.schemaspy.DbAnalyzer,61,122,14,23,8,19,7,130,21,22844,0.16153846153846155,0.16153846153846155,13,,,62211,1201,61010,14310,1,10,174,13,24,40,50,1433959572619,60,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,3,1000011111000000000000000100000100000000000000010110000000000000000001000000000000000101000000000110000100010000000001000000010010,0.06925207756232687,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.DbAnalyzer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16923076923076924,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155,0.16153846153846155
net.sourceforge.schemaspy.Main,0,0,0,1,1,1,1,1,1,4518,1.0,1.0,1,,,1231,53,1178,856,0,1,1,1,1,40,50,1433959697758,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.Main-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sourceforge.schemaspy.MultipleSchemaAnalyzer,23,46,0,7,3,3,2,49,2,39444,0.04081632653061224,0.04081632653061224,1,,,61123,119,61004,22049,1,1,5,1,4,40,50,1433959759789,60,0,0,0,0,3,0,0,0,0,77,0,0,0,0,0,0,0,3,0001100000000000000000000000000000000000000000000,0.008547008547008548,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.MultipleSchemaAnalyzer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224
net.sourceforge.schemaspy.Revision,9,18,0,3,2,2,2,20,2,145017,0.1,0.1,1,,,61070,68,61002,42276,0,1,2,1,2,40,50,1433959884588,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11000000000000000000,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.Revision-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
net.sourceforge.schemaspy.SchemaAnalyzer,87,174,19,9,1,8,1,175,20,30072,0.11428571428571428,0.11428571428571428,5,,,61800,793,61007,31124,0,4,30,5,14,40,50,1433960006074,60,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,3,1011111101011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010000000000000000000000000000010101101,0.022222222222222223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.SchemaAnalyzer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428
net.sourceforge.schemaspy.TableOrderer,20,40,2,9,4,4,3,44,5,16197,0.11363636363636363,0.11363636363636363,1,,,61157,94,61063,9409,0,1,5,1,3,40,50,1433960170663,60,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,3,00010000111000000010000000000000000000000000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.TableOrderer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363
net.sourceforge.schemaspy.model.Database,170,340,8,65,33,6,1,373,9,26359,0.024128686327077747,0.024128686327077747,1,,,61583,562,61021,14006,1,2,12,1,2,40,50,1433960297627,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010000000000000000000000000000000000000000011000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000,0.0010638297872340426,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.Database-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747,0.024128686327077747
net.sourceforge.schemaspy.model.ForeignKeyConstraint,31,62,43,23,10,20,8,72,51,80273,0.7083333333333334,0.7083333333333334,30,,,62519,1412,61107,14656,1,10,131,30,62,40,50,1433960434198,60,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,3,111011101111111100000001111011000011111101111011111101111010111111011101,0.34210526315789475,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.ForeignKeyConstraint-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7361111111111112,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
net.sourceforge.schemaspy.model.ImpliedForeignKeyConstraint,0,0,0,4,4,0,0,4,0,13743,0.0,0.0,0,,,61305,34,61271,24565,0,1,2,0,0,40,50,1433960560762,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.ImpliedForeignKeyConstraint-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sourceforge.schemaspy.model.LogicalRemoteTable,0,0,0,2,2,0,0,2,0,22789,0.0,0.0,0,,,61032,30,61002,24984,0,1,3,0,0,40,50,1433960689608,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,00,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.LogicalRemoteTable-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sourceforge.schemaspy.model.LogicalTable,0,0,0,2,2,0,0,2,0,23158,0.0,0.0,0,,,61036,29,61007,25723,0,1,3,0,0,40,50,1433960810264,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,00,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.LogicalTable-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sourceforge.schemaspy.model.RailsForeignKeyConstraint,0,0,0,2,2,0,0,2,0,14571,0.0,0.0,0,,,61031,29,61002,27503,0,1,2,0,0,40,50,1433960936099,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,00,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.RailsForeignKeyConstraint-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sourceforge.schemaspy.model.RemoteTable,9,18,0,3,2,0,0,20,0,23531,0.0,0.0,0,,,61057,44,61013,25172,0,1,3,0,0,40,50,1433961056258,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,00000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.RemoteTable-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net.sourceforge.schemaspy.model.Routine,3,6,6,13,12,13,12,18,18,6425,1.0,1.0,9,,,4368,1730,2638,1256,0,2,41,9,20,40,50,1433961177456,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111111111,0.17117117117117117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.Routine-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sourceforge.schemaspy.model.RoutineParameter,0,0,0,4,4,4,4,4,4,5211,1.0,1.0,3,,,2258,160,2098,897,0,1,10,3,6,40,50,1433961246636,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.7777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sourceforge.schemaspy.model.RoutineParameter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
