Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
dk.statsbiblioteket.summa.common.MarcAnnotations,9,18,17,3,1,3,1,19,18,57102,0.9473684210526315,0.9473684210526315,10,,,61304,295,61009,20676,0,4,16,10,14,40,50,1434009944970,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111011,0.5087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.MarcAnnotations-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
dk.statsbiblioteket.summa.common.Record,73,146,101,59,27,58,27,173,128,132135,0.7398843930635838,0.7398843930635838,49,,,70503,9493,61010,13907,1,24,727,49,142,40,50,1434010069951,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111111111111111111101111111101110011111111101011000001101100000111110000011111110111011111111110111111011101110111111111111111111010111010101110000000011101011101011,0.7682758620689655,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.Record-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7456647398843931,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7398843930635838
dk.statsbiblioteket.summa.common.SummaConstants,1,2,0,2,1,1,1,3,1,20596,0.3333333333333333,0.3333333333333333,1,,,61047,46,61001,50883,0,1,2,1,1,40,50,1434010257471,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.SummaConstants-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
dk.statsbiblioteket.summa.common.configuration.Resolver,11,22,16,7,2,7,2,24,18,26703,0.75,0.75,11,,,61340,321,61019,24491,0,6,24,11,13,40,50,1434010390618,60,0,0,0,0,898,0,0,339,0,1,0,0,0,0,0,0,0,3,111111100011110111010111,0.2413793103448276,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.configuration.Resolver-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
dk.statsbiblioteket.summa.common.configuration.storage.XStorage,14,28,0,17,8,0,0,36,0,0,0.0,0.0,0,,,61039,35,61004,529,0,2,0,0,0,40,50,1434010555431,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,000000000000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.configuration.storage.XStorage-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dk.statsbiblioteket.summa.common.filter.Payload,29,58,46,21,6,21,5,64,51,11697,0.796875,0.796875,12,,,106837,44952,61885,3883,0,12,354,12,50,40,50,1434010697540,60,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,1111101111011011111111010111011111111011101110111111011011011101,0.29347826086956524,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.filter.Payload-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78125,0.796875,0.796875,0.796875,0.796875,0.796875,0.796875,0.796875,0.796875,0.796875
dk.statsbiblioteket.summa.common.filter.PayloadBatcher,15,30,0,10,4,0,0,34,0,0,0.0,0.0,0,,,61042,42,61000,743,0,3,0,0,0,40,50,1434010898881,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0000000000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.filter.PayloadBatcher-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dk.statsbiblioteket.summa.common.filter.PayloadQueue,14,28,4,18,9,3,1,37,5,351,0.13513513513513514,0.13513513513513514,1,,,72831,316,72515,331,0,3,75,1,5,40,50,1434011022976,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0000100000000000001100100001000000000,0.0947867298578199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.filter.PayloadQueue-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514
dk.statsbiblioteket.summa.common.filter.stream.StreamFilter,2,4,0,8,6,4,4,10,4,1657,0.4,0.4,3,,,71369,528,70841,1679,1,3,57,3,7,40,50,1434013236868,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1111000000,0.4368932038834951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.filter.stream.StreamFilter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
dk.statsbiblioteket.summa.common.index.IndexAlias,31,62,48,12,6,12,6,68,54,57608,0.7941176470588235,0.7941176470588235,28,,,71167,3106,68061,12725,0,10,181,28,69,40,50,1434013370555,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111111111111111011100000000000001111111111111111111111111111,0.5357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexAlias-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235
dk.statsbiblioteket.summa.common.index.IndexCommon,12,24,13,7,4,5,2,28,15,35326,0.5357142857142857,0.5357142857142857,5,,,61263,248,61015,32322,0,3,20,5,8,40,50,1434013508029,60,0,0,0,0,2982,0,0,312,0,0,0,0,0,0,0,0,0,3,1111101110100001111100010000,0.0684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexCommon-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
dk.statsbiblioteket.summa.common.index.IndexField,67,134,43,64,52,61,52,186,95,32840,0.510752688172043,0.510752688172043,31,,,73383,8752,64631,13196,2,13,332,31,67,40,50,1434013644698,60,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,111111111111111111111111111111111111111111111111111111000000000000000000000000000000011110010101000000000000001110001011110101010101010101010101010101010110000000100001011001100110000001,0.30112721417069244,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexField-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043
dk.statsbiblioteket.summa.common.index.IndexGroup,22,44,25,14,9,14,9,53,34,70162,0.6415094339622641,0.6415094339622641,17,,,61782,771,61011,12463,0,10,106,17,48,40,50,1434013802128,60,0,1,0,0,13,0,0,2,0,12,0,0,0,0,0,0,0,3,11111111101000000000000111111111111111111011000001111,0.3729508196721312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexGroup-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641
