Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
net.sf.xisemele.impl.AttributeImpl,3,6,4,5,4,5,4,10,8,78183,0.8,0.8,6,,,61227,214,61013,31344,0,2,14,6,13,40,50,1398765845510,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111100,0.11538461538461539,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.AttributeImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
net.sf.xisemele.impl.DateFormatter,0,0,0,4,4,4,4,4,4,597,1.0,1.0,3,,,2361,456,1905,654,0,4,81,3,7,40,50,1398765960131,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.DateFormatter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.EditorImpl,0,0,0,22,22,22,22,22,22,10541,1.0,1.0,21,,,27218,908,26310,8167,1,21,250,21,45,40,50,1398766015057,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111111111,0.3137254901960784,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.EditorImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.ElementImpl,3,6,0,19,16,1,1,22,1,13807,0.045454545454545456,0.045454545454545456,1,,,61066,50,61016,12861,0,1,3,1,1,40,50,1398766096466,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0000010000000000000000,0.011494252873563218,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.ElementImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
net.sf.xisemele.impl.FactoryImpl,3,6,5,22,19,21,18,25,23,33486,0.92,0.92,14,,,63314,2309,61005,11596,0,5,59,14,37,40,50,1398766210615,60,0,0,0,0,436,0,0,11,0,0,0,0,0,0,0,0,0,3,1111111111111111101101111,0.5384615384615384,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.FactoryImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
net.sf.xisemele.impl.FormatterProviderImpl,0,0,0,3,3,3,3,3,3,5481,1.0,1.0,2,,,2129,116,2013,732,0,1,5,2,6,40,50,1398766343749,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.FormatterProviderImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.MessageImpl,0,0,0,2,2,2,2,2,2,2446,1.0,1.0,1,,,2098,266,1832,1051,0,1,17,1,3,40,50,1398766398086,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.MessageImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.NullErrorHandler,0,0,0,4,4,4,4,4,4,5677,1.0,1.0,3,,,2115,250,1865,934,0,2,16,3,6,40,50,1398766453739,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.NullErrorHandler-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.NullValue,0,0,0,16,16,16,16,16,16,5036,1.0,1.0,16,,,8082,3657,4425,921,0,2,41,16,33,40,50,1398766506970,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111111111111111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.NullValue-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.OperationsHelperImpl,13,26,14,5,1,5,1,27,15,30114,0.5555555555555556,0.5555555555555556,7,,,61428,426,61002,6944,0,4,33,7,28,40,50,1398766568066,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111100000000100011111101,0.35555555555555557,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_net.sf.xisemele.impl.OperationsHelperImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
