GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,IMenuItemTest,9,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,MenuStructureExceptionTest,0,61,0,0,0,21,0,5,0,5
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,IMenuModelTest,0,172,1,1,0,53,1,13,0,13
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,MenuStructureException,0,4,0,0,0,2,0,1,0,1
JaCoCo Ant Example,ch.bluepenguin.email.client,AccountTest,0,120,2,2,0,42,2,11,0,11
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueIDTest,0,277,4,4,0,89,4,19,0,19
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGeneratorTest,0,44,0,0,0,15,0,4,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,MailMessage,0,25,0,0,0,9,0,6,0,6
JaCoCo Ant Example,ch.bluepenguin.email.client,FolderTest,0,5730,28,28,0,1867,28,346,0,346
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueID,0,42,1,3,0,12,1,5,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,Folder,0,51,0,0,0,20,0,12,0,12
JaCoCo Ant Example,ch.bluepenguin.email.client,PersonTest,0,3473,30,30,0,1321,30,303,0,303
JaCoCo Ant Example,ch.bluepenguin.email.client,MailMessageTest,0,424,4,4,0,154,4,35,0,35
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGenerator,3,9,0,0,1,1,1,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client,Person,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,ch.bluepenguin.email.client,Account,0,18,0,0,0,6,0,4,0,4
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer,IMenuRendererTest,9,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer,IMenuItemRendererTest,9,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu,BluepenguinMenu,130,0,10,0,38,0,9,0,4,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu,BluepenguinMenuTest,9,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItem,0,61,0,0,0,26,0,16,0,16
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItemTest,46,5723,30,30,12,2110,31,484,1,484
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemListTest,13,101,1,1,4,37,2,10,1,10
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemList,10,100,4,8,2,23,4,10,0,8
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModel,114,202,22,18,27,47,15,19,1,13
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModelTest,0,700,4,4,0,223,4,48,0,48
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,FolderTreeNodeTest,766,0,6,0,220,0,45,0,42,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,FolderTreeNode,58,0,8,0,19,0,11,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelperTest,2514,0,20,0,763,0,153,0,143,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,TreeModelHelper,101,0,4,0,27,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelper,64,0,4,0,17,0,9,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,MailCache,133,39,0,0,26,10,4,2,4,2
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,MailCacheTest,588,59,1,1,177,22,32,7,31,7
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,HierarchicalElementTest,1434,96,3,3,417,29,33,9,30,9
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,HierarchicalElement,0,11,0,0,0,4,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeImpl,896,129,61,3,172,36,42,15,10,15
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImpl,0,256,0,4,0,48,0,14,0,12
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeState,33,47,7,3,11,13,5,6,0,6
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeStateTest,0,203,1,1,0,72,1,18,0,18
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImplTest,2966,4731,7,7,781,1114,122,101,115,101
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeImplTest,2437,1159,5,5,751,473,84,130,79,130
JaCoCo Ant Example,ch.bluepenguin.email.aop,DebugAfterReturnAdviceTest,0,545,4,4,0,180,4,35,0,35
JaCoCo Ant Example,ch.bluepenguin.email.aop,DebugAfterReturnAdvice,42,47,3,1,3,8,2,4,0,4
