GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,bierse.model,DrinkTest,204,11,0,0,66,6,12,4,12,4
JaCoCo Ant Example,bierse.model,Model,474,0,28,0,126,0,45,0,31,0
JaCoCo Ant Example,bierse.model,Drink,979,2,40,0,219,1,64,1,44,1
JaCoCo Ant Example,bierse.model,SettingsTest,24,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,bierse.model,ModelTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,bierse.model,Settings,355,0,10,0,95,0,22,0,17,0
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModel,0,140,0,13,0,40,0,15,0,3
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,bierse.view,IDrinkSellViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListenerTest,1188,2945,1,1,234,578,60,147,59,147
JaCoCo Ant Example,bierse.view,ISettingsViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,IModelChangedListenerTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,RunningMessagePanel,131,0,6,0,34,0,10,0,7,0
JaCoCo Ant Example,bierse.view,MyKeyMapTest,12,249,2,2,2,81,3,17,1,17
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
JaCoCo Ant Example,bierse.view,MyKeyMap,3,18,0,0,1,7,1,4,1,4
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModelTest,12,278,0,0,2,95,1,17,1,17
JaCoCo Ant Example,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
JaCoCo Ant Example,bierse.view,IDrinkSettingsViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,DefaultInfoView,472,0,10,0,89,0,13,0,8,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListener,63,32,3,1,11,13,3,7,1,7
JaCoCo Ant Example,bierse,Bierse,48,0,0,0,12,0,2,0,2,0
JaCoCo Ant Example,bierse,BierseTest,54,5,0,0,11,3,4,3,4,3
JaCoCo Ant Example,bierse.controller,DefaultMenuController,48,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,bierse.controller,DrinkSellController,111,0,8,0,21,0,8,0,4,0
JaCoCo Ant Example,bierse.controller,TriggerThread,47,6,4,0,13,3,3,1,1,1
JaCoCo Ant Example,bierse.controller,DefaultTableModelControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultTableModelController,51,0,6,0,13,0,5,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultMenuControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultSettingsControllerTest,123,142,1,1,28,34,8,11,7,11
JaCoCo Ant Example,bierse.controller,TriggerThreadTest,48,19,1,1,15,6,5,4,4,4
JaCoCo Ant Example,bierse.controller,DrinkSellControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultSettingsController,206,33,22,4,43,10,14,2,1,2
