GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,geo.google.mapping,XmlMappingFunctorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctorTest,40,30,2,2,12,12,5,6,3,6
JaCoCo Ant Example,geo.google.mapping,FunctionChain,121,0,10,0,32,0,15,0,10,0
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctorTest,109,243,0,0,26,63,7,18,7,18
JaCoCo Ant Example,geo.google.mapping,FunctorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctor,98,32,10,2,19,11,5,6,0,5
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctorTest,60,30,2,2,22,12,7,6,5,6
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctorTest,60,30,2,2,22,12,7,6,5,6
JaCoCo Ant Example,geo.google.mapping,MappingUtilsTest,20,23,0,0,6,9,2,4,2,4
JaCoCo Ant Example,geo.google.mapping,MappingUtils,64,30,4,4,8,6,4,2,1,1
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctorTest,12,78,2,2,2,26,3,8,1,8
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctor,48,6,0,0,15,3,3,1,3,1
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctor,32,16,2,0,8,5,1,4,0,4
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor,35,37,6,2,9,13,5,4,0,4
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctor,140,10,28,0,35,3,15,3,1,3
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkType,0,31,0,0,0,13,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,ResponseType,0,28,1,1,0,10,1,6,0,6
JaCoCo Ant Example,com.google.earth.kml._2,StatusTypeTest,12,847,10,10,2,331,11,83,1,83
JaCoCo Ant Example,com.google.earth.kml._2,ResponseTypeTest,12,355,4,4,2,127,5,31,1,31
JaCoCo Ant Example,com.google.earth.kml._2,PointType,0,31,0,0,0,13,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactory,0,66,0,0,0,13,0,10,0,10
JaCoCo Ant Example,com.google.earth.kml._2,KmlType,0,10,0,0,0,4,0,3,0,3
JaCoCo Ant Example,com.google.earth.kml._2,StatusType,0,17,0,0,0,7,0,5,0,5
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkTypeTest,12,1941,10,10,2,640,11,113,1,113
JaCoCo Ant Example,com.google.earth.kml._2,KmlTypeTest,12,82,2,2,2,28,3,9,1,9
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeTypeTest,28,62,3,3,10,24,6,9,3,9
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeType,7,78,1,3,1,11,2,6,1,5
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactoryTest,12,217,1,1,2,66,2,13,1,13
JaCoCo Ant Example,com.google.earth.kml._2,PointTypeTest,12,4065,30,30,2,1401,31,273,1,273
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfarePreDirectionType,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumber,31,29,0,0,15,9,8,8,8,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.KeyLineCode,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetailsTest,12,18645,30,30,2,5994,31,993,1,993
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown,33,14,4,0,11,5,7,3,5,3
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostalCodeNumberExtension,19,20,0,0,9,6,5,5,5,5
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitude,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLinesType,0,33,2,2,0,9,2,4,0,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumberSuffix,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements,72,35,6,0,28,12,16,10,13,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea,0,93,3,3,0,34,3,19,0,19
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown.PostTownName,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.AdministrativeAreaName,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType.PostalRouteName,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Department,0,65,3,3,0,22,3,11,0,11
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise,0,169,8,8,0,58,8,30,0,30
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.Address,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLineTest,12,2679,28,28,2,1004,29,233,1,233
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareTest,12,18900,30,30,2,6214,31,1083,1,1083
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox.PostBoxNumber,11,14,0,0,5,4,3,3,3,3
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,LocalityTest,12,16335,28,28,2,5106,29,765,1,765
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumberPrefix,19,20,0,0,9,6,5,5,5,5
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,XAL,0,40,2,2,0,12,2,6,0,6
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType,0,65,3,3,0,22,3,11,0,11
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopTypeTest,12,611,4,4,2,214,5,47,1,47
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare.ThoroughfareNumberRange.ThoroughfareNumberFrom,18,11,2,0,6,3,4,2,3,2
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopType.MailStopNumber,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.Country.CountryNameCode,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitudeDirection,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostOfficeTest,12,2939,10,10,2,1000,11,193,1,193
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareNameTypeTest,12,2679,28,28,2,1004,29,233,1,233
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopType.MailStopName,15,17,0,0,7,5,4,4,4,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,FirmTypeTest,12,711,4,4,2,251,5,55,1,55
