GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,client.gui.components,MyButton,302,10,8,0,58,2,13,1,9,1
JaCoCo Ant Example,client.gui.components,MyTextField,179,0,4,0,34,0,6,0,4,0
JaCoCo Ant Example,client.gui.components,MyPanel,420,42,16,0,73,12,16,2,8,2
JaCoCo Ant Example,db,DBServiceFactoryTest,17,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,db,UserTest,37,0,2,0,10,0,3,0,2,0
JaCoCo Ant Example,db,HighscoreTest,32,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,db,BombermanDBService,606,5,58,0,157,2,35,2,6,2
JaCoCo Ant Example,db,Top10Highscore,61,0,2,0,20,0,5,0,4,0
JaCoCo Ant Example,db,DBGameUser,39,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,db,BombermanDBServiceTest,22,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,db,DBEntityManagerFactoryTest,19,5,0,0,7,3,3,3,3,3
JaCoCo Ant Example,db,DBServiceFactory,11,3,2,0,5,1,3,1,2,1
JaCoCo Ant Example,db,DBEntityManagerFactory,11,10,3,1,6,3,4,2,2,2
JaCoCo Ant Example,db,DBException,12,4,0,0,6,2,3,1,3,1
JaCoCo Ant Example,client.gui,CreateGameDialog,496,0,24,0,113,0,22,0,10,0
JaCoCo Ant Example,client.gui,SplashFrame,58,0,0,0,13,0,1,0,1,0
JaCoCo Ant Example,client.gui,ImageCacheTest,12,1785,5,5,2,528,6,68,1,68
JaCoCo Ant Example,client.gui,GlobalHighscoreLobby,743,0,17,0,121,0,22,0,9,0
JaCoCo Ant Example,client.gui,ServerSelectionDialog,300,0,14,0,66,0,15,0,8,0
JaCoCo Ant Example,client.gui,StartFrame.ActionListenerChangePanel,47,0,4,0,9,0,4,0,2,0
JaCoCo Ant Example,client.gui,GlobalLobby,588,0,26,0,131,0,26,0,13,0
JaCoCo Ant Example,client.gui,Cash,19,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,client.gui,Game,71,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,client.gui,SplashThreadTest,41,0,2,0,14,0,6,0,5,0
JaCoCo Ant Example,client.gui,ImageCache,0,37,0,0,0,14,0,7,0,7
JaCoCo Ant Example,client.gui,LoginDialog,1122,0,58,0,225,0,48,0,19,0
JaCoCo Ant Example,client.gui,SessionLobby,288,0,10,0,64,0,15,0,10,0
JaCoCo Ant Example,client.gui,ConfigTest,12,12,0,0,2,6,1,4,1,4
JaCoCo Ant Example,client.gui,StartFrame,696,8,16,0,192,3,48,1,40,1
JaCoCo Ant Example,client.gui,HighscoreLobby,449,0,22,0,105,0,26,0,15,0
JaCoCo Ant Example,client.gui,SplashThread,52,0,2,0,17,0,4,0,3,0
JaCoCo Ant Example,client.gui,Chat,321,0,14,0,76,0,25,0,18,0
JaCoCo Ant Example,client.gui,Config,0,12,0,0,0,5,0,2,0,2
JaCoCo Ant Example,client,GameWindow.new KeyListener() {...},24,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,client,ClientPropertiesTest,284,165,0,0,76,47,16,12,16,12
JaCoCo Ant Example,client,TestDriver,3,6,0,0,1,3,1,1,1,1
JaCoCo Ant Example,client,ClientGameSession,295,25,12,0,74,6,24,1,18,1
JaCoCo Ant Example,client,BomberClientTest,12,10,0,0,2,6,1,4,1,4
JaCoCo Ant Example,client,ClientGameLoop,36,0,0,0,15,0,7,0,7,0
JaCoCo Ant Example,client,ClientGameRound,339,4,12,0,92,1,26,1,20,1
JaCoCo Ant Example,client,ClientBomb,38,9,0,0,7,3,3,2,3,2
JaCoCo Ant Example,client,ClientGameRoundTest,56,0,0,0,12,0,3,0,3,0
JaCoCo Ant Example,client,ClientPlayer,211,23,16,0,54,8,19,1,11,1
JaCoCo Ant Example,client,GameWindow,44,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,client,ClientBombTest,376,343,0,0,77,78,16,18,16,18
JaCoCo Ant Example,client,TestDriverTest,12,47,0,0,2,12,1,6,1,6
JaCoCo Ant Example,client,BomberClient,312,51,2,2,89,18,30,6,29,5
JaCoCo Ant Example,client,ClientGameLoopTest,69,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,client,ClientPlayerTest,63,152,0,0,17,48,4,12,4,12
JaCoCo Ant Example,client,ClientProperties,60,63,8,4,14,21,7,5,2,4
JaCoCo Ant Example,common,GameObject,0,49,0,0,0,21,0,11,0,11
JaCoCo Ant Example,common,Map,396,0,16,0,82,0,34,0,26,0
JaCoCo Ant Example,common,TileTest,1344,6564,25,25,262,2153,71,445,46,445
JaCoCo Ant Example,common,GameSessionTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,common,PowerUpTest,243,0,2,0,66,0,14,0,13,0
JaCoCo Ant Example,common,BombTest,816,745,0,0,177,174,33,35,33,35
JaCoCo Ant Example,common,MapFilesLister,226,7,18,0,35,3,12,2,3,2
JaCoCo Ant Example,common,ActorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,common,XmlFunctions,121,33,2,0,35,15,5,4,4,4
JaCoCo Ant Example,common,GameRoundTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,common,MapTest,44,0,0,0,15,0,4,0,4,0
JaCoCo Ant Example,common,GameObjectTest,90,981,6,6,26,355,13,93,7,93
JaCoCo Ant Example,common,ResourceServiceTest,76,5,0,0,29,3,7,3,7,3
JaCoCo Ant Example,common,Map.PowerUpIterator,11,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,common,Bomb,93,75,4,0,26,16,16,4,14,4
JaCoCo Ant Example,common,MapFilesListerTest,12,12,0,0,2,6,1,4,1,4
JaCoCo Ant Example,common,PowerUp,63,8,8,0,19,4,13,1,9,1
JaCoCo Ant Example,common,Player,180,20,22,0,42,6,24,2,13,2
JaCoCo Ant Example,common,MapReader,444,16,44,0,74,5,29,2,7,2
JaCoCo Ant Example,common,Tile,0,95,0,2,0,34,0,19,0,18
JaCoCo Ant Example,common,GameRound,18,15,0,0,5,4,4,2,4,2
JaCoCo Ant Example,common,Actor,363,32,40,0,85,9,39,3,19,3
JaCoCo Ant Example,common,ConstantsTest,22,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,common,ResourceService,12,27,0,2,4,7,2,3,2,2
JaCoCo Ant Example,common,XmlFunctionsTest,12,25,0,0,2,11,1,5,1,5
JaCoCo Ant Example,common,PlayerTest,26,17,0,0,6,7,2,4,2,4
JaCoCo Ant Example,common,Map.new Iterator() {...},75,0,4,0,12,0,6,0,4,0
JaCoCo Ant Example,common,GameLoopTest,17,0,0,0,5,0,4,0,4,0
