GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.databene.jdbacl.model.sql,CreateExporterTest,52,116,0,0,14,35,4,11,4,11
JaCoCo Ant Example,org.databene.jdbacl.model.sql,CreateExporter,130,6,8,0,33,3,9,1,5,1
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MemKeyMapperTest,4126,349,2,2,1096,91,157,17,155,17
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,AbstractTableMapperTest,260,361,4,4,102,63,25,15,21,15
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,AbstractTableMapper,68,49,5,1,16,14,6,3,3,3
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MemKeyMapper,51,131,6,10,7,29,7,11,2,8
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MapperState,9,49,0,0,0,5,2,2,2,2
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetTableMapperTest,1965,361,2,2,262,57,38,12,36,12
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceTableMapper,7,28,0,2,2,7,1,3,1,2
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,GlobalRowId,9,102,4,12,2,14,4,9,0,5
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceDatabaseMapper,12,61,1,1,2,15,3,3,2,3
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceTableMapperTest,2029,425,2,2,286,81,42,16,40,16
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceDatabaseMapperTest,2638,653,2,2,481,142,76,24,74,24
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetDatabaseMapperTest,2601,578,2,2,479,125,78,24,76,24
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MapperStateTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,GlobalRowIdTest,209,291,3,3,64,77,16,19,13,19
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetDatabaseMapper,20,66,1,1,2,16,3,4,2,4
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetTableMapper,7,25,0,0,2,5,1,2,1,2
JaCoCo Ant Example,org.databene.jdbacl.model.cache,CachingDBImporter,71,76,4,2,16,16,4,7,1,7
JaCoCo Ant Example,org.databene.jdbacl.model.cache,CachingDBImporterTest,850,947,2,2,260,225,55,33,53,33
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,DBIndexInfo,61,53,6,2,7,14,5,2,2,1
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,LazyTableTest,10434,2114,3,3,2416,504,477,67,474,67
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,ImportedKey,222,86,11,1,29,11,7,7,1,7
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporterTest,32,4169,0,0,10,1123,3,97,3,97
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporter.TableNameFilter,32,6,10,0,3,1,6,1,1,1
