GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.jsecurity.web.session,WebSessionTest,694,5,0,0,91,3,22,3,22,3
JaCoCo Ant Example,org.jsecurity.web.session,WebSession,194,35,11,1,60,7,20,2,14,2
JaCoCo Ant Example,org.jsecurity.web.session,ServletContainerSessionManager,43,3,2,0,12,2,5,1,4,1
JaCoCo Ant Example,org.jsecurity.web.session,DefaultWebSessionManagerTest,1673,322,0,0,317,100,38,18,38,18
JaCoCo Ant Example,org.jsecurity.web.session,DefaultWebSessionManager,299,92,34,4,72,36,27,16,10,14
JaCoCo Ant Example,org.jsecurity.web.session,ServletContainerSessionManagerTest,227,12,0,0,50,6,10,4,10,4
JaCoCo Ant Example,org.jsecurity.spring,LifecycleBeanPostProcessorTest,12,129,0,0,2,45,1,11,1,11
JaCoCo Ant Example,org.jsecurity.spring,SpringJSecurityFilter,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.jsecurity.spring,SpringIniWebConfiguration,199,21,31,1,45,9,21,5,5,5
JaCoCo Ant Example,org.jsecurity.spring,LifecycleBeanPostProcessor,32,56,2,6,4,15,2,7,0,5
JaCoCo Ant Example,org.jsecurity.spring,SpringIniWebConfigurationTest,471,38,0,0,150,16,25,6,25,6
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},6,9,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},24,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplateTest,315,90,0,0,93,30,19,10,19,10
JaCoCo Ant Example,org.jsecurity.jndi,JndiCallbackTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate,107,113,9,7,18,27,8,12,1,11
JaCoCo Ant Example,org.jsecurity.jndi,JndiLocator,129,15,16,0,27,4,17,2,9,2
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptorTest,64,18,0,0,22,8,5,4,5,4
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor.new MethodInvocation() {...},25,9,0,0,4,1,4,1,4,1
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor,14,12,0,0,4,3,2,2,2,2
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AuthorizationAttributeSourceAdvisor,68,0,14,0,14,0,13,0,6,0
JaCoCo Ant Example,org.jsecurity.io,TextResource,91,84,5,5,24,28,8,10,5,8
JaCoCo Ant Example,org.jsecurity.io,XmlSerializerTest,53,20,0,0,17,8,4,4,4,4
JaCoCo Ant Example,org.jsecurity.io,AbstractResource,48,26,2,0,15,8,4,3,3,3
JaCoCo Ant Example,org.jsecurity.io,SerializationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,ResourceException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializerTest,113,5,0,0,37,3,8,3,8,3
JaCoCo Ant Example,org.jsecurity.io,ResourceExceptionTest,12,49,0,0,2,19,1,7,1,7
JaCoCo Ant Example,org.jsecurity.io,IniResourceTest,83,469,0,0,35,130,9,26,9,26
JaCoCo Ant Example,org.jsecurity.io,TextResourceTest,68,163,0,0,22,53,5,13,5,13
JaCoCo Ant Example,org.jsecurity.io,IniResource,134,80,20,4,27,26,14,10,2,10
JaCoCo Ant Example,org.jsecurity.io,ResourceUtils,106,84,24,6,23,19,18,7,3,7
JaCoCo Ant Example,org.jsecurity.io,XmlSerializer,27,32,2,2,7,9,2,3,1,2
JaCoCo Ant Example,org.jsecurity.io,SerializerTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializer,19,83,1,3,6,19,1,4,0,3
JaCoCo Ant Example,org.jsecurity.io,SerializationExceptionTest,12,49,0,0,2,19,1,7,1,7
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationExecutor,129,7,10,0,34,2,10,2,5,2
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationExecutorTest,408,12,0,0,103,6,14,4,14,4
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationFactoryTest,51,12,0,0,17,6,4,4,4,4
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationFactory,11,24,1,1,3,5,1,3,0,3
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationExceptionTest,12,49,0,0,2,19,1,7,1,7
JaCoCo Ant Example,org.jsecurity.authz,UnauthorizedException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizationInfoTest,12,450,0,0,2,118,1,23,1,23
JaCoCo Ant Example,org.jsecurity.authz,AuthorizingAccountTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.authz,UnauthenticatedException,16,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizationInfo,0,114,0,12,0,38,0,20,0,14
JaCoCo Ant Example,org.jsecurity.authz,ModularRealmAuthorizer,426,0,82,0,99,0,62,0,21,0
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationInfoTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.authz,HostUnauthorizedExceptionTest,12,95,0,0,2,35,1,10,1,10
JaCoCo Ant Example,org.jsecurity.authz,SimpleRoleTest,148,410,0,0,44,129,7,23,7,23
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizingAccountTest,489,1184,0,0,149,358,26,65,26,65
JaCoCo Ant Example,org.jsecurity.authz,SimpleRole,38,112,10,16,10,34,7,19,0,13
JaCoCo Ant Example,org.jsecurity.authz,HostUnauthorizedException,0,37,0,0,0,13,0,7,0,7
JaCoCo Ant Example,org.jsecurity.authz,PermissionTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizingAccount,289,278,64,48,73,76,45,42,3,28
JaCoCo Ant Example,org.jsecurity.web.filter.authc,FormAuthenticationFilterTest,1037,226,0,0,193,84,20,14,20,14
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AnonymousFilter,2,3,0,0,1,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AuthenticatingFilterTest,501,27,0,0,72,11,12,4,12,4
JaCoCo Ant Example,org.jsecurity.web.filter.authc,BasicHttpAuthenticationFilter,154,53,26,0,34,18,19,10,6,10
JaCoCo Ant Example,org.jsecurity.web.filter.authc,BasicHttpAuthenticationFilterTest,899,195,0,0,163,73,19,13,19,13
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AnonymousFilterTest,63,5,0,0,9,3,2,3,2,3
JaCoCo Ant Example,org.jsecurity.web.filter.authc,UserFilter,25,3,4,0,6,1,4,1,2,1
JaCoCo Ant Example,org.jsecurity.web.filter.authc,PassThruAuthenticationFilterTest,150,5,0,0,20,3,4,3,4,3
JaCoCo Ant Example,org.jsecurity.web.filter.authc,UserFilterTest,257,5,0,0,35,3,6,3,6,3
JaCoCo Ant Example,org.jsecurity.web.filter.authc,PassThruAuthenticationFilter,13,3,2,0,4,1,2,1,1,1
