GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapterTest,2091,355,1,1,556,100,109,27,108,27
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImpl,58,0,0,0,19,0,14,0,14,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixer,82,397,31,47,14,88,27,27,2,13
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapter,183,37,14,2,36,10,15,2,7,2
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapter,177,171,27,23,36,38,25,12,6,6
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooperTest,2458,1054,1,1,736,248,124,52,123,52
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapterTest,3006,158,1,1,894,57,157,15,156,15
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImplTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixerTest,2913,1761,1,1,903,485,154,104,153,104
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooper,161,39,0,4,28,8,8,6,8,4
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage.FTPOutputHandler,31,0,0,0,12,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorageTest,532,59,1,1,119,19,19,7,18,7
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage,116,97,18,6,25,27,12,8,1,7
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage,86,7,0,0,23,4,4,3,4,3
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage,288,79,31,5,35,18,21,5,3,5
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageTest,1003,86,1,1,213,31,30,10,29,10
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorageTest,1004,59,1,1,215,19,31,7,30,7
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage.LocalOutputHandler,30,7,4,0,7,3,4,1,2,1
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage.SSHOutputHandler,74,0,0,0,18,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.util,LagoonUtil,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.lagoon.util,Wildcard,55,43,9,7,7,12,8,4,1,3
