GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyExceptionTest,12,58,0,0,2,19,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.properties,OffTest,12,95,0,0,2,36,1,9,1,9
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoaderTest,38,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOffTest,108,5,0,0,24,3,5,3,5,3
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunner,27,28,1,1,7,7,1,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServletTest,147,28,0,0,27,9,6,4,6,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoader,14,3,0,0,4,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,WebRun,117,108,4,2,18,23,4,6,1,6
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplicationTest,34,49,0,0,9,15,2,5,2,5
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunnerTest,132,50,0,0,30,19,5,7,5,7
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServlet,77,6,2,0,18,3,2,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesTest,12,299,0,0,2,101,1,16,1,16
JaCoCo Ant Example,net.sf.lavalamp.application,WebRunTest,352,471,0,0,85,127,11,18,11,18
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplication,0,16,0,0,0,7,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationProperties,8,75,1,1,1,18,1,11,0,11
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOff,24,13,0,0,8,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApiTest,12,46,0,0,2,16,1,6,1,6
