GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.saxpath,SAXPathEventSourceTest,12,47,1,1,2,18,2,7,1,7
JaCoCo Ant Example,org.saxpath,SAXPathParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.saxpath,XPathSyntaxException,0,86,0,2,0,20,0,7,0,6
JaCoCo Ant Example,org.saxpath,XPathHandlerTest,12,1719,2,2,2,753,3,185,1,185
JaCoCo Ant Example,org.saxpath,AxisTest,12,259,0,0,2,110,1,30,1,30
JaCoCo Ant Example,org.saxpath,XPathReaderTest,21,25,1,1,6,10,3,5,2,5
JaCoCo Ant Example,org.saxpath,SAXPathParseExceptionTest,12,57,0,0,2,19,1,5,1,5
JaCoCo Ant Example,org.saxpath,SAXPathExceptionTest,166,130,1,1,46,42,13,11,12,11
JaCoCo Ant Example,org.saxpath,Axis,4,109,2,38,2,41,2,27,0,3
JaCoCo Ant Example,org.saxpath,OperatorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.saxpath,SAXPathException,22,25,2,2,7,11,3,5,1,5
JaCoCo Ant Example,org.saxpath,XPathSyntaxExceptionTest,12,593,3,3,2,184,4,29,1,29
JaCoCo Ant Example,org.saxpath.conformance,ConformanceXPathHandlerTest,12,917,1,1,2,396,2,98,1,98
JaCoCo Ant Example,org.saxpath.conformance,ConformanceXPathHandler,18,400,2,2,3,101,2,48,0,48
JaCoCo Ant Example,com.werken.saxpath,XPathReaderTest,900,254,2,2,394,83,109,22,107,22
JaCoCo Ant Example,com.werken.saxpath,XPathReader,815,326,121,23,272,101,103,25,19,23
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandlerTest,12,867,1,1,2,381,2,95,1,95
JaCoCo Ant Example,com.werken.saxpath,XPathLexerTest,26,20372,30,30,7,6921,32,1295,2,1295
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler.Singleton,3,5,0,0,1,1,1,1,1,1
JaCoCo Ant Example,com.werken.saxpath,XPathLexer,389,641,71,43,93,157,54,59,0,44
JaCoCo Ant Example,com.werken.saxpath,TokenTypesTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler,0,49,0,0,0,47,0,46,0,46
JaCoCo Ant Example,com.werken.saxpath,TokenTest,30,1082,4,4,10,353,7,55,3,55
JaCoCo Ant Example,com.werken.saxpath,Token,0,65,0,0,0,19,0,10,0,10
JaCoCo Ant Example,org.saxpath.helpers,DefaultXPathHandlerTest,881,0,2,0,383,0,97,0,96,0
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactory,107,0,12,0,32,0,10,0,4,0
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactoryTest,45,0,0,0,19,0,8,0,8,0
JaCoCo Ant Example,org.saxpath.helpers,DefaultXPathHandler,0,47,0,0,0,46,0,45,0,45
