GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMeta,249,69,17,3,48,16,13,3,4,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMeta,368,5,46,0,78,1,40,1,17,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMetaTest,37,5,0,0,10,3,3,3,3,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMetaTest,140,5,0,0,50,3,9,3,9,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMeta,138,5,12,0,27,1,12,1,6,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMetaTest,37,5,0,0,10,3,3,3,3,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMeta,95,21,7,1,16,6,9,2,5,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMetaTest,37,5,0,0,10,3,3,3,3,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfigTest,26,276,1,1,7,68,3,9,2,9
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOptionTest,32,1023,7,7,10,347,10,67,3,67
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriterTest,1742,5,0,0,564,3,101,3,101,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot,361,345,44,24,53,65,29,24,0,19
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtil,55,3,3,1,16,2,4,1,2,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriter,0,63,0,4,0,16,0,6,0,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,VersionTest,12,131,1,1,2,44,2,12,1,12
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter,81,98,10,4,19,21,6,4,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatterTest,44,16,1,1,12,6,4,4,3,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumper,60,0,8,0,16,0,6,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.ProcessOutputReader,78,0,6,0,17,0,5,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,10,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Inflection,12,370,5,15,4,98,5,18,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfig,95,66,11,1,19,14,7,5,1,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,InflectionTest,36,728,6,6,12,260,9,57,3,57
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader,88,53,11,6,22,22,7,5,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilder,207,17,16,0,36,4,12,1,4,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriter,82,0,0,0,25,0,10,0,10,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,HtmlEncoder,78,0,4,0,15,0,7,0,5,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,CaseInsensitiveMapTest,12,249,2,2,2,88,3,21,1,21
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Version,5,116,3,15,2,28,3,11,0,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumperTest,20,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriterTest,407,113,2,2,127,40,28,12,26,12
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.Masker,14,32,1,1,6,9,1,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.IOError,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOption,0,57,0,0,0,13,0,7,0,7
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtilTest,563,59,0,0,142,23,35,7,35,7
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DotTest,683,239,1,1,182,84,32,21,31,21
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.DotFailure,0,7,0,0,0,3,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConsolePasswordReader,59,0,0,0,9,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,CaseInsensitiveMap,27,25,2,0,7,7,3,5,2,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilderTest,156,5,0,0,33,3,7,3,7,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConsolePasswordReaderTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReaderTest,12,153,2,2,2,43,3,11,1,11
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrame,227,0,10,0,55,0,12,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new ActionListener() {...},26,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new DocumentListener() {...},35,9,0,0,5,1,3,1,3,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new TableModelListener() {...},32,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new ItemListener() {...},18,0,2,0,4,0,3,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigTableModel,65,258,8,27,16,63,8,23,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new JTable() {...},87,0,4,0,16,0,5,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor,47,100,2,0,8,21,4,1,3,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel,83,0,4,0,20,0,5,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrame.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbTypeSelectorModel,34,48,5,3,7,11,5,4,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigTableModelTest,375,1267,2,2,148,392,28,57,26,57
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,UiUtils,17,53,1,3,3,11,2,4,1,3
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,UiUtilsTest,1896,1442,0,0,212,243,43,51,43,51
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditorTest,67,156,0,0,17,43,4,11,4,11
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbTypeSelectorModelTest,98,26,1,1,35,10,9,5,8,5
JaCoCo Ant Example,net.sourceforge.schemaspy.model,DatabaseTest,1222,5,0,0,302,3,31,3,31,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.BasicTableMeta,27,0,0,0,9,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalTable,10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,InvalidConfigurationException,0,21,0,0,0,9,0,5,0,5
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.TableCreator,80,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ImpliedForeignKeyConstraint,54,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RemoteTableTest,1264,5,0,0,242,3,31,3,31,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.ThreadedTableCreator.new Thread() {...},95,0,0,0,10,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableColumn.ColumnComparator,22,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableTest,1264,277,0,0,242,115,31,19,31,19
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RailsForeignKeyConstraint,7,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RoutineParameter,0,21,0,0,0,8,0,4,0,4
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalTableTest,1264,5,0,0,242,3,31,3,31,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,View,111,0,26,0,27,0,17,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table.ByColumnIdComparator,36,3,8,0,7,1,5,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RoutineTest,162,7361,30,30,32,2237,37,417,7,417
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableColumn,655,9,64,0,134,2,72,1,40,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Routine,0,105,0,6,0,32,0,16,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.NameValidator,179,0,16,0,24,0,10,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ForeignKeyConstraintTest,4327,38,0,0,490,15,74,6,74,6
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table,2184,63,328,8,445,5,224,6,60,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RemoteTable,135,0,18,0,24,0,13,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database,2137,0,302,0,460,0,189,0,38,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.CombinedMap,108,12,14,0,19,4,20,1,13,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ImpliedForeignKeyConstraintTest,288,5,0,0,22,3,5,3,5,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RoutineParameterTest,12,361,3,3,2,120,4,23,1,23
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalRemoteTable,10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableIndexTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,InvalidConfigurationExceptionTest,12,1874,16,16,2,552,17,82,1,82
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableIndex,207,0,40,0,52,0,34,0,14,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ConnectionFailureTest,12,474,0,0,2,134,1,20,1,20
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ForeignKeyConstraint,307,16,43,1,80,4,47,2,22,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ViewTest,1337,5,0,0,272,3,31,3,31,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table.new SQLException() {...},35,0,2,0,4,0,2,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,EmptySchemaException,0,3,0,0,0,2,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,EmptySchemaExceptionTest,12,28,0,0,2,10,1,4,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ConnectionFailure,0,23,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.new HashSet() {...},12,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.ThreadedTableCreator,88,0,4,0,25,0,5,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableColumnTest,390,5,0,0,52,3,11,3,11,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalRemoteTableTest,1264,5,0,0,242,3,31,3,31,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ProcessExecutionExceptionTest,12,474,0,0,2,134,1,20,1,20
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RailsForeignKeyConstraintTest,288,5,0,0,22,3,5,3,5,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table.new ForeignKeyConstraint() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ProcessExecutionException,0,23,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByDefaultValueComparator,22,14,2,0,6,2,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.view,SqlFormatterTest,2530,16,1,1,258,6,32,4,31,4
JaCoCo Ant Example,net.sourceforge.schemaspy.view,DefaultSqlFormatter,438,944,32,2,66,10,20,4,3,4
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlDiagramFormatter,42,44,6,2,9,15,4,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlConstraintsPage,466,12,24,0,133,5,19,4,7,4
JaCoCo Ant Example,net.sourceforge.schemaspy.view,DotFormatter,902,14,124,0,174,5,72,3,10,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlMultipleSchemasIndexPageTest,1366,19,1,1,362,9,62,5,61,5
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlMainIndexPageTest,5447,31,1,1,642,13,77,6,76,6
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlFormatter,866,21,98,0,191,7,67,3,18,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,StyleSheet.ParseException,4,4,0,0,2,2,1,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlAnomaliesPageTest,5696,31,1,1,368,13,47,6,46,6
JaCoCo Ant Example,net.sourceforge.schemaspy.view,DotConnectorTest,588,5,0,0,50,3,9,3,9,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlTablePageTest,8119,29,1,1,814,13,92,6,91,6
JaCoCo Ant Example,net.sourceforge.schemaspy.view,TextFormatterTest,2031,19,1,1,228,9,32,5,31,5
JaCoCo Ant Example,net.sourceforge.schemaspy.view,WriteStats,52,20,7,1,13,6,7,3,3,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,StyleSheetTest,17,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,XmlTableFormatterTest,1830,19,1,1,198,9,32,5,31,5
JaCoCo Ant Example,net.sourceforge.schemaspy.view,DotNodeTest,3127,5,0,0,437,3,76,3,76,3
JaCoCo Ant Example,net.sourceforge.schemaspy.view,WriteStatsTest,1510,93,0,0,148,27,27,7,27,7
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlMainIndexPage.new Comparator() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.view,HtmlFormatterTest,8776,34,1,1,1586,14,265,6,264,6
JaCoCo Ant Example,net.sourceforge.schemaspy.view,DotFormatterTest,12484,19,1,1,1376,9,152,5,151,5
