GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.xisemele.exception,ChildNotFoundException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleIOExceptionTest,30,5,0,0,7,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,NotWithinContextExceptionTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleExceptionTest,41,5,0,0,11,3,3,3,3,3
JaCoCo Ant Example,net.sf.xisemele.exception,AttributeNotPermittedException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleIOException,12,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,NotWithinContextException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,RootDuplicateExceptionTest,25,5,0,0,7,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,ValueNotPermittedExceptionTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,RootDuplicateException,14,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,TransformException,7,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ValueNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ElementIndexOutOfBoundsException,15,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,RemoveRootNotPermittedExceptionTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,FormatterNotConfiguredException,11,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextDuplicateException,6,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,TransformExceptionTest,24,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,InvalidNameException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,RemoveRootNotPermittedException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,ElementNotFoundExceptionTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextDuplicateExceptionTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,AttributeNotPermittedExceptionTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,ChildNotFoundExceptionTest,25,5,0,0,7,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,InvalidNameExceptionTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,ParseXMLExceptionTest,24,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,FormatterException,31,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,net.sf.xisemele.exception,ParseXMLException,7,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,XisemeleException,22,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,net.sf.xisemele.exception,ElementNotFoundException,10,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,net.sf.xisemele.exception,WithinContextNotPermittedExceptionTest,22,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.exception,ElementIndexOutOfBoundsExceptionTest,25,5,0,0,7,3,2,3,2,3
JaCoCo Ant Example,net.sf.xisemele.impl,FormatterProviderImpl,0,21,0,0,0,5,0,3,0,3
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,XisemeleImpl,258,36,0,0,33,8,9,2,9,2
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},7,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},7,6,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},0,11,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.xisemele.impl,EditorImpl,136,0,0,0,44,0,22,0,22,0
JaCoCo Ant Example,net.sf.xisemele.impl,AttributeImplTest,29,113,0,0,7,35,2,10,2,10
JaCoCo Ant Example,net.sf.xisemele.impl,FactoryImpl,125,99,3,3,21,25,14,11,11,11
JaCoCo Ant Example,net.sf.xisemele.impl,XisemeleFactory,3,13,0,0,1,2,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsHelperImpl,112,38,23,3,23,10,14,4,1,4
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl,104,61,1,3,12,16,12,8,11,7
JaCoCo Ant Example,net.sf.xisemele.impl,DateFormatter,13,16,0,0,3,5,1,3,1,3
JaCoCo Ant Example,net.sf.xisemele.impl,XisemeleImplTest,273,69,0,0,60,18,12,6,12,6
JaCoCo Ant Example,net.sf.xisemele.impl,ResultImplTest,483,5,0,0,115,3,16,3,16,3
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImplTest,263,180,0,0,53,35,13,10,13,10
JaCoCo Ant Example,net.sf.xisemele.impl,ValidationsImpl,33,45,3,7,5,11,3,6,1,3
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsImplTest,550,135,0,0,156,39,29,10,29,10
JaCoCo Ant Example,net.sf.xisemele.impl,WriterImplTest,829,5,0,0,150,3,28,3,28,3
JaCoCo Ant Example,net.sf.xisemele.impl,ValidationsImplTest,127,56,0,0,27,14,7,6,7,6
JaCoCo Ant Example,net.sf.xisemele.impl,WriterImpl,73,0,0,0,23,0,11,0,11,0
JaCoCo Ant Example,net.sf.xisemele.impl,WriterEditorImplTest,1330,5,0,0,244,3,59,3,59,3
JaCoCo Ant Example,net.sf.xisemele.impl,ReaderImplTest,150,23,0,0,34,8,8,4,8,4
JaCoCo Ant Example,net.sf.xisemele.impl,WithinContextImplTest,32,26,0,0,10,12,3,6,3,6
JaCoCo Ant Example,net.sf.xisemele.impl,ValueListImplTest,12,383,0,0,2,120,1,31,1,31
JaCoCo Ant Example,net.sf.xisemele.impl,ResultImpl,162,39,2,0,31,9,8,1,7,1
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,ElementImplTest,381,190,0,0,83,43,19,12,19,12
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsHelperImplTest,162,111,0,0,56,39,10,10,10,10
JaCoCo Ant Example,net.sf.xisemele.impl,ValidationsTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,ReaderImpl,32,13,0,0,5,5,5,1,5,1
JaCoCo Ant Example,net.sf.xisemele.impl,MessageImpl,9,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,NullErrorHandlerTest,12,60,0,0,2,18,1,7,1,7
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsHelperTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,WriterEditorImpl,449,0,36,0,105,0,43,0,25,0
JaCoCo Ant Example,net.sf.xisemele.impl,FactoryTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,OperationsImpl,105,105,20,8,16,19,19,13,6,12
JaCoCo Ant Example,net.sf.xisemele.impl,MessageTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,WithinContextTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,MessageImplTest,27,12,0,0,7,6,2,4,2,4
JaCoCo Ant Example,net.sf.xisemele.impl,FormatterProviderTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},6,9,0,0,1,1,1,1,1,1
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},0,10,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.xisemele.impl,WithinContextImpl,0,14,0,0,0,6,0,4,0,4
JaCoCo Ant Example,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},0,10,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.xisemele.impl,WriterEditorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.impl,NullValue,0,41,0,0,0,19,0,18,0,18
JaCoCo Ant Example,net.sf.xisemele.impl,ValueListImpl,132,175,13,13,26,42,13,14,0,14
JaCoCo Ant Example,net.sf.xisemele.impl,NullErrorHandler,0,6,0,0,0,4,0,4,0,4
JaCoCo Ant Example,net.sf.xisemele.impl,EditorImplTest,1290,5,0,0,233,3,45,3,45,3
JaCoCo Ant Example,net.sf.xisemele.impl,DateFormatterTest,40,42,0,0,12,16,3,6,3,6
JaCoCo Ant Example,net.sf.xisemele.impl,ElementImpl,77,106,6,0,13,18,8,14,5,14
JaCoCo Ant Example,net.sf.xisemele.impl,NullValueTest,156,15,0,0,70,7,17,4,17,4
JaCoCo Ant Example,net.sf.xisemele.impl,AttributeImpl,1,46,2,4,0,11,2,6,0,5
JaCoCo Ant Example,net.sf.xisemele.impl,XisemeleFactoryTest,12,10,0,0,2,6,1,4,1,4
JaCoCo Ant Example,net.sf.xisemele.api,ResultTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,ValueTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,AttributeTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,WriterTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,XisemeleTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,ElementTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,ReaderTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,FormatterTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,ValueListTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.xisemele.api,EditorTest,17,0,0,0,5,0,4,0,4,0
