GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,bierse.model,DrinkTest,204,10,0,0,66,6,12,4,12,4
JaCoCo Ant Example,bierse.model,Model,474,0,28,0,126,0,45,0,31,0
JaCoCo Ant Example,bierse.model,Drink,979,2,40,0,219,1,64,1,44,1
JaCoCo Ant Example,bierse.model,SettingsTest,24,5,0,0,6,3,2,3,2,3
JaCoCo Ant Example,bierse.model,ModelTest,19,5,0,0,5,3,2,3,2,3
JaCoCo Ant Example,bierse.model,Settings,355,0,10,0,95,0,22,0,17,0
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModel,0,140,0,13,0,40,0,15,0,3
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,bierse.view,IDrinkSellViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListenerTest,12,74,0,0,2,23,1,8,1,8
JaCoCo Ant Example,bierse.view,ISettingsViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,IModelChangedListenerTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,RunningMessagePanel,131,0,6,0,34,0,10,0,7,0
JaCoCo Ant Example,bierse.view,MyKeyMapTest,12,83,0,0,2,33,1,9,1,9
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
JaCoCo Ant Example,bierse.view,MyKeyMap,12,9,0,0,4,4,4,1,4,1
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModelTest,20,108,0,0,6,54,2,16,2,16
JaCoCo Ant Example,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
JaCoCo Ant Example,bierse.view,IDrinkSettingsViewTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,bierse.view,DefaultInfoView,472,0,10,0,89,0,13,0,8,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListener,82,13,4,0,20,4,9,1,7,1
JaCoCo Ant Example,bierse,Bierse,48,0,0,0,12,0,2,0,2,0
JaCoCo Ant Example,bierse,BierseTest,54,5,0,0,11,3,4,3,4,3
JaCoCo Ant Example,bierse.controller,DefaultMenuController,48,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,bierse.controller,DrinkSellController,111,0,8,0,21,0,8,0,4,0
JaCoCo Ant Example,bierse.controller,TriggerThread,53,0,4,0,16,0,4,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultTableModelControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultTableModelController,51,0,6,0,13,0,5,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultMenuControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultSettingsControllerTest,40,5,0,0,8,3,2,3,2,3
JaCoCo Ant Example,bierse.controller,TriggerThreadTest,42,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DrinkSellControllerTest,53,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,bierse.controller,DefaultSettingsController,239,0,26,0,53,0,16,0,3,0
