GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkType,0,31,0,0,0,13,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,ResponseType,0,28,0,2,0,10,0,7,0,6
JaCoCo Ant Example,com.google.earth.kml._2,StatusTypeEvoSuiteTest,0,51,0,0,0,17,0,5,0,5
JaCoCo Ant Example,com.google.earth.kml._2,ResponseTypeEvoSuiteTest,0,63,0,0,0,23,0,6,0,6
JaCoCo Ant Example,com.google.earth.kml._2,PointType,0,31,0,0,0,13,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeTypeEvoSuiteTest,6,17,0,0,3,8,0,3,0,3
JaCoCo Ant Example,com.google.earth.kml._2,PointTypeEvoSuiteTest,0,85,0,0,0,30,0,8,0,8
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactory,0,66,0,0,0,13,0,10,0,10
JaCoCo Ant Example,com.google.earth.kml._2,KmlTypeEvoSuiteTest,0,28,0,0,0,10,0,3,0,3
JaCoCo Ant Example,com.google.earth.kml._2,KmlType,0,10,0,0,0,4,0,3,0,3
JaCoCo Ant Example,com.google.earth.kml._2,StatusType,0,17,0,0,0,7,0,5,0,5
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactoryEvoSuiteTest,0,93,0,0,0,28,0,7,0,7
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkTypeEvoSuiteTest,0,96,0,0,0,35,0,9,0,9
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeType,5,80,0,4,0,12,1,7,1,5
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctorEvoSuiteTest,0,15,0,0,0,7,0,3,0,3
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctorEvoSuiteTest,0,61,0,0,0,20,0,4,0,4
JaCoCo Ant Example,geo.google.mapping,MappingUtilsEvoSuiteTest,18,19,0,0,9,10,0,5,0,5
JaCoCo Ant Example,geo.google.mapping,FunctionChain,121,0,10,0,32,0,15,0,10,0
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor.new Object() {...},3,23,0,0,0,1,0,1,0,1
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctorEvoSuiteTest,7,14,0,0,3,7,0,3,0,3
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctor,98,32,11,1,19,11,6,5,0,5
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctorEvoSuiteTest,7,47,0,0,3,15,0,4,0,4
JaCoCo Ant Example,geo.google.mapping,MappingUtils,64,30,4,4,8,6,4,2,1,1
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctor,19,35,0,0,6,12,0,4,0,4
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctor,38,10,2,0,10,3,2,3,1,3
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor,9,63,2,6,2,20,2,7,0,4
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctor,116,34,25,3,28,10,13,5,0,4
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctorEvoSuiteTest,7,101,0,0,3,32,0,6,0,6
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfarePreDirectionType,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumber,0,60,0,0,0,24,0,16,0,16
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.KeyLineCode,10,22,0,0,4,8,3,5,3,5
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown,0,47,0,4,0,16,0,10,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostalCodeNumberExtension,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitude,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLinesType,0,33,0,4,0,9,0,6,0,4
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumberSuffix,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,DependentLocalityTypeEvoSuiteTest,0,499,0,0,0,182,0,44,0,44
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements,0,107,1,5,0,40,1,25,0,23
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea,0,93,0,6,0,34,0,22,0,19
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown.PostTownName,21,11,0,0,9,3,6,2,6,2
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.AdministrativeAreaName,0,32,0,0,0,12,0,8,0,8
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType.PostalRouteName,0,32,0,0,0,12,0,8,0,8
