GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,client.gui.components,MyPanelEvoSuiteTest,84,0,0,0,24,0,6,0,6,0
JaCoCo Ant Example,client.gui.components,MyButtonEvoSuiteTest,74,0,0,0,17,0,4,0,4,0
JaCoCo Ant Example,client.gui.components,MyButton,312,0,8,0,60,0,14,0,10,0
JaCoCo Ant Example,client.gui.components,MyTextField,179,0,4,0,34,0,6,0,4,0
JaCoCo Ant Example,client.gui.components,MyTextFieldEvoSuiteTest,26,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,client.gui.components,MyPanel,462,0,16,0,85,0,18,0,10,0
JaCoCo Ant Example,db,UserTest,37,0,2,0,10,0,3,0,2,0
JaCoCo Ant Example,db,HighscoreTest,32,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,db,UserTestEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,db,BombermanDBService,611,0,58,0,159,0,37,0,8,0
JaCoCo Ant Example,db,Top10Highscore,61,0,2,0,20,0,5,0,4,0
JaCoCo Ant Example,db,DBGameUser,39,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,db,DBServiceFactory,14,0,2,0,6,0,4,0,3,0
JaCoCo Ant Example,db,DBEntityManagerFactory,21,0,4,0,9,0,6,0,4,0
JaCoCo Ant Example,db,DBException,16,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,db,HighscoreTestEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,db,DBGameUserEvoSuiteTest,84,0,0,0,30,0,8,0,8,0
JaCoCo Ant Example,client.gui,CreateGameDialog,496,0,24,0,113,0,22,0,10,0
JaCoCo Ant Example,client.gui,SplashFrame,58,0,0,0,13,0,1,0,1,0
JaCoCo Ant Example,client.gui,CashEvoSuiteTest,19,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,client.gui,GlobalHighscoreLobby,743,0,17,0,121,0,22,0,9,0
JaCoCo Ant Example,client.gui,GlobalHighscoreLobbyEvoSuiteTest,88,0,0,0,20,0,5,0,5,0
JaCoCo Ant Example,client.gui,LoginDialogEvoSuiteTest,10,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,client.gui,ServerSelectionDialog,300,0,14,0,66,0,15,0,8,0
JaCoCo Ant Example,client.gui,StartFrame.ActionListenerChangePanel,47,0,4,0,9,0,4,0,2,0
JaCoCo Ant Example,client.gui,ServerSelectionDialogEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,client.gui,CreateGameDialogEvoSuiteTest,69,0,0,0,19,0,4,0,4,0
JaCoCo Ant Example,client.gui,GlobalLobby,588,0,26,0,131,0,26,0,13,0
JaCoCo Ant Example,client.gui,Cash,19,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,client.gui,GameEvoSuiteTest,74,0,0,0,18,0,3,0,3,0
JaCoCo Ant Example,client.gui,Game,71,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,client.gui,ImageCacheEvoSuiteTest,214,0,0,0,45,0,7,0,7,0
JaCoCo Ant Example,client.gui,SplashThreadEvoSuiteTest,19,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,client.gui,ImageCache,37,0,0,0,14,0,7,0,7,0
JaCoCo Ant Example,client.gui,LoginDialog,1122,0,58,0,225,0,48,0,19,0
JaCoCo Ant Example,client.gui,SessionLobby,288,0,10,0,64,0,15,0,10,0
JaCoCo Ant Example,client.gui,SplashFrameEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,client.gui,StartFrame,704,0,16,0,195,0,49,0,41,0
JaCoCo Ant Example,client.gui,HighscoreLobby,449,0,22,0,105,0,26,0,15,0
JaCoCo Ant Example,client.gui,SplashThread,52,0,2,0,17,0,4,0,3,0
JaCoCo Ant Example,client.gui,Chat,321,0,14,0,76,0,25,0,18,0
JaCoCo Ant Example,client.gui,GlobalLobbyEvoSuiteTest,14,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,client.gui,ConfigEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,client.gui,Config,12,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,client,GameWindow.new KeyListener() {...},24,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,client,TestDriver,9,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,client,ClientGameSession,320,0,12,0,80,0,25,0,19,0
JaCoCo Ant Example,client,ClientGameLoop,36,0,0,0,15,0,7,0,7,0
JaCoCo Ant Example,client,TestDriverEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,client,ClientGameRound,343,0,12,0,93,0,27,0,21,0
JaCoCo Ant Example,client,ClientBomb,47,0,0,0,10,0,5,0,5,0
JaCoCo Ant Example,client,ClientPlayer,234,0,16,0,62,0,20,0,12,0
JaCoCo Ant Example,client,GameWindow,44,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,client,GameWindowEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,client,BomberClient,363,0,4,0,107,0,36,0,34,0
JaCoCo Ant Example,client,ClientProperties,123,0,12,0,35,0,12,0,6,0
JaCoCo Ant Example,common,GameObject,49,0,0,0,21,0,11,0,11,0
JaCoCo Ant Example,common,Map,396,0,16,0,82,0,34,0,26,0
JaCoCo Ant Example,common,ConstantsEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,common,MapFilesLister,233,0,18,0,38,0,14,0,5,0
JaCoCo Ant Example,common,XmlFunctions,154,0,2,0,50,0,9,0,8,0
JaCoCo Ant Example,common,Map.PowerUpIterator,11,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,common,Bomb,168,0,4,0,42,0,20,0,18,0
JaCoCo Ant Example,common,ResourceServiceEvoSuiteTest,26,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,common,PowerUp,71,0,8,0,23,0,14,0,10,0
JaCoCo Ant Example,common,PowerUpEvoSuiteTest,139,0,0,0,39,0,8,0,8,0
JaCoCo Ant Example,common,Player,200,0,22,0,48,0,26,0,15,0
JaCoCo Ant Example,common,MapReader,460,0,44,0,79,0,31,0,9,0
JaCoCo Ant Example,common,Tile,95,0,2,0,34,0,19,0,18,0
JaCoCo Ant Example,common,GameRound,33,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,common,MapEvoSuiteTest,30,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,common,Actor,395,0,40,0,94,0,42,0,22,0
JaCoCo Ant Example,common,ResourceService,39,0,2,0,11,0,5,0,4,0
JaCoCo Ant Example,common,Map.new Iterator() {...},75,0,4,0,12,0,6,0,4,0
JaCoCo Ant Example,common,GameObjectEvoSuiteTest,139,0,0,0,37,0,7,0,7,0
JaCoCo Ant Example,common,GameModel,238,0,18,0,48,0,19,0,10,0
JaCoCo Ant Example,common,TileEvoSuiteTest,436,0,0,0,99,0,15,0,15,0
JaCoCo Ant Example,common,Constants,14,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,common,MapPreview,324,0,12,0,64,0,14,0,8,0
JaCoCo Ant Example,common,GameLoop,139,0,14,0,47,0,13,0,6,0
JaCoCo Ant Example,common,GameSession,135,0,10,0,27,0,15,0,10,0
JaCoCo Ant Example,client.network,ClientMsgSender,5,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,client.network,ForwardingObserver,132,0,12,0,29,0,8,0,2,0
JaCoCo Ant Example,client.network,GeneralMsgProcessor,4,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,client.network,GeneralMsgProcessorEvoSuiteTest,12,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,client.network,ClientMsgReceiver,111,0,12,0,37,0,12,0,6,0
JaCoCo Ant Example,client.network,ForwardingObserverEvoSuiteTest,17,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,messages.session,PlayerLeftMsgEvoSuiteTest,18,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionStateMsg,22,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,messages.session,InitializeRoundMsg,16,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionScoreMsg,16,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionChatMsgEvoSuiteTest,34,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,messages.session,SessionScoreMsgEvoSuiteTest,18,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.session,SessionChatMsg,29,0,0,0,11,0,4,0,4,0
JaCoCo Ant Example,messages.session,SessionParticipationMsg,40,0,4,0,13,0,5,0,3,0
JaCoCo Ant Example,messages.session,SessionStateMsgEvoSuiteTest,31,0,0,0,10,0,3,0,3,0
JaCoCo Ant Example,messages.session,InitializeRoundMsgEvoSuiteTest,23,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,messages.session,PlayerLeftMsg,6,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,messages.session,PlayerInfoEvoSuiteTest,68,0,0,0,18,0,4,0,4,0
JaCoCo Ant Example,messages.session,PlayerInfo,21,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,logging,Logging,82,0,10,0,35,0,12,0,5,0
JaCoCo Ant Example,common.network,MsgReceiver,67,0,6,0,24,0,6,0,3,0
JaCoCo Ant Example,common.network,MsgSender,59,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,messages.round,TileHitPlayerMsgEvoSuiteTest,17,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.round,RoundStateMsg,34,0,3,0,12,0,4,0,2,0
JaCoCo Ant Example,messages.round,PlayerStateMsg,97,0,8,0,19,0,10,0,6,0
JaCoCo Ant Example,messages.round,CountdownMsgEvoSuiteTest,17,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.round,CountdownMsg,11,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,messages.round,NewBombMsg,129,0,0,0,27,0,4,0,4,0
JaCoCo Ant Example,messages.round,PowerUpHitMsgEvoSuiteTest,78,0,0,0,19,0,4,0,4,0
JaCoCo Ant Example,messages.round,ClientQuitRunningSessionMsg,27,0,0,0,9,0,2,0,2,0
JaCoCo Ant Example,messages.round,TileHitPlayerMsg,15,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,messages.round,BombMoveMsg,92,0,4,0,20,0,8,0,6,0
JaCoCo Ant Example,messages.round,MagicKillMsg,17,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,messages.round,RoundTimeOneSecondLeftMsg,61,0,2,0,12,0,4,0,3,0
JaCoCo Ant Example,messages.round,MagicKillMsgEvoSuiteTest,11,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,messages.round,PowerUpHitMsg,97,0,12,0,33,0,12,0,6,0
JaCoCo Ant Example,messages.round,RoundTimeOverMsg,13,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,messages.round,BombExplodedMsg,176,0,18,0,44,0,13,0,4,0
JaCoCo Ant Example,messages.round,RoundScoreMsgEvoSuiteTest,18,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.round,RoundStateMsgEvoSuiteTest,31,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,messages.round,NewTileMsg,40,0,0,0,11,0,3,0,3,0
JaCoCo Ant Example,messages.round,ClientQuitRunningSessionMsgEvoSuiteTest,19,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,messages.round,RoundScoreMsg,16,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,client.view,ExplosionGfxFactoryEvoSuiteTest,31,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,client.view,BombView,236,0,6,0,47,0,10,0,7,0
JaCoCo Ant Example,client.view,TileView,68,0,4,0,15,0,4,0,2,0
JaCoCo Ant Example,client.view,GameObjectView,28,0,0,0,11,0,5,0,5,0
JaCoCo Ant Example,client.view,GfxFactory,409,0,22,0,54,0,23,0,12,0
JaCoCo Ant Example,client.view,PlayerViewEvoSuiteTest,18,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,client.view,OverlayView,81,0,4,0,20,0,8,0,6,0
JaCoCo Ant Example,client.view,OffGamePainterEvoSuiteTest,16,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,client.view,StatusViewEvoSuiteTest,16,0,0,0,4,0,2,0,2,0
