GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ui,UIResources,21,0,0,0,9,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.util,XmlIOEvoSuiteTest,130,112,0,0,49,34,3,11,3,11
JaCoCo Ant Example,com.allenstudio.ir.util,InspirentoUtilitiesEvoSuiteTest,0,32,0,0,0,14,0,5,0,5
JaCoCo Ant Example,com.allenstudio.ir.util,XmlIO,263,313,9,19,61,72,15,18,7,12
JaCoCo Ant Example,com.allenstudio.ir.util,InspirentoUtilities,0,142,0,12,0,28,0,11,0,5
JaCoCo Ant Example,com.allenstudio.ir.util,XmlElement,54,583,8,62,10,146,10,61,2,34
JaCoCo Ant Example,com.allenstudio.ir.util,XmlElementEvoSuiteTest,20,508,0,0,9,142,0,27,0,27
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteModelEvoSuiteTest,0,40,0,0,0,13,0,4,0,4
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNote,17,17,3,1,4,8,5,4,3,4
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,AbstractNote,3,13,0,0,1,5,1,3,1,3
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteModel,0,19,0,0,0,5,0,4,0,4
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,AbstractNoteEvoSuiteTest,0,28,0,0,0,10,0,3,0,3
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteEvoSuiteTest,12,16,0,0,4,5,1,2,1,2
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManagerEvoSuiteTest,0,12,0,0,0,4,0,2,0,2
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManagerEvoSuiteTest,3,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.Resolver,10,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager,151,19,6,0,40,7,7,3,4,3
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.EH,6,3,0,0,3,1,3,1,3,1
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager,223,87,8,4,49,18,10,6,5,5
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.action,ActionsManager,20,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.action,ActionsManagerEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
