GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.databene.jdbacl.model.csv,CSVModelExporter.new Object() {...},33,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.databene.jdbacl.model.csv,CSVModelExporterEvoSuiteTest,0,10,0,0,0,3,0,2,0,2
JaCoCo Ant Example,org.databene.jdbacl.model.csv,CSVModelExporter,1001,6,39,0,108,3,31,1,10,1
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,ANTLRNoCaseFileStream,52,0,6,0,15,0,7,0,4,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.sub_partition_config_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.column_spec_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.ora_storage_spec_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.keyword_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.exclusive_or_expression_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.arguments_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.in_expression_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.qualified_name_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.add_constraints_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.ora_key_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.fractionDigits_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.column_comment_details_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.drop_sequence_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.size_uom_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.inline_constraint_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.expression_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.value_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.drop_table_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.ora_configs_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLLexer.DFA9,35,0,0,0,12,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.partition_part_config_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.table_detail_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.table_name_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.and_expression_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.check_constraint_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.ora_storage_opt_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.foreign_key_constraint_return,6,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,org.databene.jdbacl.sql.parser,SQLParser.primary_return,6,0,0,0,2,0,2,0,2,0
