GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtils,204,0,8,0,49,0,15,0,11,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapter,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBean,231,0,16,0,55,0,27,0,19,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapterEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,br.com.jnfe.base.pl005d,RequestAdapterImpl,126,0,2,0,31,0,5,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSigantureFactoryBean,84,0,4,0,25,0,12,0,10,0
JaCoCo Ant Example,br.com.jnfe.base.service,LoggingFaultMessageResolver,46,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeKeyInfoBuilderEvoSuiteTest,8,24,0,0,3,9,0,3,0,3
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeFileReader,79,0,0,0,21,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureBuilder,259,0,12,0,59,0,18,0,12,0
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplEvoSuiteTest,32,65,0,0,12,26,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler,32,43,3,3,4,14,2,6,0,5
JaCoCo Ant Example,br.com.jnfe.base.service,Pkcs12SecurityHandlerBean,169,0,10,0,46,0,16,0,11,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler.new SecurityCallBack() {...},9,6,0,0,2,1,1,1,1,1
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandlerEvoSuiteTest,7,56,0,0,3,17,0,5,0,5
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeKeyInfoBuilder,19,11,0,0,5,4,1,3,1,3
JaCoCo Ant Example,br.com.jnfe.base.service,SimpleSecurityHandlerBean,175,0,10,0,44,0,12,0,7,0
JaCoCo Ant Example,br.com.jnfe.base.service,AbstractSecurityHandlerBean,21,0,0,0,8,0,6,0,6,0
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImpl,142,31,10,4,38,8,11,6,6,4
JaCoCo Ant Example,br.com.jnfe.base.adapter.dom,AbstractNFeDOMAdapter,33,0,0,0,9,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.adapter.dom,AbstractNFeDOMAdapterEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,br.com.jnfe.base.pl006,RequestAdapterImpl,107,0,2,0,28,0,5,0,4,0
JaCoCo Ant Example,br.com.jnfe.base,TpObsNFe,9,37,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpImp,9,37,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,ModBCSTEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,ProcEmiEvoSuiteTest,0,14,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TpNF,9,37,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,IndPagEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,CST_COFINSEvoSuiteTest,0,65,0,0,0,25,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,Orig,9,66,0,0,0,12,2,5,2,5
JaCoCo Ant Example,br.com.jnfe.base,RegimeEspecialTributario,9,92,0,0,0,12,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,CST_GrupoEvoSuiteTest,0,71,0,0,0,26,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,MotDesICMS,9,114,0,0,0,14,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpEmisEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TpSerie,5,101,0,6,0,14,1,9,1,6
JaCoCo Ant Example,br.com.jnfe.base,TpObsNFeEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,CST_IPIEvoSuiteTest,0,41,0,0,0,17,0,5,0,5
JaCoCo Ant Example,br.com.jnfe.base,ModBC,9,59,0,0,0,9,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,CStatEvoSuiteTest,0,32,0,0,0,14,0,4,0,4
JaCoCo Ant Example,br.com.jnfe.base,FinNFe,9,48,0,0,0,8,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,C_ICMS,9,283,0,0,0,33,2,9,2,9
JaCoCo Ant Example,br.com.jnfe.base,ContribICMS,9,48,0,0,0,8,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpVeiculo,9,37,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,CST_IPI,9,229,0,0,0,25,2,6,2,6
JaCoCo Ant Example,br.com.jnfe.base,ProcEmi,0,68,0,0,0,9,0,5,0,5
JaCoCo Ant Example,br.com.jnfe.base,TpNFEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,FinNFeEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,ModBCEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,RegimeEspecialTributarioEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TUFs,0,14,0,2,0,4,0,3,0,2
JaCoCo Ant Example,br.com.jnfe.base,SitNFeEvoSuiteTest,0,35,0,0,0,13,0,4,0,4
JaCoCo Ant Example,br.com.jnfe.base,ContribICMSEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TpDetEvoSuiteTest,0,24,0,0,0,9,0,3,0,3
JaCoCo Ant Example,br.com.jnfe.base,ModFreteEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,UFEvoSuiteTest,0,23,0,0,0,10,0,4,0,4
JaCoCo Ant Example,br.com.jnfe.base,C_ICMSEvoSuiteTest,0,68,0,0,0,26,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,UF,5,374,0,4,0,38,1,8,1,6
JaCoCo Ant Example,br.com.jnfe.base,ConsReciNFeEvoSuiteTest,0,68,0,0,0,25,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,CST_PISEvoSuiteTest,0,65,0,0,0,25,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,IndTot,9,37,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,CStat,9,1526,0,0,0,133,2,5,2,5
JaCoCo Ant Example,br.com.jnfe.base,ConsReciNFe,0,24,0,0,0,10,0,7,0,7
JaCoCo Ant Example,br.com.jnfe.base,CST_Grupo,9,699,0,4,0,37,2,11,2,9
JaCoCo Ant Example,br.com.jnfe.base,TProvince,0,38,0,0,0,10,0,6,0,6
JaCoCo Ant Example,br.com.jnfe.base,TpVeiculoEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,SitNFe,9,131,0,0,0,17,2,5,2,5
JaCoCo Ant Example,br.com.jnfe.base,TransportKeyStoreBean,199,0,18,0,44,0,21,0,12,0
JaCoCo Ant Example,br.com.jnfe.base,IndPag,9,48,0,0,0,8,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpServico,9,117,0,0,0,17,2,5,2,5
JaCoCo Ant Example,br.com.jnfe.base,TpAmbEvoSuiteTest,0,24,0,0,0,10,0,3,0,3
JaCoCo Ant Example,br.com.jnfe.base,ModeloNFeEvoSuiteTest,0,14,0,0,0,6,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TProvinceEvoSuiteTest,0,39,0,0,0,14,0,4,0,4
JaCoCo Ant Example,br.com.jnfe.base,MotDesICMSEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,CST_PIS,9,261,0,4,0,25,2,9,2,7
JaCoCo Ant Example,br.com.jnfe.base,IndTotEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,ModFrete,9,59,0,0,0,9,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpDet,9,51,0,0,0,11,2,5,2,5
JaCoCo Ant Example,br.com.jnfe.base,TpSerieEvoSuiteTest,6,19,0,0,3,7,0,3,0,3
JaCoCo Ant Example,br.com.jnfe.base,DefaultNamespacePrefixMapper,46,0,2,0,7,0,5,0,4,0
JaCoCo Ant Example,br.com.jnfe.base,TpEmis,9,70,0,0,0,10,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TpImpEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,TpServicoEvoSuiteTest,0,22,0,0,0,9,0,3,0,3
JaCoCo Ant Example,br.com.jnfe.base,ModeloNFe,9,64,0,0,0,7,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,TUFsEvoSuiteTest,0,19,0,0,0,7,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,CRTEvoSuiteTest,0,13,0,0,0,5,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base,CST_COFINS,9,261,0,4,0,25,2,9,2,7
JaCoCo Ant Example,br.com.jnfe.base,CRT,9,48,0,0,0,8,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,ModBCST,9,81,0,0,0,11,2,3,2,3
JaCoCo Ant Example,br.com.jnfe.base,OrigEvoSuiteTest,0,33,0,0,0,13,0,4,0,4
JaCoCo Ant Example,br.com.jnfe.base,TpAmb,24,41,4,0,5,8,5,4,3,4
