GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.jsecurity.web.session,WebSession,229,0,12,0,67,0,22,0,16,0
JaCoCo Ant Example,org.jsecurity.web.session,ServletContainerSessionManager,46,0,2,0,14,0,6,0,5,0
JaCoCo Ant Example,org.jsecurity.web.session,DefaultWebSessionManager,391,0,38,0,108,0,43,0,24,0
JaCoCo Ant Example,org.jsecurity.web.session,WebSessionEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.jsecurity.spring,SpringJSecurityFilter,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.jsecurity.spring,SpringIniWebConfiguration,220,0,32,0,54,0,26,0,10,0
JaCoCo Ant Example,org.jsecurity.spring,LifecycleBeanPostProcessor,88,0,8,0,19,0,9,0,5,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},6,9,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},8,12,0,0,2,1,1,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},24,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate,95,125,8,8,15,30,7,13,1,11
JaCoCo Ant Example,org.jsecurity.jndi,JndiLocatorEvoSuiteTest,31,142,0,0,12,45,0,10,0,10
JaCoCo Ant Example,org.jsecurity.jndi,JndiLocator,36,108,3,13,7,24,3,16,1,10
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplateEvoSuiteTest,28,57,0,0,12,21,0,6,0,6
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor.new MethodInvocation() {...},34,0,0,0,5,0,5,0,5,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor,26,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AuthorizationAttributeSourceAdvisor,68,0,14,0,14,0,13,0,6,0
JaCoCo Ant Example,org.jsecurity.io,IniResourceEvoSuiteTest,15,132,0,0,6,39,0,7,0,7
JaCoCo Ant Example,org.jsecurity.io,TextResource,89,86,7,3,25,27,10,8,5,8
JaCoCo Ant Example,org.jsecurity.io,TextResourceEvoSuiteTest,9,26,0,0,3,9,0,3,0,3
JaCoCo Ant Example,org.jsecurity.io,AbstractResource,30,44,2,0,12,11,4,3,3,3
JaCoCo Ant Example,org.jsecurity.io,SerializationException,11,5,0,0,6,2,3,1,3,1
JaCoCo Ant Example,org.jsecurity.io,ResourceException,11,5,0,0,6,2,3,1,3,1
JaCoCo Ant Example,org.jsecurity.io,ResourceUtilsEvoSuiteTest,25,91,0,0,8,32,1,12,1,12
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializerEvoSuiteTest,23,35,0,0,9,15,0,5,0,5
JaCoCo Ant Example,org.jsecurity.io,IniResource,72,142,11,13,15,38,10,14,2,10
JaCoCo Ant Example,org.jsecurity.io,ResourceUtils,65,125,13,17,17,25,11,14,1,9
JaCoCo Ant Example,org.jsecurity.io,XmlSerializer,20,39,1,3,5,11,1,4,0,3
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializer,12,90,0,4,4,21,0,5,0,3
JaCoCo Ant Example,org.jsecurity.io,XmlSerializerEvoSuiteTest,23,35,0,0,9,15,0,5,0,5
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationExecutor,136,0,10,0,36,0,12,0,7,0
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationFactory,35,0,2,0,8,0,4,0,3,0
JaCoCo Ant Example,org.jsecurity.authz,ModularRealmAuthorizerEvoSuiteTest,116,499,0,0,37,137,2,23,2,23
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationException,12,4,0,0,6,2,3,1,3,1
JaCoCo Ant Example,org.jsecurity.authz,UnauthorizedException,12,4,0,0,6,2,3,1,3,1
JaCoCo Ant Example,org.jsecurity.authz,UnauthenticatedException,16,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.authz,SimpleRoleEvoSuiteTest,50,279,0,0,13,76,2,14,2,14
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizationInfo,0,114,0,12,0,38,0,20,0,14
