GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImpl,58,0,0,0,19,0,14,0,14,0
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImplEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixer,6,473,7,71,2,100,7,47,0,15
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapter,15,205,3,13,3,43,3,14,0,9
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixerEvoSuiteTest,44,446,0,0,15,115,0,22,0,22
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapter,66,282,11,39,11,63,7,30,0,12
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapterEvoSuiteTest,6,164,0,0,3,47,0,10,0,10
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapterEvoSuiteTest,60,385,0,0,21,111,0,23,0,23
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooperEvoSuiteTest,37,276,0,0,9,67,1,11,1,11
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooper,2,198,2,2,0,36,2,12,0,12
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage.FTPOutputHandler,21,10,0,0,8,4,2,1,2,1
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageEvoSuiteTest,5,186,0,0,3,56,0,18,0,18
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage,40,173,9,15,7,45,8,12,0,8
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageEvoSuiteTest.new Runnable() {...},11,12,0,0,5,4,0,2,0,2
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageEvoSuiteTest.new Runnable() {...},9,12,0,0,5,4,0,2,0,2
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageEvoSuiteTest.new Runnable() {...},9,12,0,0,5,4,0,2,0,2
