GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.lavalamp.properties,OffEvoSuiteTest,0,82,0,0,0,28,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyException,5,4,0,0,2,2,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplicationEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOffEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunner,44,11,1,1,10,4,2,2,1,2
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoaderEvoSuiteTest,9,7,0,0,5,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunnerEvoSuiteTest,10,43,0,0,3,13,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoader,14,3,0,0,4,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,WebRun,225,0,6,0,41,0,10,0,7,0
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesEvoSuiteTest,5,152,0,0,3,46,0,10,0,10
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServlet,83,0,2,0,21,0,3,0,2,0
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplication,16,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationProperties,12,71,2,0,2,17,1,11,0,11
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOff,37,0,0,0,13,0,2,0,2,0
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApi,67,3,4,0,12,1,5,1,3,1
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Hudson,76,0,4,0,10,0,6,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApi,35,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApi,138,0,6,0,21,0,12,0,9,0
JaCoCo Ant Example,net.sf.lavalamp.site,SitePropertiesEvoSuiteTest,0,106,0,0,0,35,0,8,0,8
JaCoCo Ant Example,net.sf.lavalamp.site,SiteProperties,0,47,0,0,0,12,0,8,0,8
JaCoCo Ant Example,net.sf.lavalamp.site,BuildChecker,40,8,0,0,10,2,2,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.site,BuildProperties,0,41,0,2,0,11,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,SiteFactory,20,3,0,0,5,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,BuildsEvoSuiteTest,14,113,0,0,6,35,0,7,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,Console,10,3,0,0,2,1,2,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.site,Build,0,60,0,2,0,17,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,AuthBuildSite,58,8,0,0,9,2,4,2,4,2
JaCoCo Ant Example,net.sf.lavalamp.site,ConsoleEvoSuiteTest,17,21,0,0,6,9,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,Builds,0,101,0,8,0,20,0,9,0,5
JaCoCo Ant Example,net.sf.lavalamp.site,BuildPropertiesEvoSuiteTest,5,68,0,0,3,26,0,7,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRestGetterEvoSuiteTest,7,31,0,0,3,11,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.site,LoginRequiredException,4,3,0,0,2,2,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,MissingBuildException,5,4,0,0,2,2,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,BuildCheckerEvoSuiteTest,0,31,0,0,0,9,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractGetter,4,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractGetterEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractBuildSite,23,8,0,0,7,2,5,1,5,1
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRemoteGetterEvoSuiteTest,0,34,0,0,0,11,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.site,SiteFactoryEvoSuiteTest,0,12,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,BuildEvoSuiteTest,0,104,0,0,0,30,0,7,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,UrlGetter,203,0,14,0,34,0,14,0,7,0
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRemoteGetter,0,13,0,2,0,5,0,4,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRestGetter,0,15,0,2,0,5,0,4,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,LoginFailedException,11,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,net.sf.lavalamp.factories,DeviceBuildsFactoryEvoSuiteTest,7,13,0,0,3,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.factories,DeviceBuildsFactory,66,3,4,0,15,1,4,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStickJni,71,3,4,0,14,1,6,1,4,1
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStick,77,21,0,0,15,6,5,4,5,4
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStickEvoSuiteTest,30,32,0,0,14,14,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.device.impl,TellStickJniEvoSuiteTest,7,7,0,0,5,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,DevicePropertiesEvoSuiteTest,10,203,0,0,6,68,0,15,0,15
JaCoCo Ant Example,net.sf.lavalamp.device,Actions,0,21,0,0,0,8,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.device,Period,40,100,8,14,2,20,6,10,0,5
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOff,0,17,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,OnError,9,39,0,0,0,4,2,2,2,2
JaCoCo Ant Example,net.sf.lavalamp.device,DeviceProperties,0,138,0,6,0,33,0,20,0,17
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOffEvoSuiteTest,0,29,0,0,0,8,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,ActionsEvoSuiteTest,0,60,0,0,0,16,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.device,HtmlFormatterEvoSuiteTest,0,48,0,0,0,14,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,AbstractDevice,15,142,1,5,2,35,2,13,1,11
JaCoCo Ant Example,net.sf.lavalamp.device,Blink,41,18,2,0,12,4,3,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.device,OnErrorEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sf.lavalamp.device,StatusQuo,0,4,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,TimeOfDay,0,118,0,12,0,28,0,14,0,8
JaCoCo Ant Example,net.sf.lavalamp.device,DeviceController,93,58,5,3,19,13,6,6,3,5
JaCoCo Ant Example,net.sf.lavalamp.device,DummyDeviceEvoSuiteTest,0,25,0,0,0,9,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.device,HtmlFormatter,0,87,0,4,0,23,0,7,0,5
JaCoCo Ant Example,net.sf.lavalamp.device,CrashEvoSuiteTest,8,13,0,0,3,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,Crash,0,8,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,DummyDevice,0,17,0,0,0,3,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.device,PeriodEvoSuiteTest,0,247,0,0,0,48,0,7,0,7
JaCoCo Ant Example,net.sf.lavalamp.device,DeviceControllerEvoSuiteTest,59,128,0,0,20,37,1,7,1,7
JaCoCo Ant Example,net.sf.lavalamp.device,StatusQuoEvoSuiteTest,0,17,0,0,0,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOn,0,17,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.device,AbstractDeviceEvoSuiteTest,7,125,0,0,3,43,0,10,0,10
JaCoCo Ant Example,net.sf.lavalamp.device,BlinkEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sf.lavalamp.device,TimeOfDayEvoSuiteTest,8,249,0,0,3,65,0,13,0,13
JaCoCo Ant Example,net.sf.lavalamp.device,TurnOnEvoSuiteTest,0,29,0,0,0,8,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp,Pause,0,6,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp,PauseEvoSuiteTest,0,11,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp,LavaLogger,49,50,3,1,9,20,5,10,3,10
JaCoCo Ant Example,net.sf.lavalamp,LavaLoggerEvoSuiteTest,15,36,0,0,8,15,0,7,0,7
