GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.sap.netweaver.porta.mon,AppCommandEvoSuiteTest,12,15,0,0,6,7,0,3,0,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ListAppsCommandEvoSuiteTest,0,10,0,0,0,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,AppCommand,48,3,6,0,9,1,6,1,3,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StateCommand,43,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ListAppsCommand,139,3,2,0,29,1,2,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback.new Object() {...},2,17,0,0,0,1,0,1,0,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,RestartCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,UndeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DisableDebuggingCommandEvoSuiteTest,6,9,0,0,3,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,CommandFactoryEvoSuiteTest,6,96,0,0,3,42,0,15,0,15
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopAppCommandEvoSuiteTest,0,10,0,0,0,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,CommandFactory,0,67,0,13,0,15,0,14,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback.new Object() {...},2,17,0,0,0,1,0,1,0,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,PortaMonEvoSuiteTest,0,15,0,0,0,7,0,3,0,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopCommandEvoSuiteTest,6,9,0,0,3,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StateCommandEvoSuiteTest,6,9,0,0,3,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ExitCommandEvoSuiteTest,6,9,0,0,3,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallbackEvoSuiteTest,21,27,0,0,9,13,0,4,0,4
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartCommandEvoSuiteTest,6,9,0,0,3,4,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback,25,15,0,3,7,6,0,4,0,2
