GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMeta,237,81,13,7,52,12,13,3,5,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMetaEvoSuiteTest,32,15,0,0,9,10,0,4,0,4
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMeta,373,0,46,0,79,0,41,0,18,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMeta,143,0,12,0,28,0,13,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMetaEvoSuiteTest,8,11,0,0,3,5,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMeta,95,21,7,1,16,6,9,2,5,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMetaEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMetaEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriterEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilderEvoSuiteTest,11,10,0,0,5,4,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatterEvoSuiteTest,68,19,0,0,22,7,2,2,2,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOptionEvoSuiteTest,0,36,0,0,0,11,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot,361,345,44,24,53,65,29,24,0,19
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtil,29,29,2,2,7,11,2,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriter,28,35,3,1,8,8,2,4,0,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumperEvoSuiteTest,0,10,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter,34,145,5,9,7,33,4,6,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriterEvoSuiteTest,7,39,0,0,3,16,0,7,0,7
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumper,57,3,8,0,15,1,5,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.ProcessOutputReader,78,0,6,0,17,0,5,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,10,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Inflection,2,380,1,19,1,101,1,22,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfig,95,66,11,1,19,14,7,5,1,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader,129,12,16,1,38,6,10,2,1,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilder,207,17,16,0,36,4,12,1,4,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriter,82,0,0,0,25,0,10,0,10,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,HtmlEncoder,3,75,0,4,1,14,1,6,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Version,2,119,1,17,1,29,1,13,0,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtilEvoSuiteTest,15,27,0,0,6,11,0,5,0,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.Masker,46,0,2,0,15,0,4,0,3,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DotEvoSuiteTest,0,108,0,0,0,39,0,11,0,11
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.IOError,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReaderEvoSuiteTest,0,15,0,0,0,7,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOption,0,57,0,0,0,13,0,7,0,7
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.DotFailure,0,7,0,0,0,3,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriterEvoSuiteTest.new Runnable() {...},9,20,0,0,5,6,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConsolePasswordReader,59,0,0,0,9,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,HtmlEncoderEvoSuiteTest,0,12,0,0,0,5,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DotEvoSuiteTest.new Runnable() {...},10,17,0,0,5,6,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,CaseInsensitiveMap,49,3,2,0,12,2,7,1,6,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,VersionEvoSuiteTest,0,147,0,0,0,44,0,9,0,9
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfigEvoSuiteTest,24,16,0,0,8,5,2,2,2,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,InflectionEvoSuiteTest,0,93,0,0,0,33,0,10,0,10
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConsolePasswordReaderEvoSuiteTest,7,7,0,0,3,4,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrame,227,0,10,0,55,0,12,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditorEvoSuiteTest,0,75,0,0,0,19,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new ActionListener() {...},26,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new DocumentListener() {...},35,9,0,0,5,1,3,1,3,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new TableModelListener() {...},26,6,0,0,5,1,1,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new ItemListener() {...},12,6,2,0,3,1,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigTableModel,84,239,8,27,20,59,9,22,1,12
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrameEvoSuiteTest,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new JTable() {...},37,50,4,0,7,9,4,1,2,1
