GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ui,UIResources,21,0,0,0,9,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.util,XmlIO,576,0,28,0,133,0,33,0,19,0
JaCoCo Ant Example,com.allenstudio.ir.util,InspirentoUtilitiesTest,12,99,0,0,2,43,1,11,1,11
JaCoCo Ant Example,com.allenstudio.ir.util,ConstantsTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.util,InspirentoUtilities,45,97,7,5,7,21,7,4,1,4
JaCoCo Ant Example,com.allenstudio.ir.util,XmlElement,637,0,70,0,156,0,71,0,36,0
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteModelTest,22,25,0,0,6,11,2,5,2,5
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNote,34,0,4,0,12,0,9,0,7,0
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,AbstractNote,16,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.core.plugins,CommonNoteModel,0,19,0,0,0,5,0,4,0,4
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManagerTest,187,15,0,0,64,9,12,5,12,5
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager,151,19,6,0,40,7,7,3,4,3
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManagerTest,61,4,0,0,28,2,9,2,9,2
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.EH,6,3,0,0,3,1,3,1,3,1
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager,221,89,7,5,48,19,9,7,5,5
JaCoCo Ant Example,com.allenstudio.ir.core,PluginManager.Resolver,10,3,0,0,2,1,1,1,1,1
JaCoCo Ant Example,com.allenstudio.ir.core,ConfigurationManager.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.core,InspirentoWidgetTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.ui.action,ActionsManager,20,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.event,NoteListDataEvent,13,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.event,NoteListEvent,10,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.event,DateChooserEvent,16,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,MonthlyCalendar,1264,0,120,0,256,0,111,0,51,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser,280,0,6,0,68,0,15,0,12,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new MonthlyCalendar() {...},32,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new Runnable() {...},35,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,DateChooser.new DateChooserListener() {...},54,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui.calendar,MonthlyCalendarModel,40,0,4,0,13,0,7,0,5,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteOperationsPane,268,0,0,0,39,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListModelTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.ui,DatePickerPane,87,0,0,0,24,0,5,0,5,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainMenu,321,0,26,0,54,0,17,0,4,0
JaCoCo Ant Example,com.allenstudio.ir.ui,Toolbar,88,0,6,0,20,0,5,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui,StatusBar,34,0,0,0,11,0,3,0,3,0
JaCoCo Ant Example,com.allenstudio.ir.ui,UIResourcesTest,28,4,0,0,10,2,4,2,4,2
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteList.new NoteListEventListener() {...},27,0,0,0,10,0,6,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell,335,0,4,0,78,0,14,0,12,0
JaCoCo Ant Example,com.allenstudio.ir.ui,UIResources,18,2,0,0,8,1,2,1,2,1
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteList,289,0,26,0,74,0,31,0,18,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new MouseListener() {...},89,0,12,0,21,0,12,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListsTabPane,108,0,2,0,29,0,7,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainFrame,219,0,0,0,59,0,9,0,9,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new MouseListener() {...},77,0,12,0,19,0,12,0,6,0
JaCoCo Ant Example,com.allenstudio.ir.ui,NoteListCell.new ActionListener() {...},14,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.allenstudio.ir.ui,MainFrame.new WindowListener() {...},59,0,0,0,13,0,8,0,8,0
JaCoCo Ant Example,com.allenstudio.ir.ui,DefaultNoteListModel,235,0,2,0,60,0,32,0,31,0
