GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtilsTest,453,18,0,0,160,9,33,5,33,5
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtils,88,116,2,6,19,30,5,10,4,7
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBean,231,0,16,0,55,0,27,0,19,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,EnviNFeAdaptadorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapterTest,12,15,0,0,2,7,1,4,1,4
JaCoCo Ant Example,br.com.jnfe.base.adapter,AdaptadorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapter,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBeanTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,RequestAdapterTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.pl005d,RequestAdapterImplTest,316,22,0,0,114,10,17,5,17,5
JaCoCo Ant Example,br.com.jnfe.base.pl005d,RequestAdapterImpl,99,27,2,0,28,3,2,3,1,3
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureBuilderTest,391,304,0,0,115,98,16,18,16,18
JaCoCo Ant Example,br.com.jnfe.base.service,SecurityHandlerTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandlerTest,124,56,0,0,30,18,5,6,5,6
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSigantureFactoryBeanTest,92,128,0,0,32,50,6,12,6,12
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureBuilder,148,111,5,7,29,30,7,11,3,9
