GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtils,131,73,7,1,32,17,9,6,5,6
JaCoCo Ant Example,br.com.jnfe.base.util,SecurityUtilsTests,13,10,0,0,3,4,1,2,1,2
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdapter,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBean,184,47,13,3,46,9,22,5,15,4
JaCoCo Ant Example,br.com.jnfe.base.pl005d,RequestAdapterImpl,126,0,2,0,31,0,5,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSigantureFactoryBean,84,0,4,0,25,0,12,0,10,0
JaCoCo Ant Example,br.com.jnfe.base.service,Pkcs12SecurityHandlerBeanTests.new SecurityCallBack() {...},39,6,2,0,8,1,2,1,1,1
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplTests,68,9,0,0,12,3,4,2,4,2
JaCoCo Ant Example,br.com.jnfe.base.service,LoggingFaultMessageResolver,46,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeFileReader,79,0,0,0,21,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureBuilder,259,0,12,0,59,0,18,0,12,0
JaCoCo Ant Example,br.com.jnfe.base.service,Pkcs12SecurityHandlerBeanTests,12,23,0,0,3,5,1,2,1,2
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplTests.new PIS() {...},9,17,0,0,3,4,3,4,3,4
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplTests.new COFINS() {...},9,17,0,0,3,4,3,4,3,4
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplTests.new ICMS() {...},15,20,0,0,6,5,6,5,6,5
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImplTests.new IPI() {...},11,17,0,0,4,4,4,4,4,4
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler,75,0,6,0,18,0,8,0,5,0
JaCoCo Ant Example,br.com.jnfe.base.service,Pkcs12SecurityHandlerBean,122,47,6,4,31,15,11,5,6,5
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandler.new SecurityCallBack() {...},15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeKeyInfoBuilder,30,0,0,0,9,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeKeyInfoBuilderTests,144,3,6,0,37,1,8,1,5,1
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeFileReaderTests.new SecurityCallBack() {...},57,0,2,0,11,0,3,0,2,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeSignatureHandlerTests,63,3,0,0,14,1,2,1,2,1
JaCoCo Ant Example,br.com.jnfe.base.service,SimpleSecurityHandlerBean,175,0,10,0,44,0,12,0,7,0
JaCoCo Ant Example,br.com.jnfe.base.service,DOMNFeFileReaderTests,63,3,0,0,17,1,5,1,5,1
JaCoCo Ant Example,br.com.jnfe.base.service,AbstractSecurityHandlerBean,4,17,0,0,2,6,1,5,1,5
JaCoCo Ant Example,br.com.jnfe.base.service,NFeCalculatorImpl,51,122,7,7,15,31,9,8,2,8
JaCoCo Ant Example,br.com.jnfe.base.adapter.dom,AbstractNFeDOMAdapter,33,0,0,0,9,0,4,0,4,0
JaCoCo Ant Example,br.com.jnfe.base.pl006,RequestAdapterImpl,107,0,2,0,28,0,5,0,4,0
JaCoCo Ant Example,br.com.jnfe.base,TpImp,46,0,0,0,7,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base,TpObsNFe,46,0,0,0,7,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base,TpNF,46,0,0,0,7,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base,Orig,75,0,0,0,12,0,7,0,7,0
JaCoCo Ant Example,br.com.jnfe.base,RegimeEspecialTributario,101,0,0,0,12,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base,MotDesICMS,123,0,0,0,14,0,5,0,5,0
JaCoCo Ant Example,br.com.jnfe.base,TpSerie,106,0,6,0,14,0,10,0,7,0
