GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.jniinchi,JniInchiBond,0,93,0,0,0,23,0,12,0,12
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_TYPETest,30,45,0,0,10,23,3,8,3,8
JaCoCo Ant Example,net.sf.jniinchi,JniInchiWrapperTest,365,67,0,0,161,31,41,10,41,10
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputKey,7,31,3,3,2,11,2,5,0,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_TYPE,9,84,0,6,0,17,2,9,2,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiAtom,0,197,0,2,0,50,0,26,0,25
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEY_STATUS,9,84,0,6,0,17,2,9,2,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStructure,38,96,2,2,5,23,5,12,3,12
JaCoCo Ant Example,net.sf.jniinchi,INCHI_OPTION,7,256,1,3,1,26,2,5,1,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STATUSTest,30,53,0,0,10,27,3,9,3,9
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RETTest,30,69,0,0,10,35,3,11,3,11
JaCoCo Ant Example,net.sf.jniinchi,JniInchiBondTest,56,214,0,0,10,50,3,13,3,13
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputKeyTest,25,81,0,0,7,31,2,9,2,9
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInput,0,40,0,2,0,16,0,7,0,6
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStructureTest,481,517,0,0,63,64,9,12,9,12
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_STEREO,9,123,0,9,0,23,2,12,2,4
JaCoCo Ant Example,net.sf.jniinchi,LoadNativeLibraryExceptionTest,12,34,0,0,2,14,1,6,1,6
JaCoCo Ant Example,net.sf.jniinchi,INCHI_PARITYTest,30,45,0,0,10,23,3,8,3,8
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputInchi,0,35,0,0,0,14,0,5,0,5
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RET,9,123,0,9,0,23,2,12,2,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RADICALTest,30,37,0,0,10,19,3,7,3,7
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStereo0DTest,86,509,0,0,12,90,3,17,3,17
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutput,0,92,0,0,0,25,0,13,0,13
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STEREOTYPE,9,71,0,5,0,15,2,8,2,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiAtomTest,401,486,0,0,119,156,12,18,12,18
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputData,0,22,0,0,0,8,0,4,0,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputStructureTest,12,629,0,0,2,110,1,14,1,14
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STATUS,9,97,0,7,0,19,2,10,2,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_RADICAL,9,71,0,5,0,15,2,8,2,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiStereo0D,0,176,0,2,0,30,0,16,0,15
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputTest,12,149,0,0,2,43,1,12,1,12
JaCoCo Ant Example,net.sf.jniinchi,INCHI_OPTIONTest,36,5,0,0,14,3,4,3,4,3
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEY_STATUSTest,30,45,0,0,10,23,3,8,3,8
JaCoCo Ant Example,net.sf.jniinchi,MainTest,12,78,0,0,2,50,1,24,1,24
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEY,9,110,0,8,0,21,2,11,2,4
JaCoCo Ant Example,net.sf.jniinchi,JniInchiException,0,11,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sf.jniinchi,JniInchiWrapper,342,138,32,16,81,39,26,14,4,12
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputTest,12,214,0,0,2,63,1,16,1,16
JaCoCo Ant Example,net.sf.jniinchi,INCHI_STEREOTYPETest,30,37,0,0,10,19,3,7,3,7
JaCoCo Ant Example,net.sf.jniinchi,LoadNativeLibraryException,0,11,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sf.jniinchi,JniInchiOutputStructure,0,87,0,0,0,23,0,11,0,11
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputInchiTest,12,105,0,0,2,37,1,10,1,10
JaCoCo Ant Example,net.sf.jniinchi,JniInchiExceptionTest,12,34,0,0,2,14,1,6,1,6
JaCoCo Ant Example,net.sf.jniinchi,Main,100,190,8,4,26,40,5,5,1,3
JaCoCo Ant Example,net.sf.jniinchi,INCHI_PARITY,9,84,0,6,0,17,2,9,2,4
JaCoCo Ant Example,net.sf.jniinchi,INCHI_KEYTest,30,61,0,0,10,31,3,10,3,10
JaCoCo Ant Example,net.sf.jniinchi,INCHI_BOND_STEREOTest,30,69,0,0,10,35,3,11,3,11
JaCoCo Ant Example,net.sf.jniinchi,JniInchiInputDataTest,12,74,0,0,2,22,1,7,1,7
