GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.jsecurity.web.session,WebSession,229,0,12,0,67,0,22,0,16,0
JaCoCo Ant Example,org.jsecurity.web.session,ServletContainerSessionManager,46,0,2,0,14,0,6,0,5,0
JaCoCo Ant Example,org.jsecurity.web.session,DefaultWebSessionManager,391,0,38,0,108,0,43,0,24,0
JaCoCo Ant Example,org.jsecurity.spring,SpringJSecurityFilter,7,0,0,0,3,0,1,0,1,0
JaCoCo Ant Example,org.jsecurity.spring,SpringIniWebConfiguration,220,0,32,0,54,0,26,0,10,0
JaCoCo Ant Example,org.jsecurity.spring,LifecycleBeanPostProcessor,88,0,8,0,19,0,9,0,5,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate.new JndiCallback() {...},33,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiTemplate,220,0,16,0,45,0,20,0,12,0
JaCoCo Ant Example,org.jsecurity.jndi,JndiLocator,144,0,16,0,31,0,19,0,11,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor.new MethodInvocation() {...},34,0,0,0,5,0,5,0,5,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor,26,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,org.jsecurity.spring.security.interceptor,AuthorizationAttributeSourceAdvisor,68,0,14,0,14,0,13,0,6,0
JaCoCo Ant Example,org.jsecurity.io,TextResource,141,34,9,1,38,14,14,4,9,4
JaCoCo Ant Example,org.jsecurity.io,AbstractResource,71,3,2,0,21,2,6,1,5,1
JaCoCo Ant Example,org.jsecurity.io,SerializationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,ResourceException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.io,ResourceExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.io,IniResource,84,130,8,16,22,31,14,10,6,6
JaCoCo Ant Example,org.jsecurity.io,ResourceUtils,124,66,26,4,27,15,20,5,5,5
JaCoCo Ant Example,org.jsecurity.io,XmlSerializer,59,0,4,0,16,0,5,0,3,0
JaCoCo Ant Example,org.jsecurity.io,DefaultSerializer,42,60,2,2,7,18,2,3,0,3
JaCoCo Ant Example,org.jsecurity.io,SerializationExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationExecutor,136,0,10,0,36,0,12,0,7,0
JaCoCo Ant Example,org.jsecurity.spring.remoting,SecureRemoteInvocationFactory,35,0,2,0,8,0,4,0,3,0
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,AuthorizationExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.authz,UnauthorizedException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,UnauthenticatedException,0,16,0,0,0,8,0,4,0,4
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizationInfo,114,0,12,0,38,0,20,0,14,0
JaCoCo Ant Example,org.jsecurity.authz,ModularRealmAuthorizer,426,0,82,0,99,0,62,0,21,0
JaCoCo Ant Example,org.jsecurity.authz,UnauthenticatedExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.authz,HostUnauthorizedExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.authz,UnauthorizedExceptionTest,0,5,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.jsecurity.authz,SimpleRole,150,0,26,0,44,0,26,0,13,0
JaCoCo Ant Example,org.jsecurity.authz,HostUnauthorizedException,21,16,0,0,5,8,3,4,3,4
JaCoCo Ant Example,org.jsecurity.authz,SimpleAuthorizingAccount,567,0,112,0,149,0,87,0,31,0
JaCoCo Ant Example,org.jsecurity.web.filter.authc,AnonymousFilter,5,0,0,0,2,0,2,0,2,0
