GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapterTest,64,472,0,0,18,137,5,31,5,31
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImpl,58,0,0,0,19,0,14,0,14,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixer,314,165,60,18,55,47,35,19,2,13
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerAdapter,88,132,12,4,14,32,8,9,0,9
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapter,177,171,30,20,28,46,21,16,0,12
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooperTest,12,770,0,0,2,173,1,38,1,38
JaCoCo Ant Example,nu.staldal.xmlutil,DocumentHandlerAdapterTest,340,741,0,0,105,223,18,44,18,44
JaCoCo Ant Example,nu.staldal.xmlutil,XMLReaderImplTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerFixerTest,180,497,0,0,50,139,9,33,9,33
JaCoCo Ant Example,nu.staldal.xmlutil,ContentHandlerSnooper,0,200,0,4,0,36,0,14,0,12
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage.FTPOutputHandler,31,0,0,0,12,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorageTest,758,22,0,0,134,10,26,5,26,5
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage,184,29,24,0,39,13,13,7,1,7
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorage,90,3,0,0,25,2,6,1,6,1
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage,288,79,31,5,35,18,21,5,3,5
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorageTest,347,29,0,0,91,13,19,6,19,6
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,FTPFileStorageTest,1146,12,0,0,130,6,24,4,24,4
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,LocalFileStorage.LocalOutputHandler,37,0,4,0,10,0,5,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.filestorage,SSHFileStorage.SSHOutputHandler,74,0,0,0,18,0,3,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon.util,LagoonUtil,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.lagoon.util,Wildcard,69,29,12,4,12,7,9,3,1,3
JaCoCo Ant Example,nu.staldal.lagoon.util,ExpressionEvaluatorTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,nu.staldal.lagoon.util,LagoonUtilTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateProcessor,191,7,43,1,56,2,24,1,2,1
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateExceptionTest,12,52,0,0,2,19,1,7,1,7
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateException,0,25,0,0,0,9,0,4,0,4
JaCoCo Ant Example,nu.staldal.lagoon.util,WildcardTest,102,27,0,0,44,13,10,5,10,5
JaCoCo Ant Example,nu.staldal.lagoon.util,TemplateProcessorTest,219,5,0,0,83,3,10,3,10,3
JaCoCo Ant Example,nu.staldal.util,Utils,91,105,17,13,24,22,16,9,1,5
JaCoCo Ant Example,nu.staldal.util,UtilsTest,76,131,0,0,34,65,9,18,9,18
JaCoCo Ant Example,nu.staldal.lagoon,LagoonCLI,534,6,64,0,143,2,35,2,3,2
JaCoCo Ant Example,nu.staldal.lagoon,YesNoQueryDialog.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,YesNoQueryDialog.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI,897,0,44,0,185,0,39,0,17,0
JaCoCo Ant Example,nu.staldal.lagoon,PasswordDialog.new ActionListener() {...},18,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,MyParser,239,0,18,0,43,0,14,0,5,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonCLITest,12,12,0,0,2,6,1,4,1,4
JaCoCo Ant Example,nu.staldal.lagoon,InputComponent,123,0,4,0,25,0,9,0,7,0
JaCoCo Ant Example,nu.staldal.lagoon,MessageDialog,58,0,0,0,9,0,1,0,1,0
JaCoCo Ant Example,nu.staldal.lagoon,PasswordDialog.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,BuildSitemap,309,0,22,0,58,0,14,0,3,0
JaCoCo Ant Example,nu.staldal.lagoon,TextAreaWriter,67,0,2,0,16,0,6,0,5,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonAntTask,234,0,18,0,64,0,20,0,11,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,YesNoQueryDialog,79,0,0,0,12,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,LagoonGUI.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,XMLCheck,49,0,8,0,15,0,6,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,InputComponent.new TextListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,PasswordDialog,103,0,0,0,15,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,MessageDialog.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,nu.staldal.lagoon,InputComponent.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
