GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyExceptionTest,12,30,0,0,2,12,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.properties,OffTest,12,92,0,0,2,36,1,9,1,9
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoaderTest,38,5,0,0,12,3,3,3,3,3
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunner,27,28,1,1,7,7,1,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServletTest,147,20,0,0,27,7,6,4,6,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoader,14,3,0,0,4,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,WebRun,117,108,4,2,18,23,4,6,1,6
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplicationTest,34,49,0,0,9,15,2,5,2,5
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunnerTest,132,50,0,0,30,19,5,7,5,7
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServlet,77,6,2,0,18,3,2,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesTest,85,214,0,0,26,76,4,13,4,13
JaCoCo Ant Example,net.sf.lavalamp.application,WebRunTest,372,450,0,0,91,121,12,17,12,17
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplication,0,16,0,0,0,7,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationProperties,8,75,1,1,1,18,1,11,0,11
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOff,24,13,0,0,8,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApiTest,12,44,0,0,2,16,1,6,1,6
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApi,34,36,3,1,7,6,3,3,1,3
JaCoCo Ant Example,net.sf.lavalamp.site.impl,HudsonTest,108,44,0,0,32,16,7,6,7,6
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApiTest,92,60,0,0,27,23,6,7,6,7
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApiTest,214,41,0,0,73,16,17,6,17,6
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApi,0,35,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Hudson,30,46,3,1,6,4,2,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApi,70,68,4,2,13,8,6,6,3,6
JaCoCo Ant Example,net.sf.lavalamp.site,BuildChecker,25,23,0,0,8,4,1,2,1,2
JaCoCo Ant Example,net.sf.lavalamp.site,BuildProperties,0,41,0,2,0,11,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,SiteFactory,20,3,0,0,5,1,1,1,1,1
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractGetterTest,12,22,0,0,2,8,1,4,1,4
JaCoCo Ant Example,net.sf.lavalamp.site,Build,0,60,0,2,0,17,0,8,0,7
JaCoCo Ant Example,net.sf.lavalamp.site,Console,10,3,0,0,2,1,2,1,2,1
JaCoCo Ant Example,net.sf.lavalamp.site,BuildTest,31,150,0,0,8,49,2,11,2,11
JaCoCo Ant Example,net.sf.lavalamp.site,Builds,15,86,3,5,3,17,3,6,0,5
JaCoCo Ant Example,net.sf.lavalamp.site,LoginRequiredException,0,7,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractGetter,0,7,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,SiteFactoryTest,150,5,0,0,48,3,8,3,8,3
JaCoCo Ant Example,net.sf.lavalamp.site,BuildSiteTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.site,BuildPropertiesTest,28,119,0,0,7,41,2,10,2,10
JaCoCo Ant Example,net.sf.lavalamp.site,LoginFailedExceptionTest,12,34,0,0,2,14,1,6,1,6
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractBuildSite,1,30,0,0,1,8,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRestGetterTest,48,27,0,0,14,10,3,4,3,4
JaCoCo Ant Example,net.sf.lavalamp.site,LoginFailedException,0,11,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,SiteProperties,0,47,0,0,0,12,0,8,0,8
JaCoCo Ant Example,net.sf.lavalamp.site,AbstractBuildSiteTest,32,104,0,0,8,32,2,7,2,7
JaCoCo Ant Example,net.sf.lavalamp.site,AuthBuildSite,43,23,0,0,4,7,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.site,AuthBuildSiteTest,60,53,0,0,16,17,3,5,3,5
JaCoCo Ant Example,net.sf.lavalamp.site,BuildCheckerTest,341,12,0,0,93,6,15,4,15,4
JaCoCo Ant Example,net.sf.lavalamp.site,GetterTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,net.sf.lavalamp.site,MissingBuildException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site,MissingBuildExceptionTest,12,30,0,0,2,12,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.site,SitePropertiesTest,12,145,0,0,2,55,1,11,1,11
JaCoCo Ant Example,net.sf.lavalamp.site,UrlGetterTest,342,102,0,0,101,33,16,8,16,8
JaCoCo Ant Example,net.sf.lavalamp.site,LoginRequiredExceptionTest,12,22,0,0,2,10,1,5,1,5
JaCoCo Ant Example,net.sf.lavalamp.site,BuildsTest,12,152,0,0,2,49,1,12,1,12
JaCoCo Ant Example,net.sf.lavalamp.site,UrlGetter,57,146,4,10,11,23,5,9,2,5
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRemoteGetter,2,11,1,1,1,4,1,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.site,DummyRestGetter,2,13,1,1,1,4,1,3,0,3
