GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,bierse.model,TestSettings,59,3,0,0,16,1,1,1,1,1
JaCoCo Ant Example,bierse.model,Model,474,0,28,0,126,0,45,0,31,0
JaCoCo Ant Example,bierse.model,Drink,981,0,40,0,220,0,65,0,45,0
JaCoCo Ant Example,bierse.model,Settings,355,0,10,0,95,0,22,0,17,0
JaCoCo Ant Example,bierse.model,TestDrink,339,3,18,0,82,1,11,1,2,1
JaCoCo Ant Example,bierse.view,KeyMapComboBoxModel,140,0,13,0,40,0,15,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
JaCoCo Ant Example,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,bierse.view,MyKeyMap,21,0,0,0,8,0,5,0,5,0
JaCoCo Ant Example,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,bierse.view,RunningMessagePanel,131,0,6,0,34,0,10,0,7,0
JaCoCo Ant Example,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
JaCoCo Ant Example,bierse.view,DefaultInfoViewMouseListener,95,0,4,0,24,0,10,0,8,0
JaCoCo Ant Example,bierse.view,DefaultInfoView,472,0,10,0,89,0,13,0,8,0
JaCoCo Ant Example,bierse,Bierse,48,0,0,0,12,0,2,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultMenuController,48,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,bierse.controller,DefaultSettingsController,239,0,26,0,53,0,16,0,3,0
JaCoCo Ant Example,bierse.controller,DrinkSellController,111,0,8,0,21,0,8,0,4,0
JaCoCo Ant Example,bierse.controller,TriggerThread,53,0,4,0,16,0,4,0,2,0
JaCoCo Ant Example,bierse.controller,DefaultTableModelController,51,0,6,0,13,0,5,0,2,0
