GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.google.earth.kml._2,PlacemarkType,31,0,0,0,13,0,9,0,9,0
JaCoCo Ant Example,com.google.earth.kml._2,ResponseType,28,0,2,0,10,0,7,0,6,0
JaCoCo Ant Example,com.google.earth.kml._2,PointType,31,0,0,0,13,0,9,0,9,0
JaCoCo Ant Example,com.google.earth.kml._2,ObjectFactory,66,0,0,0,13,0,10,0,10,0
JaCoCo Ant Example,com.google.earth.kml._2,KmlType,10,0,0,0,4,0,3,0,3,0
JaCoCo Ant Example,com.google.earth.kml._2,StatusType,17,0,0,0,7,0,5,0,5,0
JaCoCo Ant Example,com.google.earth.kml._2,AltitudeModeType,36,49,4,0,5,7,5,3,3,3
JaCoCo Ant Example,geo.google.mapping,FunctionChain,48,73,4,6,12,20,9,6,6,4
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,geo.google.mapping,XmlToAddressFunctor,98,32,11,1,19,11,6,5,0,5
JaCoCo Ant Example,geo.google.mapping,MappingUtils,94,0,8,0,14,0,6,0,2,0
JaCoCo Ant Example,geo.google.mapping,XSLTMappingFunctor,54,0,0,0,18,0,4,0,4,0
JaCoCo Ant Example,geo.google.mapping,XmlToUsAddressFunctor,32,16,2,0,8,5,1,4,0,4
JaCoCo Ant Example,geo.google.mapping,PointToCoordinateFunctor,72,0,8,0,22,0,9,0,4,0
JaCoCo Ant Example,geo.google.mapping,AddressToUsAddressFunctor,150,0,28,0,38,0,18,0,4,0
JaCoCo Ant Example,geo.google.test,UnitTest.new Functor() {...},0,12,0,0,0,2,0,2,0,2
JaCoCo Ant Example,geo.google.test,UnitTest,302,105,2,0,63,26,5,6,4,6
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfarePreDirectionType,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumber,60,0,0,0,24,0,16,0,16,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.KeyLineCode,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown,47,0,4,0,16,0,10,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostalCodeNumberExtension,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLinesType,33,0,4,0,9,0,6,0,4,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitude,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumberSuffix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements,107,0,6,0,40,0,26,0,23,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea,93,0,6,0,34,0,22,0,19,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.AdministrativeAreaName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown.PostTownName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Department,65,0,6,0,22,0,14,0,11,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType.PostalRouteName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.Address,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise,169,0,16,0,58,0,38,0,30,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox.PostBoxNumber,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumberPrefix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,XAL,40,0,4,0,12,0,8,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType,65,0,6,0,22,0,14,0,11,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare.ThoroughfareNumberRange.ThoroughfareNumberFrom,29,0,2,0,9,0,6,0,5,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopType.MailStopNumber,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLatitudeDirection,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.Country.CountryNameCode,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopType.MailStopName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,FirmType.FirmName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseNumberSuffix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumber,60,0,0,0,24,0,16,0,16,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.Country,76,0,8,0,25,0,16,0,12,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareNameType,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,MailStopType,54,0,4,0,19,0,12,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType.SubPremiseName,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareNumber,60,0,0,0,24,0,16,0,16,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.SubAdministrativeArea.SubAdministrativeAreaName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise.PremiseLocation,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.EndorsementLineCode,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox.PostBoxNumberPrefix,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AdministrativeArea.SubAdministrativeArea,86,0,6,0,31,0,20,0,17,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox,89,0,4,0,34,0,22,0,20,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise.PremiseNumberRange,59,0,0,0,26,0,17,0,17,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare.ThoroughfareNumberRange,85,0,2,0,34,0,22,0,21,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,SubPremiseType,130,0,14,0,43,0,28,0,21,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareTrailingTypeType,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise.PremiseNumberRange.PremiseNumberRangeTo,47,0,8,0,13,0,9,0,5,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox.PostBoxNumberExtension,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.SupplementaryPostalServiceData,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise.PremiseName,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareNumberSuffix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ObjectFactory,354,0,0,0,88,0,87,0,87,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Department.DepartmentName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode,69,0,8,0,22,0,14,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails,127,0,2,0,52,0,34,0,33,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostalCodeNumber,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare.DependentThoroughfare,79,0,6,0,27,0,18,0,15,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.SortingCode,17,0,0,0,7,0,5,0,5,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareLeadingTypeType,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Locality.LocalityName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,LargeMailUserType.LargeMailUserIdentifier,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostOffice.PostOfficeNumber,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostOffice,86,0,6,0,31,0,20,0,17,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalRouteType.PostalRouteNumber,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,CountryName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare,175,0,12,0,64,0,42,0,36,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Thoroughfare.ThoroughfareNumberRange.ThoroughfareNumberTo,29,0,2,0,9,0,6,0,5,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfarePostDirectionType,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,DependentLocalityType.DependentLocalityNumber,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostBox.PostBoxNumberSuffix,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,DependentLocalityType,135,0,6,0,52,0,34,0,31,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PremiseNumberPrefix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,LargeMailUserType.LargeMailUserName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode.PostTown.PostTownSuffix,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,PostOffice.PostOfficeName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressLine,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Premise.PremiseNumberRange.PremiseNumberRangeFrom,47,0,8,0,13,0,9,0,5,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,DependentLocalityType.DependentLocalityName,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,ThoroughfareNumberPrefix,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,AddressDetails.PostalServiceElements.AddressLongitudeDirection,32,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,oasis.names.tc.ciq.xsdschema.xal._2,Locality,121,0,6,0,46,0,30,0,27,0
