GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,client.gui.components,MyPanel,420,42,16,0,73,12,16,2,8,2
JaCoCo Ant Example,client.gui.components,MyButton,302,10,8,0,58,2,13,1,9,1
JaCoCo Ant Example,client.gui.components,MyTextField,179,0,4,0,34,0,6,0,4,0
JaCoCo Ant Example,db,UserTest,37,0,2,0,10,0,3,0,2,0
JaCoCo Ant Example,db,DBServiceFactory,14,0,2,0,6,0,4,0,3,0
JaCoCo Ant Example,db,DBEntityManagerFactory,21,0,4,0,9,0,6,0,4,0
JaCoCo Ant Example,db,HighscoreTest,32,0,2,0,12,0,3,0,2,0
JaCoCo Ant Example,db,DBException,16,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,db,BombermanDBService,611,0,58,0,159,0,37,0,8,0
JaCoCo Ant Example,db,Top10Highscore,61,0,2,0,20,0,5,0,4,0
JaCoCo Ant Example,db,DBGameUser,39,0,0,0,12,0,8,0,8,0
JaCoCo Ant Example,client.gui,CreateGameDialog,496,0,24,0,113,0,22,0,10,0
JaCoCo Ant Example,client.gui,GlobalLobby,588,0,26,0,131,0,26,0,13,0
JaCoCo Ant Example,client.gui,Cash,19,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,client.gui,SplashFrame,58,0,0,0,13,0,1,0,1,0
JaCoCo Ant Example,client.gui,Game,71,0,2,0,21,0,5,0,4,0
JaCoCo Ant Example,client.gui,ImageCache,37,0,0,0,14,0,7,0,7,0
JaCoCo Ant Example,client.gui,GlobalHighscoreLobby,743,0,17,0,121,0,22,0,9,0
JaCoCo Ant Example,client.gui,LoginDialog,1122,0,58,0,225,0,48,0,19,0
JaCoCo Ant Example,client.gui,SessionLobby,288,0,10,0,64,0,15,0,10,0
JaCoCo Ant Example,client.gui,ServerSelectionDialog,300,0,14,0,66,0,15,0,8,0
JaCoCo Ant Example,client.gui,StartFrame,696,8,16,0,192,3,48,1,40,1
JaCoCo Ant Example,client.gui,HighscoreLobby,449,0,22,0,105,0,26,0,15,0
JaCoCo Ant Example,client.gui,SplashThread,52,0,2,0,17,0,4,0,3,0
JaCoCo Ant Example,client.gui,Chat,321,0,14,0,76,0,25,0,18,0
JaCoCo Ant Example,client.gui,StartFrame.ActionListenerChangePanel,47,0,4,0,9,0,4,0,2,0
JaCoCo Ant Example,client.gui,Config,12,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,server.test,ClientInfoTest,25,66,1,1,9,19,4,8,3,8
JaCoCo Ant Example,client,GameWindow.new KeyListener() {...},24,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,client,ClientPlayer,234,0,16,0,62,0,20,0,12,0
JaCoCo Ant Example,client,GameWindow,44,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,client,TestDriver,9,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,client,ClientGameSession,320,0,12,0,80,0,25,0,19,0
JaCoCo Ant Example,client,BomberClient,318,45,2,2,92,15,31,5,30,4
JaCoCo Ant Example,client,ClientGameLoop,36,0,0,0,15,0,7,0,7,0
JaCoCo Ant Example,client,ClientGameRound,343,0,12,0,93,0,27,0,21,0
JaCoCo Ant Example,client,TestJoiner,16,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,client,ClientBomb,47,0,0,0,10,0,5,0,5,0
JaCoCo Ant Example,client,Manipulator.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,client,ClientProperties,123,0,12,0,35,0,12,0,6,0
JaCoCo Ant Example,client,Manipulator,56,0,2,0,11,0,2,0,1,0
JaCoCo Ant Example,common,GameObject,49,0,0,0,21,0,11,0,11,0
JaCoCo Ant Example,common,ResourceService,21,18,1,1,8,3,4,1,3,1
