GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.databene.jdbacl.model.sql,CreateExporter,136,0,8,0,36,0,10,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,AbstractTableMapper,117,0,6,0,30,0,9,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MemKeyMapper,182,0,16,0,36,0,18,0,10,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,MapperState,58,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceTableMapper,35,0,2,0,9,0,4,0,3,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,GlobalRowId,111,0,16,0,16,0,13,0,5,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,SourceDatabaseMapper,73,0,2,0,17,0,6,0,5,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetDatabaseMapper,86,0,2,0,18,0,7,0,6,0
JaCoCo Ant Example,org.databene.jdbacl.identity.mem,TargetTableMapper,32,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,org.databene.jdbacl.model.cache,CachingDBImporter,147,0,6,0,32,0,11,0,8,0
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,DBIndexInfo,114,0,8,0,21,0,7,0,3,0
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,ImportedKey,308,0,12,0,40,0,14,0,8,0
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporterTest,130,3,8,0,23,1,5,1,1,1
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporter.TableNameFilter,32,6,10,0,3,1,6,1,1,1
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,JDBCDBImporter,2404,71,274,2,477,21,187,4,47,4
JaCoCo Ant Example,org.databene.jdbacl.model.jdbc,LazyTable,275,0,12,0,70,0,52,0,46,0
